Date,Adj Close_LOTUSEYE.NS,Close_LOTUSEYE.NS,High_LOTUSEYE.NS,Low_LOTUSEYE.NS,Open_LOTUSEYE.NS,Volume_LOTUSEYE.NS,Date
2020-07-13,30.737262725830078,31.5,32.25,31.450000762939453,31.600000381469727,13737,2020-07-13
2020-07-20,29.273582458496094,30.0,31.899999618530273,29.25,31.149999618530273,7520,2020-07-20
2020-07-27,25.6143856048584,26.25,30.25,26.149999618530273,30.049999237060547,31432,2020-07-27
2020-08-03,28.29779624938965,29.0,31.0,26.450000762939453,29.0,24033,2020-08-03
2020-08-10,27.809906005859375,28.5,32.0,26.299999237060547,30.0,99452,2020-08-10
2020-08-17,28.785690307617188,29.5,33.75,28.350000381469727,28.5,83863,2020-08-17
2020-08-24,31.664260864257812,32.45000076293945,39.95000076293945,28.350000381469727,30.0,1354479,2020-08-24
2020-08-31,29.956634521484375,30.700000762939453,32.45000076293945,29.0,30.75,99233,2020-08-31
2020-09-07,29.224794387817383,29.950000762939453,32.400001525878906,29.149999618530273,30.149999618530273,81940,2020-09-07
2020-09-14,29.07842445373535,29.799999237060547,32.0,29.049999237060547,29.649999618530273,65503,2020-09-14
2020-09-21,28.883268356323242,29.600000381469727,31.0,26.299999237060547,29.350000381469727,18574,2020-09-21
2020-09-28,29.468740463256836,30.200000762939453,32.400001525878906,28.0,29.25,59308,2020-09-28
2020-10-05,30.005422592163086,30.75,32.79999923706055,29.600000381469727,30.149999618530273,24988,2020-10-05
2020-10-12,29.468740463256836,30.200000762939453,32.5,27.450000762939453,32.45000076293945,75951,2020-10-12
2020-10-19,29.37116241455078,30.100000381469727,31.850000381469727,29.5,30.200000762939453,30416,2020-10-19
2020-10-26,31.273942947387695,32.04999923706055,32.5,29.950000762939453,30.700000762939453,29751,2020-10-26
2020-11-02,29.17600440979004,29.899999618530273,33.20000076293945,29.25,32.0,12570,2020-11-02
2020-11-09,29.761476516723633,30.5,31.899999618530273,28.200000762939453,30.799999237060547,57519,2020-11-09
2020-11-16,31.469100952148438,32.25,33.0,29.799999237060547,29.799999237060547,70117,2020-11-16
2020-11-23,32.00578308105469,32.79999923706055,33.70000076293945,31.149999618530273,33.04999923706055,97404,2020-11-23
