Date,Adj Close_INDIACEM.NS,Close_INDIACEM.NS,High_INDIACEM.NS,Low_INDIACEM.NS,Open_INDIACEM.NS,Volume_INDIACEM.NS,Date
2020-07-13,116.22371673583984,117.9000015258789,121.44999694824219,113.5,117.9000015258789,3562783,2020-07-13
2020-07-20,116.3222885131836,118.0,125.25,116.44999694824219,117.9000015258789,11872486,2020-07-20
2020-07-27,109.81612396240234,111.4000015258789,122.30000305175781,110.69999694824219,119.0,9526989,2020-07-27
2020-08-03,115.18863677978516,116.8499984741211,118.0,111.4000015258789,111.4000015258789,7836070,2020-08-03
2020-08-10,112.6256103515625,114.25,123.0,113.55000305175781,117.75,8009057,2020-08-10
2020-08-17,116.17442321777344,117.8499984741211,120.94999694824219,114.0,115.69999694824219,7925601,2020-08-17
2020-08-24,119.82182312011719,121.55000305175781,124.5999984741211,117.5999984741211,118.5,13709044,2020-08-24
2020-08-31,111.98485565185547,113.5999984741211,122.9000015258789,111.5999984741211,122.5,5802059,2020-08-31
2020-09-07,114.20285034179688,115.8499984741211,120.0,107.5,114.25,6468253,2020-09-07
2020-09-14,120.95545959472656,122.69999694824219,130.1999969482422,116.5999984741211,116.5999984741211,17794391,2020-09-14
2020-09-21,115.78023529052734,116.9000015258789,124.5999984741211,109.5999984741211,123.0,7848398,2020-09-21
2020-09-28,118.15724182128906,119.30000305175781,121.25,112.5999984741211,116.5999984741211,5996739,2020-09-28
2020-10-05,117.76107788085938,118.9000015258789,123.5999984741211,115.4000015258789,120.0,7847949,2020-10-05
2020-10-12,117.16681671142578,118.30000305175781,120.69999694824219,114.4000015258789,119.69999694824219,5360367,2020-10-12
2020-10-19,120.63329315185547,121.80000305175781,125.0999984741211,118.4000015258789,119.69999694824219,7455445,2020-10-19
2020-10-26,117.21633911132812,118.3499984741211,122.3499984741211,114.94999694824219,122.30000305175781,3324154,2020-10-26
2020-11-02,120.2866439819336,121.44999694824219,129.0,115.80000305175781,117.0,7243225,2020-11-02
2020-11-09,125.63491821289062,126.8499984741211,128.6999969482422,118.0,122.94999694824219,5802287,2020-11-09
2020-11-16,146.334716796875,147.75,155.39999389648438,125.0,125.5999984741211,21242687,2020-11-16
2020-11-23,157.08079528808594,158.60000610351562,163.85000610351562,146.5,149.1999969482422,16789690,2020-11-23
2020-11-30,151.9305877685547,153.39999389648438,162.3000030517578,151.25,158.60000610351562,5866031,2020-11-30
2020-12-07,147.4737091064453,148.89999389648438,160.5,146.5,155.0,8760680,2020-12-07
2020-12-14,146.4337615966797,147.85000610351562,154.9499969482422,143.0500030517578,149.14999389648438,6579495,2020-12-14
2020-12-21,143.16537475585938,144.5500030517578,149.64999389648438,134.10000610351562,149.0,5505284,2020-12-21
2020-12-28,179.01861572265625,180.75,185.8000030517578,142.35000610351562,145.0,64912921,2020-12-28
2021-01-04,169.11441040039062,170.75,183.8000030517578,168.0,181.0,19148633,2021-01-04
2021-01-11,163.1223602294922,164.6999969482422,174.89999389648438,161.10000610351562,171.85000610351562,14324380,2021-01-11
2021-01-18,166.6383514404297,168.25,175.85000610351562,160.8000030517578,163.5,15943315,2021-01-18
2021-01-25,153.2181396484375,154.6999969482422,174.0,153.6999969482422,171.0,12330696,2021-01-25
2021-02-01,169.7086639404297,171.35000610351562,178.0,154.5,155.10000610351562,15539313,2021-02-01
2021-02-08,169.36199951171875,171.0,174.89999389648438,165.5500030517578,172.35000610351562,9930315,2021-02-08
2021-02-15,163.81564331054688,165.39999389648438,174.85000610351562,164.10000610351562,172.1999969482422,6838459,2021-02-15
2021-02-22,160.94342041015625,162.5,171.8000030517578,158.3000030517578,165.39999389648438,9968499,2021-02-22
2021-03-01,172.63040161132812,174.3000030517578,187.64999389648438,164.39999389648438,164.4499969482422,26843703,2021-03-01
2021-03-08,170.69908142089844,172.35000610351562,176.9499969482422,167.5,176.9499969482422,6778300,2021-03-08
2021-03-15,160.54725646972656,162.10000610351562,174.10000610351562,154.8000030517578,172.14999389648438,10508550,2021-03-15
2021-03-22,160.89390563964844,162.4499969482422,173.8000030517578,160.0,163.25,9484156,2021-03-22
2021-03-29,168.1735076904297,169.8000030517578,173.85000610351562,162.4499969482422,162.4499969482422,6803429,2021-03-29
2021-04-05,187.7343292236328,189.5500030517578,195.0,163.25,169.0500030517578,34099837,2021-04-05
2021-04-12,167.6782989501953,169.3000030517578,184.60000610351562,165.60000610351562,184.60000610351562,11760831,2021-04-12
2021-04-19,164.90512084960938,166.5,169.25,160.5,165.0,7450988,2021-04-19
2021-04-26,161.63671875,163.1999969482422,169.35000610351562,162.5500030517578,167.4499969482422,8739761,2021-04-26
2021-05-03,164.9546356201172,166.5500030517578,172.39999389648438,162.1999969482422,162.9499969482422,7274898,2021-05-03
