Date,Adj Close_GHCL.NS,Close_GHCL.NS,High_GHCL.NS,Low_GHCL.NS,Open_GHCL.NS,Volume_GHCL.NS,Date
2020-07-13,140.19769287109375,153.8000030517578,163.8000030517578,149.25,153.10000610351562,1394974,2020-07-13
2020-07-20,138.6024627685547,152.0500030517578,163.89999389648438,151.0500030517578,153.8000030517578,3376241,2020-07-20
2020-07-27,126.06853485107422,138.3000030517578,149.4499969482422,137.0500030517578,149.4499969482422,1329179,2020-07-27
2020-08-03,131.44671630859375,144.1999969482422,146.60000610351562,135.25,139.0,1487601,2020-08-03
2020-08-10,137.1439666748047,150.4499969482422,154.0,144.25,146.89999389648438,1159808,2020-08-10
2020-08-17,147.58128356933594,161.89999389648438,164.39999389648438,148.8000030517578,150.5500030517578,1953061,2020-08-17
2020-08-24,150.99964904785156,165.64999389648438,178.8000030517578,159.1999969482422,164.5,3051466,2020-08-24
2020-08-31,147.58128356933594,161.89999389648438,168.0,156.25,165.60000610351562,771397,2020-08-31
2020-09-07,145.8037567138672,159.9499969482422,165.0,155.0,162.0,655884,2020-09-07
2020-09-14,149.4955596923828,164.0,173.75,162.25,163.89999389648438,1209570,2020-09-14
2020-09-21,144.84661865234375,158.89999389648438,167.25,150.1999969482422,164.9499969482422,861317,2020-09-21
2020-09-28,144.34527587890625,158.35000610351562,164.85000610351562,157.8000030517578,160.3000030517578,580147,2020-09-28
2020-10-05,140.24325561523438,153.85000610351562,164.0,152.5500030517578,159.1999969482422,472232,2020-10-05
2020-10-12,131.03651428222656,143.75,155.6999969482422,141.3000030517578,155.0500030517578,320213,2020-10-12
2020-10-19,143.93507385253906,157.89999389648438,160.4499969482422,143.0,145.0,686627,2020-10-19
2020-10-26,142.9779510498047,156.85000610351562,168.1999969482422,153.5,159.9499969482422,2249506,2020-10-26
2020-11-02,138.1466827392578,151.5500030517578,163.0,148.0500030517578,158.9499969482422,1018857,2020-11-02
