Date,Adj Close_RRKABEL.NS,Close_RRKABEL.NS,High_RRKABEL.NS,Low_RRKABEL.NS,Open_RRKABEL.NS,Volume_RRKABEL.NS,Date
2023-09-11,931.2301025390625,937.0,937.0,937.0,937.0,0,2023-09-11
2023-09-18,1174.0257568359375,1181.300048828125,1232.0,1136.800048828125,1180.0,17888306,2023-09-18
2023-09-25,1391.3292236328125,1399.949951171875,1426.800048828125,1164.5,1183.0,5061608,2023-09-25
2023-10-02,1493.546142578125,1502.800048828125,1524.949951171875,1356.0999755859375,1424.1500244140625,5536475,2023-10-02
2023-10-09,1415.7281494140625,1424.5,1507.1500244140625,1418.0,1475.0,1942190,2023-10-09
2023-10-16,1358.8804931640625,1367.300048828125,1449.699951171875,1362.0999755859375,1432.1500244140625,1411394,2023-10-16
2023-10-23,1336.320068359375,1344.5999755859375,1390.949951171875,1308.0,1367.300048828125,1090612,2023-10-23
2023-10-30,1382.4344482421875,1391.0,1412.949951171875,1326.449951171875,1355.449951171875,984308,2023-10-30
2023-11-06,1626.1741943359375,1636.25,1660.0,1396.0,1396.050048828125,5365858,2023-11-06
2023-11-13,1623.0933837890625,1633.1500244140625,1714.4000244140625,1572.699951171875,1634.800048828125,2210879,2023-11-13
2023-11-20,1659.648681640625,1666.9000244140625,1820.0,1621.199951171875,1640.0,2762762,2023-11-20
2023-11-27,1642.871826171875,1650.050048828125,1683.449951171875,1554.550048828125,1677.6500244140625,1894827,2023-11-27
2023-12-04,1701.9637451171875,1709.4000244140625,1744.0999755859375,1635.5999755859375,1677.0,1380664,2023-12-04
2023-12-11,1698.27978515625,1705.699951171875,1745.0,1660.0,1717.9000244140625,1215651,2023-12-11
2023-12-18,1611.8076171875,1618.8499755859375,1740.0,1589.550048828125,1709.0,1462254,2023-12-18
2023-12-25,1564.56396484375,1571.4000244140625,1639.6500244140625,1548.0,1639.6500244140625,1047752,2023-12-25
2024-01-01,1568.5963134765625,1575.449951171875,1610.449951171875,1529.0,1580.0,737945,2024-01-01
2024-01-08,1475.0550537109375,1481.5,1596.949951171875,1477.0,1591.949951171875,1782267,2024-01-08
2024-01-15,1448.4713134765625,1454.800048828125,1533.699951171875,1428.0,1485.050048828125,702731,2024-01-15
2024-01-22,1460.7177734375,1467.0999755859375,1474.949951171875,1403.050048828125,1469.800048828125,543299,2024-01-22
2024-01-29,1441.2528076171875,1447.550048828125,1495.0,1401.4000244140625,1483.0,1288414,2024-01-29
2024-02-05,1453.8477783203125,1460.199951171875,1503.949951171875,1429.0,1451.800048828125,543742,2024-02-05
2024-02-12,1495.0179443359375,1501.550048828125,1523.800048828125,1405.050048828125,1459.9000244140625,423901,2024-02-12
2024-02-19,1437.9173583984375,1444.199951171875,1510.0,1428.25,1510.0,304132,2024-02-19
2024-02-26,1455.938720703125,1462.300048828125,1493.0,1431.449951171875,1434.550048828125,386693,2024-02-26
2024-03-04,1417.3074951171875,1423.5,1475.0,1380.0,1462.300048828125,505080,2024-03-04
2024-03-11,1403.9656982421875,1410.0999755859375,1427.25,1310.300048828125,1420.0,1039810,2024-03-11
2024-03-18,1417.2078857421875,1423.4000244140625,1454.550048828125,1372.0,1410.050048828125,647175,2024-03-18
2024-03-25,1532.255126953125,1538.949951171875,1564.3499755859375,1416.0,1433.25,608355,2024-03-25
2024-04-01,1539.4239501953125,1546.1500244140625,1581.199951171875,1525.050048828125,1538.949951171875,270140,2024-04-01
2024-04-08,1591.595947265625,1598.550048828125,1613.050048828125,1530.9000244140625,1569.3499755859375,489284,2024-04-08
2024-04-15,1583.33203125,1590.25,1662.949951171875,1533.5,1579.5,497175,2024-04-15
2024-04-22,1674.3841552734375,1681.699951171875,1690.1500244140625,1591.199951171875,1625.0,435271,2024-04-22
2024-04-29,1682.2000732421875,1689.550048828125,1720.0,1646.0,1681.949951171875,291030,2024-04-29
2024-05-06,1692.853515625,1700.25,1734.1500244140625,1582.0999755859375,1700.0,845970,2024-05-06
2024-05-13,1769.717529296875,1777.449951171875,1801.8499755859375,1631.1500244140625,1715.0,636731,2024-05-13
2024-05-20,1746.7679443359375,1754.4000244140625,1787.0,1731.0,1760.949951171875,317222,2024-05-20
2024-05-27,1719.5369873046875,1727.050048828125,1901.949951171875,1702.0,1756.0,3016039,2024-05-27
2024-06-03,1693.6998291015625,1701.0999755859375,1754.8499755859375,1380.0,1733.0,1357454,2024-06-03
2024-06-10,1749.8046875,1757.449951171875,1799.0,1703.5999755859375,1703.5999755859375,532593,2024-06-10
2024-06-17,1744.42822265625,1752.050048828125,1779.449951171875,1725.300048828125,1774.9000244140625,294729,2024-06-17
2024-06-24,1732.828857421875,1740.4000244140625,1808.550048828125,1712.050048828125,1752.050048828125,665887,2024-06-24
2024-07-01,1800.0849609375,1807.949951171875,1835.75,1736.199951171875,1736.199951171875,678068,2024-07-01
2024-07-08,1767.626708984375,1775.3499755859375,1850.0,1770.199951171875,1830.0,597384,2024-07-08
2024-07-15,1729.7919921875,1737.3499755859375,1801.9000244140625,1725.0,1792.0,576337,2024-07-15
2024-07-22,1748.6597900390625,1756.300048828125,1761.0,1681.0,1725.0,363603,2024-07-22
2024-07-29,1706.654052734375,1711.1500244140625,1825.0,1697.949951171875,1771.3499755859375,1011837,2024-07-29
2024-08-05,1639.630615234375,1643.949951171875,1712.9000244140625,1625.0,1684.0,605183,2024-08-05
2024-08-12,1629.90625,1634.199951171875,1649.9000244140625,1556.300048828125,1630.0,513632,2024-08-12
2024-08-19,1635.3419189453125,1639.6500244140625,1700.0,1610.0,1650.0,612001,2024-08-19
2024-08-26,1609.75927734375,1614.0,1644.9000244140625,1586.550048828125,1640.0,1080452,2024-08-26
2024-09-02,1570.9117431640625,1575.050048828125,1638.0,1565.199951171875,1638.0,648850,2024-09-02
2024-09-09,1650.501953125,1654.8499755859375,1760.0,1519.0,1587.3499755859375,2712126,2024-09-09
2024-09-16,1703.0635986328125,1707.550048828125,1755.949951171875,1626.050048828125,1654.0,1915303,2024-09-16
2024-09-23,1701.517578125,1706.0,1735.050048828125,1667.25,1724.5,521285,2024-09-23
2024-09-30,1731.189453125,1735.75,1764.800048828125,1680.0,1706.0,504054,2024-09-30
2024-10-07,1714.3338623046875,1718.8499755859375,1789.949951171875,1698.75,1736.3499755859375,559870,2024-10-07
2024-10-14,1718.67236328125,1723.199951171875,1814.800048828125,1666.050048828125,1718.8499755859375,583367,2024-10-14
2024-10-21,1501.2950439453125,1505.25,1742.0,1482.4000244140625,1723.5,1010919,2024-10-21
2024-10-28,1525.88037109375,1529.9000244140625,1558.699951171875,1422.75,1490.0,702441,2024-10-28
2024-11-04,1541.4393310546875,1545.5,1573.949951171875,1497.4000244140625,1542.550048828125,351559,2024-11-04
2024-11-11,1523.087646484375,1527.0999755859375,1553.949951171875,1463.800048828125,1545.5,264874,2024-11-11
