Date,Adj Close_RRKABEL.NS,Close_RRKABEL.NS,High_RRKABEL.NS,Low_RRKABEL.NS,Open_RRKABEL.NS,Volume_RRKABEL.NS,Date
2024-11-18,1490.722900390625,1494.6500244140625,1569.0,1490.0,1519.0,154831,2024-11-18
2024-11-25,1435.31884765625,1439.0999755859375,1510.949951171875,1429.0,1499.050048828125,1059988,2024-11-25
2024-12-02,1478.80419921875,1482.699951171875,1506.0999755859375,1435.800048828125,1453.949951171875,823953,2024-12-02
2024-12-09,1440.5052490234375,1444.300048828125,1516.949951171875,1435.0999755859375,1483.0,586304,2024-12-09
2024-12-16,1395.523681640625,1399.199951171875,1456.800048828125,1386.0,1437.0,359547,2024-12-16
2024-12-23,1377.7705078125,1381.4000244140625,1402.699951171875,1362.0,1399.6500244140625,507889,2024-12-23
2024-12-30,1420.0091552734375,1423.75,1455.0,1381.4000244140625,1389.0,655244,2024-12-30
2025-01-06,1357.025146484375,1360.5999755859375,1438.8499755859375,1353.550048828125,1424.0,490372,2025-01-06
2025-01-13,1288.555419921875,1291.949951171875,1355.0,1288.550048828125,1349.8499755859375,330229,2025-01-13
2025-01-20,1245.61865234375,1248.9000244140625,1320.0,1245.0,1295.0,325558,2025-01-20
2025-01-27,1304.712890625,1308.1500244140625,1355.5999755859375,1176.449951171875,1249.0,647342,2025-01-27
2025-02-03,1188.718505859375,1191.8499755859375,1283.0,1188.3499755859375,1251.0,558488,2025-02-03
2025-02-10,1126.0335693359375,1129.0,1208.0,1104.050048828125,1208.0,258351,2025-02-10
2025-02-17,1153.4114990234375,1156.449951171875,1179.75,1099.550048828125,1124.199951171875,390524,2025-02-17
2025-02-24,887.9109497070312,890.25,1152.0,864.1500244140625,1152.0,5581969,2025-02-24
2025-03-03,906.511962890625,908.9000244140625,931.5999755859375,855.0,920.0,2652589,2025-03-03
2025-03-10,872.5513916015625,874.8499755859375,929.1500244140625,866.1500244140625,924.9000244140625,670240,2025-03-10
2025-03-17,924.5145263671875,926.9500122070312,934.3499755859375,853.5499877929688,878.0,1881440,2025-03-17
2025-03-24,945.5092163085938,948.0,967.4500122070312,898.75,936.7999877929688,1207773,2025-03-24
2025-03-31,915.687744140625,918.0999755859375,948.7999877929688,903.0999755859375,916.3499755859375,608562,2025-03-31
2025-04-07,906.6116943359375,909.0,913.7999877929688,864.0499877929688,878.0,316690,2025-04-07
2025-04-14,938.4278564453125,940.9000244140625,956.9000244140625,913.5499877929688,922.0,223914,2025-04-14
2025-04-21,969.4959716796875,972.0499877929688,990.8499755859375,933.0499877929688,936.2000122070312,535669,2025-04-21
2025-04-28,1021.1100463867188,1023.7999877929688,1074.4000244140625,960.2999877929688,974.7000122070312,2996098,2025-04-28
2025-05-05,1231.5556640625,1234.800048828125,1267.5,1132.199951171875,1170.0,20060162,2025-05-05
2025-05-12,1312.442626953125,1315.9000244140625,1366.0,1256.5,1275.0,1463761,2025-05-12
2025-05-19,1309.64990234375,1313.0999755859375,1345.0,1259.199951171875,1327.9000244140625,773333,2025-05-19
2025-05-26,1421.9539794921875,1425.699951171875,1450.0,1294.9000244140625,1312.0,2379697,2025-05-26
2025-06-02,1410.0853271484375,1413.800048828125,1450.0,1362.0,1438.0,1287887,2025-06-02
2025-06-09,1358.1221923828125,1361.699951171875,1434.9000244140625,1329.5,1425.699951171875,799589,2025-06-09
2025-06-16,1314.1380615234375,1317.5999755859375,1372.699951171875,1297.0,1344.199951171875,637067,2025-06-16
2025-06-23,1353.83349609375,1357.4000244140625,1387.0,1277.0,1293.0,737483,2025-06-23
2025-06-30,1368.3951416015625,1372.0,1426.5999755859375,1342.0,1368.5,1049270,2025-06-30
2025-07-07,1328.5999755859375,1332.0999755859375,1380.5999755859375,1310.199951171875,1380.5999755859375,477958,2025-07-07
2025-07-14,1380.4000244140625,1380.4000244140625,1405.4000244140625,1319.9000244140625,1321.0,696108,2025-07-14
