Date,Adj Close_GAIL.NS,Close_GAIL.NS,High_GAIL.NS,Low_GAIL.NS,Open_GAIL.NS,Volume_GAIL.NS,Date
2020-07-13,54.31662368774414,67.23332977294922,67.9000015258789,62.96666717529297,66.33333587646484,49248035,2020-07-13
2020-07-20,53.61646270751953,66.36666870117188,70.0,65.86666870117188,67.80000305175781,93547725,2020-07-20
2020-07-27,52.05455780029297,64.43333435058594,67.16666412353516,64.16666412353516,66.80000305175781,64911858,2020-07-27
2020-08-03,52.18920135498047,64.5999984741211,64.93333435058594,61.900001525878906,64.5999984741211,98661056,2020-08-03
2020-08-10,51.67754364013672,63.96666717529297,66.4000015258789,63.766666412353516,64.83333587646484,96048111,2020-08-10
2020-08-17,54.80135726928711,67.83333587646484,68.76666259765625,63.733333587646484,64.0999984741211,137236054,2020-08-17
2020-08-24,53.37409210205078,66.06666564941406,68.80000305175781,65.86666870117188,68.0,69963475,2020-08-24
2020-08-31,52.80858612060547,65.36666870117188,67.66666412353516,62.666664123535156,66.5999984741211,110981605,2020-08-31
2020-09-07,48.876895904541016,60.5,65.9000015258789,59.86666488647461,65.33333587646484,104471438,2020-09-07
2020-09-14,49.603981018066406,61.400001525878906,62.43333435058594,60.33333206176758,61.266666412353516,95212380,2020-09-14
2020-09-21,45.88772201538086,56.79999923706055,61.46666717529297,54.633331298828125,61.46666717529297,125705448,2020-09-21
2020-09-28,47.611202239990234,58.93333435058594,59.400001525878906,57.0,57.70000076293945,58870426,2020-09-28
2020-10-05,46.157012939453125,57.133331298828125,59.86666488647461,55.53333282470703,59.0,96860815,2020-10-05
2020-10-12,45.24142074584961,56.0,57.666664123535156,54.133331298828125,57.599998474121094,81398957,2020-10-12
2020-10-19,47.01875686645508,58.20000076293945,59.56666564941406,56.0,56.133331298828125,114656448,2020-10-19
2020-10-26,45.645355224609375,56.5,58.53333282470703,54.766666412353516,58.43333435058594,82289758,2020-10-26
2020-11-02,46.21087646484375,57.20000076293945,58.633331298828125,55.36666488647461,56.733333587646484,92252998,2020-11-02
