Date,Adj Close_RACLGEAR.NS,Close_RACLGEAR.NS,High_RACLGEAR.NS,Low_RACLGEAR.NS,Open_RACLGEAR.NS,Volume_RACLGEAR.NS,Date
2024-11-25,922.0499877929688,922.0499877929688,999.0,820.0499877929688,832.0499877929688,45159,2024-11-25
2024-12-02,884.9000244140625,884.9000244140625,973.9500122070312,873.3499755859375,937.25,33567,2024-12-02
2024-12-09,853.4000244140625,853.4000244140625,925.0,849.9500122070312,884.9500122070312,34548,2024-12-09
2024-12-16,854.2999877929688,854.2999877929688,895.7999877929688,842.5,855.0,33940,2024-12-16
2024-12-23,865.6500244140625,865.6500244140625,873.9000244140625,831.5999755859375,854.25,44554,2024-12-23
2024-12-30,851.25,851.25,884.0,848.0,850.1500244140625,20626,2024-12-30
2025-01-06,850.75,850.75,861.5,840.0499877929688,852.0499877929688,37543,2025-01-06
2025-01-13,827.6500244140625,827.6500244140625,855.9500122070312,775.9000244140625,830.0499877929688,19507,2025-01-13
2025-01-20,796.4500122070312,796.4500122070312,850.0,770.0,839.5499877929688,19569,2025-01-20
2025-01-27,802.3499755859375,802.3499755859375,872.0,715.0999755859375,785.0,62823,2025-01-27
2025-02-03,814.0999755859375,814.0999755859375,835.0,790.5999755859375,802.3499755859375,65009,2025-02-03
2025-02-10,763.8499755859375,763.8499755859375,802.9000244140625,710.9500122070312,793.0,18063,2025-02-10
2025-02-17,735.0,735.0,757.75,700.0,752.4000244140625,22958,2025-02-17
2025-02-24,727.0499877929688,727.0499877929688,751.5999755859375,684.0,735.0,27698,2025-02-24
2025-03-03,756.2999877929688,756.2999877929688,765.0,679.9500122070312,737.0,31442,2025-03-03
2025-03-10,691.2000122070312,691.2000122070312,756.4000244140625,682.0499877929688,756.2999877929688,15601,2025-03-10
2025-03-17,760.3499755859375,760.3499755859375,777.0,658.0499877929688,692.0,89949,2025-03-17
2025-03-24,750.0,750.0,814.9500122070312,740.0999755859375,775.5499877929688,145640,2025-03-24
2025-03-31,753.5,753.5,785.0,731.1500244140625,731.25,14102,2025-03-31
2025-04-07,825.0,825.0,848.4000244140625,703.7999877929688,735.0999755859375,109064,2025-04-07
2025-04-14,819.75,819.75,849.0,805.25,832.0,21200,2025-04-14
2025-04-21,790.2000122070312,790.2000122070312,858.4500122070312,786.25,832.0499877929688,66191,2025-04-21
2025-04-28,780.4000244140625,780.4000244140625,829.0,767.0,790.2000122070312,31905,2025-04-28
2025-05-05,769.7999877929688,769.7999877929688,810.0,760.0,786.2999877929688,35495,2025-05-05
2025-05-12,836.75,836.75,860.0499877929688,785.2000122070312,785.2000122070312,676056,2025-05-12
2025-05-19,969.7999877929688,969.7999877929688,984.5499877929688,840.5499877929688,859.7999877929688,144011,2025-05-19
2025-05-26,944.7999877929688,944.7999877929688,1120.0,940.0,969.7999877929688,162516,2025-05-26
2025-06-02,982.4500122070312,982.4500122070312,1009.9500122070312,930.0499877929688,944.5999755859375,40730,2025-06-02
2025-06-09,962.9500122070312,962.9500122070312,1006.0,924.7999877929688,1006.0,25916,2025-06-09
2025-06-16,970.5,970.5,1000.0,922.0999755859375,962.9500122070312,32612,2025-06-16
2025-06-23,893.5499877929688,893.5499877929688,980.0,885.5499877929688,980.0,67589,2025-06-23
2025-06-30,920.5999755859375,920.5999755859375,933.9500122070312,890.0,908.5,32621,2025-06-30
2025-07-07,953.9000244140625,953.9000244140625,965.0,909.2999877929688,925.2000122070312,29771,2025-07-07
2025-07-14,921.3499755859375,921.3499755859375,960.4500122070312,905.0,954.0,13952,2025-07-14
