Date,Adj Close_GARFIBRES.NS,Close_GARFIBRES.NS,High_GARFIBRES.NS,Low_GARFIBRES.NS,Open_GARFIBRES.NS,Volume_GARFIBRES.NS,Date
2020-07-13,303.0245361328125,303.5799865722656,307.2799987792969,294.6400146484375,303.3800048828125,86925,2020-07-13
2020-07-20,335.57489013671875,336.19000244140625,347.9800109863281,304.010009765625,307.0,389660,2020-07-20
2020-07-27,333.9578552246094,334.57000732421875,356.70001220703125,330.1300048828125,341.9599914550781,364735,2020-07-27
2020-08-03,339.2781066894531,339.8999938964844,346.0,326.6000061035156,339.8800048828125,310490,2020-08-03
2020-08-10,369.6923522949219,370.3699951171875,408.0,340.0,345.9800109863281,1478165,2020-08-10
2020-08-17,387.29010009765625,388.0,400.0,361.3299865722656,379.0,709155,2020-08-17
2020-08-24,381.1313781738281,381.8299865722656,407.30999755859375,379.04998779296875,395.0,639505,2020-08-24
2020-08-31,389.9751892089844,390.69000244140625,405.9800109863281,350.2900085449219,385.0,856350,2020-08-31
2020-09-07,384.2057800292969,384.9100036621094,409.3999938964844,368.0,391.0,1029950,2020-09-07
2020-09-14,397.92059326171875,398.6499938964844,408.95001220703125,382.2799987792969,386.239990234375,774905,2020-09-14
2020-09-21,396.78271484375,397.510009765625,405.989990234375,356.0,397.239990234375,740640,2020-09-21
2020-09-28,417.50469970703125,418.2699890136719,441.0,403.1099853515625,405.989990234375,1065450,2020-09-28
2020-10-05,425.75958251953125,426.5400085449219,450.0,418.3999938964844,425.0,577605,2020-10-05
2020-10-12,397.06219482421875,397.7900085449219,433.989990234375,393.1099853515625,422.3999938964844,389375,2020-10-12
2020-10-19,394.84625244140625,395.57000732421875,407.17999267578125,388.0,400.0,247080,2020-10-19
2020-10-26,376.1405029296875,376.8299865722656,397.5299987792969,367.0,397.5299987792969,937805,2020-10-26
2020-11-02,408.3814392089844,409.1300048828125,412.0,362.3999938964844,379.5899963378906,506320,2020-11-02
2020-11-09,413.4621276855469,414.2200012207031,416.0,387.75,415.0,556435,2020-11-09
2020-11-16,429.3729553222656,430.1600036621094,435.0,406.3399963378906,406.3399963378906,525425,2020-11-16
2020-11-23,444.5950622558594,445.4100036621094,459.9800109863281,423.19000244140625,432.2900085449219,1215270,2020-11-23
2020-11-30,434.2440490722656,435.0400085449219,448.20001220703125,430.0,445.4100036621094,426405,2020-11-30
2020-12-07,435.7911682128906,436.5899963378906,445.0,432.0,438.9800109863281,235140,2020-12-07
2020-12-14,437.60784912109375,438.4100036621094,451.0,427.8900146484375,438.0,269505,2020-12-14
2020-12-21,435.1523742675781,435.95001220703125,442.79998779296875,405.0,438.0,213515,2020-12-21
2020-12-28,458.7291564941406,459.57000732421875,465.0,429.29998779296875,438.1000061035156,303875,2020-12-28
2021-01-04,458.2100830078125,459.04998779296875,473.0,450.0,463.760009765625,415130,2021-01-04
2021-01-11,435.57159423828125,436.3699951171875,478.2300109863281,435.0,458.0,258425,2021-01-11
2021-01-18,458.439697265625,459.2799987792969,462.6000061035156,425.0199890136719,438.55999755859375,507585,2021-01-18
2021-01-25,449.43621826171875,450.260009765625,469.0,442.7099914550781,459.79998779296875,231215,2021-01-25
