Date,Adj Close_ABBOTINDIA.NS,Close_ABBOTINDIA.NS,High_ABBOTINDIA.NS,Low_ABBOTINDIA.NS,Open_ABBOTINDIA.NS,Volume_ABBOTINDIA.NS,Date
2020-07-13,14732.65234375,15262.75,15743.5498046875,15175.0,15339.0,34286,2020-07-13
2020-07-20,14610.931640625,15136.650390625,15622.5,14900.0,15398.7998046875,81532,2020-07-20
2020-07-27,14996.75,15536.349609375,15661.650390625,14811.0,15224.2998046875,101514,2020-07-27
2020-08-03,15636.384765625,16199.0,16786.0,15500.0,15600.0,111671,2020-08-03
2020-08-10,15896.9111328125,16468.900390625,17350.0,16256.5498046875,17198.0,105218,2020-08-10
2020-08-17,16255.3623046875,16840.25,17099.0,16475.0,16570.0,76815,2020-08-17
2020-08-24,16232.005859375,16816.05078125,17332.0,16780.0,17000.0,63417,2020-08-24
2020-08-31,16068.171875,16541.94921875,16934.150390625,16000.0,16820.0,45677,2020-08-31
2020-09-07,16337.5302734375,16819.25,16898.0,16300.0,16555.0,38740,2020-09-07
2020-09-14,16033.400390625,16506.150390625,17050.0,16344.0498046875,16898.0,64680,2020-09-14
2020-09-21,15772.685546875,16237.75,16800.0,15539.9501953125,16511.05078125,59537,2020-09-21
2020-09-28,15915.62109375,16384.900390625,16595.0,16111.599609375,16315.150390625,26289,2020-09-28
2020-10-05,15576.76171875,16036.0498046875,16575.0,15900.0,16406.0,38018,2020-10-05
2020-10-12,15572.294921875,16031.4501953125,16300.0,15901.0,16120.0,25919,2020-10-12
2020-10-19,15177.0966796875,15624.599609375,16167.75,15588.0498046875,16000.0,41783,2020-10-19
2020-10-26,14859.9970703125,15298.150390625,15750.0,15125.0,15650.0,49887,2020-10-26
2020-11-02,15442.4716796875,15897.7998046875,15998.5,15150.0,15300.0,28857,2020-11-02
2020-11-09,15148.87890625,15595.5498046875,16050.0,15275.099609375,16000.0,56666,2020-11-09
2020-11-16,14905.0673828125,15344.5498046875,15550.0,15050.0,15367.0,49444,2020-11-16
2020-11-23,14958.0068359375,15399.0498046875,15475.0,15169.650390625,15400.0,63383,2020-11-23
2020-11-30,14810.359375,15247.0498046875,15504.9501953125,15133.0498046875,15399.0498046875,48553,2020-11-30
2020-12-07,15626.7880859375,16087.5498046875,16255.5,15230.0,15250.0,128131,2020-12-07
2020-12-14,15714.744140625,16178.099609375,16699.900390625,15910.0,16250.0,121518,2020-12-14
