Date,Adj Close_DPSCLTD.NS,Close_DPSCLTD.NS,High_DPSCLTD.NS,Low_DPSCLTD.NS,Open_DPSCLTD.NS,Volume_DPSCLTD.NS,Date
2020-07-13,8.118585586547852,8.25,8.75,8.100000381469727,8.649999618530273,17933,2020-07-13
2020-07-20,7.724956035614014,7.849999904632568,8.399999618530273,7.300000190734863,8.25,43797,2020-07-20
2020-07-27,11.907258033752441,12.100000381469727,14.5,7.5,7.849999904632568,1899018,2020-07-27
2020-08-03,12.546904563903809,12.75,13.25,10.899999618530273,12.399999618530273,511038,2020-08-03
2020-08-10,11.710443496704102,11.899999618530273,13.0,11.550000190734863,12.5,192161,2020-08-10
2020-08-17,11.61203670501709,11.800000190734863,12.550000190734863,11.5,12.300000190734863,177435,2020-08-17
2020-08-24,11.956460952758789,12.149999618530273,12.399999618530273,11.050000190734863,11.800000190734863,188549,2020-08-24
2020-08-31,11.75964641571045,11.949999809265137,12.199999809265137,11.050000190734863,11.800000190734863,101945,2020-08-31
2020-09-07,11.907258033752441,12.100000381469727,12.75,11.550000190734863,12.199999809265137,113909,2020-09-07
2020-09-14,12.694513320922852,12.899999618530273,13.600000381469727,12.0,12.100000381469727,169712,2020-09-14
2020-09-21,12.989736557006836,13.199999809265137,13.600000381469727,11.850000381469727,12.899999618530273,122629,2020-09-21
2020-09-28,13.682209014892578,13.850000381469727,14.300000190734863,13.0,13.0,97909,2020-09-28
2020-10-05,13.237659454345703,13.399999618530273,14.399999618530273,13.050000190734863,14.399999618530273,77843,2020-10-05
2020-10-12,12.150986671447754,12.300000190734863,14.350000381469727,12.0,13.149999618530273,61118,2020-10-12
2020-10-19,12.447352409362793,12.600000381469727,13.199999809265137,12.199999809265137,12.300000190734863,126323,2020-10-19
2020-10-26,11.75583267211914,11.899999618530273,12.75,11.25,12.649999618530273,84889,2020-10-26
2020-11-02,11.80522632598877,11.949999809265137,12.449999809265137,11.5,12.149999618530273,47812,2020-11-02
2020-11-09,11.80522632598877,11.949999809265137,13.449999809265137,11.550000190734863,12.5,110805,2020-11-09
2020-11-16,12.299169540405273,12.449999809265137,13.100000381469727,12.149999618530273,12.850000381469727,56685,2020-11-16
2020-11-23,11.360678672790527,11.5,12.649999618530273,10.949999809265137,12.649999618530273,320388,2020-11-23
