Date,Adj Close_PARAGMILK.NS,Close_PARAGMILK.NS,High_PARAGMILK.NS,Low_PARAGMILK.NS,Open_PARAGMILK.NS,Volume_PARAGMILK.NS,Date
2020-07-13,87.25540924072266,88.25,91.0,86.0,89.9000015258789,1066581,2020-07-13
2020-07-20,90.76541137695312,91.80000305175781,94.4000015258789,85.0,89.8499984741211,4983151,2020-07-20
2020-07-27,83.74541473388672,84.69999694824219,93.0,84.0,92.75,1873165,2020-07-27
2020-08-03,91.60582733154297,92.6500015258789,95.4000015258789,84.4000015258789,85.0,3676270,2020-08-03
2020-08-10,103.8660888671875,105.05000305175781,111.69999694824219,91.55000305175781,93.4000015258789,13940484,2020-08-10
2020-08-17,105.54692077636719,106.75,115.9000015258789,104.5,107.0,9281782,2020-08-17
2020-08-24,112.56689453125,113.8499984741211,121.5,107.3499984741211,107.80000305175781,13237424,2020-08-24
2020-08-31,105.20085906982422,106.4000015258789,118.0,103.05000305175781,118.0,5201625,2020-08-31
2020-09-07,103.6683349609375,104.8499984741211,108.19999694824219,91.0,107.0,5348399,2020-09-07
2020-09-14,100.1583480834961,101.30000305175781,108.9000015258789,101.0,105.5999984741211,1910445,2020-09-14
2020-09-21,99.86172485351562,101.0,102.44999694824219,93.05000305175781,101.75,1809363,2020-09-21
2020-09-28,104.77873992919922,105.44999694824219,109.5,99.5,101.9000015258789,2339760,2020-09-28
2020-10-05,114.7647705078125,115.5,120.75,99.05000305175781,105.44999694824219,8074804,2020-10-05
2020-10-12,109.94564056396484,110.6500015258789,120.69999694824219,106.30000305175781,118.44999694824219,5235306,2020-10-12
2020-10-19,110.64118194580078,111.3499984741211,113.8499984741211,107.0,111.4000015258789,1777627,2020-10-19
2020-10-26,105.47428894042969,106.1500015258789,112.19999694824219,104.1500015258789,111.5,1276255,2020-10-26
2020-11-02,110.69087219238281,111.4000015258789,114.80000305175781,102.80000305175781,106.05000305175781,1575374,2020-11-02
2020-11-09,108.6539077758789,109.3499984741211,118.3499984741211,105.0,112.9000015258789,3579148,2020-11-09
2020-11-16,107.31250762939453,108.0,111.5,107.0999984741211,107.4000015258789,1043654,2020-11-16
2020-11-23,108.85264587402344,109.55000305175781,115.44999694824219,107.8499984741211,109.5999984741211,3044831,2020-11-23
2020-11-30,120.87561798095703,121.6500015258789,124.94999694824219,108.9000015258789,109.55000305175781,4953992,2020-11-30
2020-12-07,116.50362396240234,117.25,125.5,113.5,122.5999984741211,3224266,2020-12-07
