Date,Adj Close_63MOONS.NS,Close_63MOONS.NS,High_63MOONS.NS,Low_63MOONS.NS,Open_63MOONS.NS,Volume_63MOONS.NS,Date
2020-07-13,68.22774505615234,72.05000305175781,75.0,70.0,70.3499984741211,51650,2020-07-13
2020-07-20,67.42282104492188,71.19999694824219,74.5,70.94999694824219,74.0,86843,2020-07-20
2020-07-27,66.33383178710938,70.05000305175781,72.9000015258789,69.0,71.19999694824219,97612,2020-07-27
2020-08-03,69.64816284179688,73.55000305175781,73.55000305175781,66.0,70.0,93563,2020-08-03
2020-08-10,78.9756088256836,83.4000015258789,85.0999984741211,73.0,73.0,213575,2020-08-10
2020-08-17,78.92826843261719,83.3499984741211,86.94999694824219,79.0999984741211,83.4000015258789,346634,2020-08-17
2020-08-24,80.58543395996094,85.0999984741211,85.0999984741211,80.5,84.0,382036,2020-08-24
2020-08-31,74.33555603027344,78.5,86.19999694824219,76.8499984741211,86.19999694824219,213387,2020-08-31
2020-09-07,70.263671875,74.19999694824219,79.9000015258789,70.5999984741211,78.0,244565,2020-09-07
2020-09-14,71.7314453125,75.75,78.80000305175781,72.19999694824219,76.69999694824219,326158,2020-09-14
2020-09-21,63.01951599121094,66.55000305175781,78.0,66.55000305175781,74.19999694824219,233794,2020-09-21
2020-09-28,67.94365692138672,71.75,71.75,65.0,67.80000305175781,146199,2020-09-28
2020-10-05,72.20491790771484,76.25,83.5999984741211,71.6500015258789,74.55000305175781,641555,2020-10-05
2020-10-12,68.51181030273438,72.3499984741211,79.4000015258789,72.0,79.4000015258789,172770,2020-10-12
2020-10-19,69.83753967285156,73.75,76.3499984741211,72.30000305175781,72.5,147082,2020-10-19
2020-10-26,73.38861083984375,77.5,77.80000305175781,66.4000015258789,74.0999984741211,225132,2020-10-26
2020-11-02,68.51181030273438,72.3499984741211,79.6500015258789,71.0999984741211,79.6500015258789,180321,2020-11-02
2020-11-09,69.93224334716797,73.8499984741211,75.3499984741211,72.19999694824219,72.3499984741211,181334,2020-11-09
2020-11-16,71.96818542480469,76.0,81.80000305175781,73.25,73.3499984741211,417056,2020-11-16
2020-11-23,89.91287994384766,94.94999694824219,94.94999694824219,75.94999694824219,76.0,2819358,2020-11-23
2020-11-30,80.63278198242188,85.1500015258789,96.94999694824219,85.1500015258789,94.94999694824219,861050,2020-11-30
2020-12-07,80.19126892089844,82.9000015258789,85.0,76.9000015258789,80.9000015258789,522186,2020-12-07
2020-12-14,78.45008087158203,81.0999984741211,84.44999694824219,79.80000305175781,82.9000015258789,209006,2020-12-14
2020-12-21,77.38601684570312,80.0,82.94999694824219,73.6500015258789,82.0,138121,2020-12-21
2020-12-28,79.41741180419922,82.0999984741211,83.0,78.0,80.30000305175781,188457,2020-12-28
2021-01-04,78.20824432373047,80.8499984741211,83.75,79.0,82.0,217798,2021-01-04
2021-01-11,76.85398864746094,79.44999694824219,82.5,78.0,81.5,213203,2021-01-11
2021-01-18,75.35464477539062,77.9000015258789,82.0,77.5,78.5999984741211,212950,2021-01-18
2021-01-25,74.29058837890625,76.80000305175781,79.3499984741211,73.0,79.3499984741211,109917,2021-01-25
2021-02-01,80.43309783935547,83.1500015258789,85.44999694824219,73.0,78.0,599220,2021-02-01
2021-02-08,79.99779510498047,82.69999694824219,84.19999694824219,77.55000305175781,83.0,475027,2021-02-08
2021-02-15,76.51541900634766,79.0999984741211,84.94999694824219,77.0,83.69999694824219,359317,2021-02-15
2021-02-22,78.1598892211914,80.80000305175781,84.5,76.19999694824219,78.8499984741211,424142,2021-02-22
2021-03-01,78.1598892211914,80.80000305175781,85.9000015258789,79.0,79.0,463923,2021-03-01
2021-03-08,76.46707153320312,79.05000305175781,82.9000015258789,78.0999984741211,81.69999694824219,166637,2021-03-08
2021-03-15,73.5167236328125,76.0,81.8499984741211,73.5999984741211,79.69999694824219,361493,2021-03-15
2021-03-22,67.80950164794922,70.0999984741211,78.25,69.0,76.55000305175781,266927,2021-03-22
2021-03-29,69.64742279052734,72.0,72.69999694824219,68.9000015258789,70.0999984741211,109999,2021-03-29
2021-04-05,84.44750213623047,87.30000305175781,94.0,71.0999984741211,72.8499984741211,2317990,2021-04-05
2021-04-12,98.28024291992188,101.5999984741211,112.5,76.4000015258789,84.9000015258789,5373421,2021-04-12
2021-04-19,93.49198913574219,96.6500015258789,103.80000305175781,87.0,87.0,2437891,2021-04-19
2021-04-26,82.2710189819336,85.05000305175781,98.44999694824219,84.5,97.55000305175781,592018,2021-04-26
2021-05-03,83.04487609863281,85.8499984741211,90.80000305175781,83.0999984741211,84.4000015258789,288014,2021-05-03
2021-05-10,84.83442687988281,87.69999694824219,89.69999694824219,85.0,86.19999694824219,329049,2021-05-10
2021-05-17,85.22135925292969,88.0999984741211,88.5,86.0,88.30000305175781,147029,2021-05-17
2021-05-24,86.09194946289062,89.0,96.0,87.0,87.94999694824219,386644,2021-05-24
2021-05-31,85.12462615966797,88.0,90.0,85.05000305175781,89.8499984741211,224452,2021-05-31
2021-06-07,85.9952163696289,88.9000015258789,90.44999694824219,84.05000305175781,89.75,291177,2021-06-07
2021-06-14,86.28541564941406,89.19999694824219,95.0,87.0999984741211,90.0,353917,2021-06-14
2021-06-21,91.99263763427734,95.0999984741211,99.9000015258789,87.4000015258789,89.0,446707,2021-06-21
2021-06-28,88.41352844238281,91.4000015258789,95.44999694824219,90.0,95.44999694824219,150965,2021-06-28
2021-07-05,87.01090240478516,89.94999694824219,94.19999694824219,88.5,94.19999694824219,222246,2021-07-05
2021-07-12,91.41223907470703,94.5,95.05000305175781,88.5,90.9000015258789,256582,2021-07-12
2021-07-19,107.51820373535156,111.1500015258789,114.80000305175781,93.0,95.05000305175781,2345338,2021-07-19
2021-07-26,97.50639343261719,100.80000305175781,111.69999694824219,95.5999984741211,110.0999984741211,1006512,2021-07-26
2021-08-02,100.55345916748047,103.94999694824219,113.80000305175781,99.30000305175781,100.0,1463673,2021-08-02
2021-08-09,92.52466583251953,95.6500015258789,106.8499984741211,92.0,105.0,477542,2021-08-09
2021-08-16,88.60698699951172,91.5999984741211,96.0,90.0,96.0,254752,2021-08-16
2021-08-23,92.57302856445312,95.69999694824219,98.19999694824219,87.19999694824219,94.9000015258789,423682,2021-08-23
2021-08-30,93.6370849609375,96.80000305175781,99.44999694824219,92.25,96.4000015258789,441702,2021-08-30
2021-09-06,92.66976165771484,95.80000305175781,99.0,92.94999694824219,97.5,254233,2021-09-06
2021-09-13,93.72606658935547,94.8499984741211,97.9000015258789,92.0999984741211,92.0999984741211,272317,2021-09-13
2021-09-20,91.25568389892578,92.3499984741211,95.9000015258789,90.44999694824219,94.05000305175781,216063,2021-09-20
2021-09-27,91.05805969238281,92.1500015258789,96.94999694824219,91.0,91.69999694824219,241219,2021-09-27
2021-10-04,103.6075668334961,104.8499984741211,104.8499984741211,91.5,92.8499984741211,1183417,2021-10-04
2021-10-11,99.30911254882812,100.5,111.3499984741211,100.0,104.8499984741211,1260910,2021-10-11
2021-10-18,96.44347381591797,97.5999984741211,105.5,95.44999694824219,102.0,474249,2021-10-18
2021-10-25,90.21813201904297,91.30000305175781,98.5,90.55000305175781,98.5,355022,2021-10-25
2021-11-01,97.28340148925781,98.44999694824219,101.25,91.8499984741211,92.1500015258789,293152,2021-11-01
2021-11-08,101.7300796508789,102.94999694824219,104.9000015258789,97.05000305175781,101.9000015258789,429123,2021-11-08
2021-11-15,121.44367980957031,122.9000015258789,135.8000030517578,103.5,103.9000015258789,4217102,2021-11-15
2021-11-22,106.67082977294922,107.94999694824219,121.55000305175781,107.75,121.55000305175781,1523333,2021-11-22
2021-11-29,120.25789642333984,121.69999694824219,121.69999694824219,103.05000305175781,106.30000305175781,559999,2021-11-29
2021-12-06,176.3848419189453,178.5,178.5,127.75,127.75,2890715,2021-12-06
2021-12-13,184.24063110351562,186.4499969482422,216.85000610351562,186.4499969482422,187.39999389648438,3755904,2021-12-13
2021-12-20,194.96206665039062,197.3000030517578,213.6999969482422,170.35000610351562,177.14999389648438,3670476,2021-12-20
2021-12-27,225.44650268554688,228.14999389648438,233.8000030517578,194.0,194.0,3216055,2021-12-27
2022-01-03,287.65057373046875,291.1000061035156,291.1000061035156,231.14999389648438,235.8000030517578,1331612,2022-01-03
2022-01-10,333.99481201171875,338.0,351.8999938964844,305.6499938964844,305.6499938964844,3872907,2022-01-10
2022-01-17,301.73175048828125,305.3500061035156,372.6000061035156,305.3500061035156,354.8999938964844,2389199,2022-01-17
2022-01-24,271.64251708984375,274.8999938964844,290.1000061035156,260.0,290.1000061035156,302776,2022-01-24
2022-01-31,290.6150207519531,294.1000061035156,317.3999938964844,248.14999389648438,279.8999938964844,805094,2022-01-31
2022-02-07,265.1207275390625,268.29998779296875,300.0,239.60000610351562,290.0,433495,2022-02-07
2022-02-14,222.87733459472656,225.5500030517578,264.0,225.5,254.89999389648438,395421,2022-02-14
2022-02-21,220.159912109375,222.8000030517578,236.89999389648438,210.0,214.3000030517578,345996,2022-02-21
2022-02-28,203.06491088867188,205.5,222.0,200.1999969482422,213.3000030517578,178169,2022-02-28
2022-03-07,230.53549194335938,233.3000030517578,233.3000030517578,187.0,195.25,257068,2022-03-07
2022-03-14,227.6698455810547,230.39999389648438,241.10000610351562,218.35000610351562,239.0,170189,2022-03-14
2022-03-21,228.50978088378906,231.25,233.10000610351562,210.0,232.0,290933,2022-03-21
2022-03-28,266.3065490722656,269.5,278.0,225.0,233.0,492992,2022-03-28
2022-04-04,299.1625061035156,302.75,323.8500061035156,266.0,274.8500061035156,496231,2022-04-04
2022-04-11,294.3205871582031,297.8500061035156,310.0,279.3500061035156,303.0,157910,2022-04-11
2022-04-18,282.0180969238281,285.3999938964844,311.0,278.1000061035156,302.79998779296875,382237,2022-04-18
