Date,Adj Close_ADVENZYMES.NS,Close_ADVENZYMES.NS,High_ADVENZYMES.NS,Low_ADVENZYMES.NS,Open_ADVENZYMES.NS,Volume_ADVENZYMES.NS,Date
2020-07-13,155.0515594482422,163.14999389648438,169.0,159.1999969482422,168.8000030517578,254434,2020-07-13
2020-07-20,154.1962127685547,162.25,169.5,161.10000610351562,165.25,594002,2020-07-20
2020-07-27,180.66383361816406,190.10000610351562,194.64999389648438,158.0,163.0,4366831,2020-07-27
2020-08-03,205.94342041015625,216.6999969482422,224.75,190.1999969482422,194.0,6675262,2020-08-03
2020-08-10,206.08596801757812,216.85000610351562,227.35000610351562,202.89999389648438,215.0,4494666,2020-08-10
2020-08-17,223.76271057128906,235.4499969482422,244.39999389648438,218.35000610351562,223.89999389648438,6392959,2020-08-17
2020-08-24,206.79876708984375,217.60000610351562,248.0,216.0,241.5,3369848,2020-08-24
2020-08-31,221.6719207763672,233.25,235.0,196.0,217.85000610351562,4411285,2020-08-31
2020-09-07,218.63075256347656,230.0500030517578,238.5500030517578,223.5500030517578,235.0,1564987,2020-09-07
2020-09-14,238.58837890625,251.0500030517578,254.0,232.0,234.89999389648438,3371665,2020-09-14
2020-09-21,278.5986022949219,293.1499938964844,317.0,216.6999969482422,252.85000610351562,15471072,2020-09-21
2020-09-28,318.03863525390625,334.6499938964844,344.3999938964844,283.54998779296875,292.0,7650036,2020-09-28
2020-10-05,341.6551208496094,359.5,384.70001220703125,324.0,334.70001220703125,7600170,2020-10-05
2020-10-12,313.0492248535156,329.3999938964844,362.3999938964844,313.6499938964844,362.3999938964844,2071152,2020-10-12
2020-10-19,303.26055908203125,319.1000061035156,340.0,315.0,332.3999938964844,1352579,2020-10-19
2020-10-26,297.27325439453125,312.79998779296875,327.8500061035156,300.1000061035156,315.3999938964844,1422427,2020-10-26
2020-11-02,292.1887512207031,307.45001220703125,314.79998779296875,281.1000061035156,314.70001220703125,1271771,2020-11-02
2020-11-09,313.99957275390625,330.3999938964844,336.6000061035156,300.6000061035156,311.6000061035156,1809667,2020-11-09
2020-11-16,318.8939208984375,335.54998779296875,347.0,314.0,330.95001220703125,1170146,2020-11-16
2020-11-23,335.3827209472656,352.8999938964844,357.20001220703125,321.1000061035156,335.0,2169323,2020-11-23
2020-11-30,332.7217102050781,350.1000061035156,368.0,345.0,352.8999938964844,848796,2020-11-30
2020-12-07,320.9372253417969,337.70001220703125,359.70001220703125,335.25,351.6000061035156,776155,2020-12-07
2020-12-14,324.2635498046875,341.20001220703125,356.0,337.8999938964844,340.54998779296875,889224,2020-12-14
2020-12-21,309.1051940917969,325.25,342.6000061035156,296.0,341.1000061035156,1095032,2020-12-21
2020-12-28,319.98687744140625,336.70001220703125,344.70001220703125,320.0,333.1499938964844,1211013,2020-12-28
2021-01-04,311.813720703125,328.1000061035156,338.45001220703125,325.0,335.1000061035156,1163340,2021-01-04
2021-01-11,301.7873840332031,317.54998779296875,334.0,314.0,331.3500061035156,730333,2021-01-11
2021-01-18,293.5668029785156,308.8999938964844,328.0,306.6000061035156,317.0,637340,2021-01-18
2021-01-25,300.88458251953125,316.6000061035156,329.5,301.1000061035156,312.3999938964844,718991,2021-01-25
2021-02-01,317.7059631347656,334.29998779296875,343.3999938964844,310.6499938964844,317.54998779296875,1178738,2021-02-01
2021-02-08,357.0034484863281,375.6499938964844,393.29998779296875,335.04998779296875,335.04998779296875,4893858,2021-02-08
2021-02-15,374.9653015136719,394.54998779296875,417.0,357.54998779296875,379.29998779296875,2862120,2021-02-15
2021-02-22,339.51678466796875,357.25,395.5,351.0,395.0,1533013,2021-02-22
2021-03-01,331.2961730957031,348.6000061035156,368.95001220703125,344.0,358.0,1017577,2021-03-01
2021-03-08,336.6181945800781,354.20001220703125,363.0,345.0,349.95001220703125,1283808,2021-03-08
2021-03-15,337.8536376953125,355.5,380.0,341.0,354.5,1705625,2021-03-15
2021-03-22,325.16632080078125,342.1499938964844,360.0,333.3999938964844,357.0,898080,2021-03-22
2021-03-29,335.57281494140625,353.1000061035156,362.0,340.54998779296875,342.1499938964844,520584,2021-03-29
2021-04-05,352.3466796875,370.75,392.79998779296875,348.5,351.79998779296875,1947831,2021-04-05
2021-04-12,339.374267578125,357.1000061035156,374.0,347.70001220703125,367.0,650628,2021-04-12
2021-04-19,366.0794372558594,385.20001220703125,400.0,342.75,352.79998779296875,1794896,2021-04-19
2021-04-26,380.8100280761719,400.70001220703125,422.0,376.70001220703125,385.3999938964844,2963773,2021-04-26
2021-05-03,422.9110107421875,445.0,485.8500061035156,398.1499938964844,402.75,7586295,2021-05-03
2021-05-10,433.8877258300781,456.54998779296875,473.5,446.0,450.54998779296875,2068721,2021-05-10
2021-05-17,456.1261901855469,479.95001220703125,503.70001220703125,451.25,459.70001220703125,3555946,2021-05-17
2021-05-24,434.5054626464844,457.20001220703125,495.0,451.54998779296875,485.0,1420341,2021-05-24
2021-05-31,394.3526916503906,414.95001220703125,446.0,405.5,442.0,2326242,2021-05-31
2021-06-07,393.259765625,413.79998779296875,427.3999938964844,408.1000061035156,415.3500061035156,1796651,2021-06-07
2021-06-14,395.4455871582031,416.1000061035156,448.0,390.04998779296875,415.0,6042001,2021-06-14
2021-06-21,388.88812255859375,409.20001220703125,431.70001220703125,404.20001220703125,408.0,1470385,2021-06-21
2021-06-28,387.3675231933594,407.6000061035156,428.79998779296875,400.0,414.0,2012505,2021-06-28
2021-07-05,383.8036804199219,403.8500061035156,417.8999938964844,394.04998779296875,410.0,2364991,2021-07-05
2021-07-12,393.4497985839844,414.0,426.0,402.04998779296875,408.3999938964844,2451033,2021-07-12
2021-07-19,379.0518798828125,398.8500061035156,413.3999938964844,396.8999938964844,412.0,757273,2021-07-19
2021-07-26,379.4320068359375,399.25,412.1000061035156,396.5,403.95001220703125,783385,2021-07-26
2021-08-02,391.4540710449219,411.8999938964844,435.95001220703125,401.20001220703125,403.0,3257975,2021-08-02
2021-08-09,369.1680908203125,388.45001220703125,424.54998779296875,369.95001220703125,418.0,1585504,2021-08-09
2021-08-16,356.623291015625,375.25,391.79998779296875,368.0,389.0,953898,2021-08-16
2021-08-23,352.5367736816406,370.95001220703125,385.0,353.29998779296875,385.0,1028985,2021-08-23
2021-08-30,359.9020690917969,378.70001220703125,390.0,373.5,379.8999938964844,1041057,2021-08-30
2021-09-06,349.19287109375,366.54998779296875,381.0,364.29998779296875,381.0,520002,2021-09-06
2021-09-13,380.0586853027344,398.95001220703125,422.3500061035156,366.25,367.70001220703125,8719520,2021-09-13
2021-09-20,362.1965637207031,380.20001220703125,405.95001220703125,378.04998779296875,394.70001220703125,1541484,2021-09-20
2021-09-27,365.8642272949219,384.04998779296875,396.8999938964844,378.25,384.0,1408586,2021-09-27
2021-10-04,386.1079406738281,405.29998779296875,420.8999938964844,385.79998779296875,386.70001220703125,2482356,2021-10-04
2021-10-11,374.62860107421875,393.25,421.5,390.3500061035156,408.70001220703125,1591574,2021-10-11
2021-10-18,354.6705627441406,372.29998779296875,405.54998779296875,367.54998779296875,396.0,1073022,2021-10-18
2021-10-25,358.95745849609375,376.79998779296875,387.8999938964844,370.0,374.6499938964844,641708,2021-10-25
2021-11-01,346.9065246582031,364.1499938964844,391.1499938964844,362.0,377.04998779296875,835392,2021-11-01
2021-11-08,336.1416015625,352.8500061035156,367.0,352.0,365.5,872976,2021-11-08
2021-11-15,320.5657958984375,336.5,360.1499938964844,334.8500061035156,350.0,424800,2021-11-15
