Date,Adj Close_POLYPLEX.NS,Close_POLYPLEX.NS,High_POLYPLEX.NS,Low_POLYPLEX.NS,Open_POLYPLEX.NS,Volume_POLYPLEX.NS,Date
2020-07-13,453.3687438964844,609.5,619.0,568.3499755859375,586.0499877929688,429381,2020-07-13
2020-07-20,445.3353271484375,598.7000122070312,621.5,591.4000244140625,612.9000244140625,372062,2020-07-20
2020-07-27,436.6695556640625,587.0499877929688,612.0,561.0499877929688,599.8499755859375,1357773,2020-07-27
2020-08-03,533.703125,717.5,728.0,583.8499755859375,589.9500122070312,2300241,2020-08-03
2020-08-10,564.2748413085938,758.5999755859375,805.0,715.0,723.9000244140625,1520783,2020-08-10
2020-08-17,616.826904296875,829.25,878.8499755859375,750.4000244140625,810.0,3011491,2020-08-17
2020-08-24,549.2493896484375,738.4000244140625,848.0,724.0,839.0,1138355,2020-08-24
2020-08-31,556.6288452148438,714.2000122070312,746.7999877929688,655.0499877929688,740.0,758670,2020-08-31
2020-09-07,554.1737060546875,711.0499877929688,724.4500122070312,675.6500244140625,714.2000122070312,335646,2020-09-07
2020-09-14,567.9297485351562,728.7000122070312,758.0,707.0499877929688,729.0,463070,2020-09-14
2020-09-21,521.1282348632812,668.6500244140625,749.4000244140625,643.3499755859375,735.0,428698,2020-09-21
2020-09-28,556.7846069335938,714.4000244140625,720.0,666.9500122070312,680.0,196637,2020-09-28
2020-10-05,568.748046875,729.75,747.0,711.5,720.0,350988,2020-10-05
2020-10-12,577.3211669921875,740.75,749.0,713.0499877929688,729.75,434239,2020-10-12
2020-10-19,625.4863891601562,802.5499877929688,813.9000244140625,740.0,748.0,1303219,2020-10-19
2020-10-26,606.4696044921875,778.1500244140625,857.7000122070312,761.25,809.0,809026,2020-10-26
2020-11-02,611.6135864257812,784.75,800.0,732.4000244140625,775.0,473429,2020-11-02
2020-11-09,604.287353515625,775.3499755859375,808.5,722.0,789.0,653516,2020-11-09
2020-11-16,595.0907592773438,763.5499877929688,785.0,747.0,766.2000122070312,403770,2020-11-16
2020-11-23,584.3882446289062,735.4000244140625,785.0,727.0499877929688,761.0499877929688,466912,2020-11-23
2020-11-30,623.4454956054688,784.5499877929688,802.7000122070312,727.3499755859375,735.4000244140625,511788,2020-11-30
2020-12-07,611.9627075195312,770.0999755859375,807.0,745.25,781.5499877929688,432275,2020-12-07
2020-12-14,603.0626220703125,758.9000244140625,782.9500122070312,745.0,773.0,206433,2020-12-14
2020-12-21,580.6930541992188,730.75,765.0,698.2000122070312,758.9000244140625,204246,2020-12-21
2020-12-28,570.0447387695312,717.3499755859375,735.7999877929688,707.5499877929688,730.0499877929688,413334,2020-12-28
