Date,Adj Close_BCONCEPTS.NS,Close_BCONCEPTS.NS,High_BCONCEPTS.NS,Low_BCONCEPTS.NS,Open_BCONCEPTS.NS,Volume_BCONCEPTS.NS,Date
2020-07-13,14.950400352478027,15.0,15.0,15.0,15.0,0,2020-07-13
2020-07-20,14.701226234436035,14.75,15.0,14.75,15.0,3000,2020-07-20
2020-07-27,14.701226234436035,14.75,14.75,14.75,14.75,0,2020-07-27
2020-08-03,15.39891242980957,15.449999809265137,15.449999809265137,14.050000190734863,14.75,12000,2020-08-03
2020-08-10,14.651391983032227,14.699999809265137,15.449999809265137,14.699999809265137,15.449999809265137,3000,2020-08-10
2020-08-17,14.003541946411133,14.050000190734863,14.050000190734863,14.050000190734863,14.050000190734863,6000,2020-08-17
2020-08-24,14.003541946411133,14.050000190734863,14.050000190734863,14.050000190734863,14.050000190734863,0,2020-08-24
2020-08-31,14.701226234436035,14.75,14.75,14.050000190734863,14.050000190734863,6000,2020-08-31
2020-09-07,17.79097557067871,17.850000381469727,17.850000381469727,15.449999809265137,15.449999809265137,18000,2020-09-07
2020-09-14,22.475435256958008,22.549999237060547,22.549999237060547,17.899999618530273,17.899999618530273,72000,2020-09-14
2020-09-21,20.38237953186035,20.450000762939453,21.5,20.450000762939453,21.5,6000,2020-09-21
2020-09-28,20.38237953186035,20.450000762939453,20.450000762939453,20.450000762939453,20.450000762939453,0,2020-09-28
2020-10-05,19.933868408203125,20.0,20.450000762939453,18.5,20.450000762939453,30000,2020-10-05
2020-10-12,18.687999725341797,18.75,20.450000762939453,18.75,20.0,21000,2020-10-12
2020-10-19,17.940481185913086,18.0,18.75,18.0,18.75,3000,2020-10-19
2020-10-26,17.192960739135742,17.25,17.25,17.25,17.25,3000,2020-10-26
2020-11-02,17.192960739135742,17.25,17.25,17.25,17.25,0,2020-11-02
2020-11-09,16.69461441040039,16.75,17.200000762939453,16.399999618530273,16.399999618530273,12000,2020-11-09
2020-11-16,16.196266174316406,16.25,16.75,16.25,16.75,3000,2020-11-16
2020-11-23,15.448747634887695,15.5,16.25,15.5,16.25,3000,2020-11-23
2020-11-30,14.950400352478027,15.0,15.5,15.0,15.5,3000,2020-11-30
2020-12-07,15.199573516845703,15.25,15.25,14.550000190734863,15.0,9000,2020-12-07
2020-12-14,18.388992309570312,18.450000762939453,18.450000762939453,15.600000381469727,15.600000381469727,54000,2020-12-14
2020-12-21,19.28601837158203,19.350000381469727,19.350000381469727,18.450000762939453,18.450000762939453,6000,2020-12-21
2020-12-28,21.42890739440918,21.5,23.149999618530273,19.350000381469727,19.350000381469727,105000,2020-12-28
2021-01-04,26.41237449645996,26.5,27.299999237060547,22.549999237060547,22.549999237060547,57000,2021-01-04
2021-01-11,28.2064208984375,28.299999237060547,30.600000381469727,26.5,26.5,81000,2021-01-11
2021-01-18,29.801130294799805,29.899999618530273,32.04999923706055,28.0,28.049999237060547,45000,2021-01-18
2021-01-25,26.960554122924805,27.049999237060547,29.0,24.850000381469727,29.0,69000,2021-01-25
2021-02-01,25.914026260375977,26.0,26.0,25.700000762939453,25.75,9000,2021-02-01
2021-02-08,21.17973518371582,21.25,26.899999618530273,21.25,26.899999618530273,66000,2021-02-08
2021-02-15,20.58171844482422,20.649999618530273,22.299999237060547,20.649999618530273,22.299999237060547,21000,2021-02-15
2021-02-22,22.674774169921875,22.75,24.950000762939453,20.649999618530273,20.649999618530273,135000,2021-02-22
2021-03-01,23.42229461669922,23.5,24.700000762939453,21.399999618530273,22.75,90000,2021-03-01
2021-03-08,25.71468734741211,25.799999237060547,25.799999237060547,21.75,22.350000381469727,372000,2021-03-08
2021-03-15,24.917333602905273,25.0,27.25,25.0,27.049999237060547,276000,2021-03-15
2021-03-22,28.704769134521484,28.799999237060547,28.899999618530273,26.25,26.25,57000,2021-03-22
2021-03-29,31.196500778198242,31.299999237060547,31.299999237060547,28.799999237060547,28.799999237060547,9000,2021-03-29
2021-04-05,27.458900451660156,27.549999237060547,31.299999237060547,27.549999237060547,31.299999237060547,27000,2021-04-05
2021-04-12,25.316011428833008,25.399999618530273,26.700000762939453,25.0,26.200000762939453,21000,2021-04-12
2021-04-19,26.462207794189453,26.549999237060547,26.549999237060547,24.149999618530273,24.149999618530273,18000,2021-04-19
2021-04-26,23.920639038085938,24.0,27.200000762939453,24.0,26.549999237060547,51000,2021-04-26
2021-05-03,22.923946380615234,23.0,24.850000381469727,23.0,24.0,60000,2021-05-03
2021-05-10,24.070144653320312,24.149999618530273,24.149999618530273,23.0,23.0,3000,2021-05-10
2021-05-17,25.615020751953125,25.700000762939453,25.700000762939453,24.450000762939453,24.5,12000,2021-05-17
2021-05-24,25.914026260375977,26.0,26.799999237060547,24.450000762939453,25.200000762939453,24000,2021-05-24
2021-05-31,25.9638614654541,26.049999237060547,26.5,26.0,26.0,6000,2021-05-31
2021-06-07,24.169815063476562,24.25,26.700000762939453,24.25,26.049999237060547,36000,2021-06-07
2021-06-14,23.721302032470703,23.799999237060547,25.25,23.799999237060547,24.25,18000,2021-06-14
