Date,Adj Close_KIRLOSBROS.NS,Close_KIRLOSBROS.NS,High_KIRLOSBROS.NS,Low_KIRLOSBROS.NS,Open_KIRLOSBROS.NS,Volume_KIRLOSBROS.NS,Date
2020-07-13,107.96356964111328,111.25,114.5999984741211,107.6500015258789,109.80000305175781,333945,2020-07-13
2020-07-20,120.96772766113281,124.6500015258789,134.0,108.30000305175781,112.0,4038237,2020-07-20
2020-07-27,127.17866516113281,131.0500030517578,137.6999969482422,109.3499984741211,122.55000305175781,3286962,2020-07-27
2020-08-03,138.6300811767578,142.85000610351562,145.0,126.0999984741211,130.0,1144129,2020-08-03
2020-08-10,126.30522918701172,130.14999389648438,147.35000610351562,127.1500015258789,144.4499969482422,938594,2020-08-10
2020-08-17,129.07106018066406,133.0,134.9499969482422,128.0,132.8000030517578,318590,2020-08-17
2020-08-24,129.70184326171875,133.64999389648438,140.89999389648438,128.0,132.0500030517578,1036672,2020-08-24
2020-08-31,120.38545227050781,124.05000305175781,139.4499969482422,123.5,136.6999969482422,314952,2020-08-31
2020-09-07,110.34120178222656,113.69999694824219,126.80000305175781,109.5,124.75,445867,2020-09-07
2020-09-14,112.37916564941406,115.80000305175781,119.8499984741211,114.30000305175781,114.30000305175781,239707,2020-09-14
2020-09-21,106.03852844238281,108.80000305175781,118.0,104.25,116.9000015258789,218885,2020-09-21
2020-09-28,112.6172103881836,115.55000305175781,123.4000015258789,108.94999694824219,108.94999694824219,367049,2020-09-28
2020-10-05,109.88826751708984,112.75,116.5,111.0,115.55000305175781,157557,2020-10-05
2020-10-12,108.91365051269531,111.75,117.0,108.9000015258789,112.75,188346,2020-10-12
2020-10-19,102.2862319946289,104.94999694824219,114.0,101.5,113.30000305175781,496587,2020-10-19
2020-10-26,100.14208984375,102.75,107.8499984741211,98.0999984741211,107.8499984741211,290343,2020-10-26
2020-11-02,109.74207305908203,112.5999984741211,113.9000015258789,102.5,102.75,415557,2020-11-02
2020-11-09,107.8415756225586,110.6500015258789,113.4000015258789,105.55000305175781,112.94999694824219,216903,2020-11-09
2020-11-16,119.73191833496094,122.8499984741211,130.8000030517578,108.44999694824219,108.44999694824219,1232117,2020-11-16
2020-11-23,135.13087463378906,138.64999389648438,147.39999389648438,121.5999984741211,123.0,3809488,2020-11-23
2020-11-30,135.033447265625,138.5500030517578,143.89999389648438,136.4499969482422,138.64999389648438,429160,2020-11-30
2020-12-07,128.79586791992188,132.14999389648438,148.5,129.10000610351562,139.5,1211565,2020-12-07
2020-12-14,130.8425750732422,134.25,138.0,129.0,134.89999389648438,360807,2020-12-14
2020-12-21,121.72989654541016,124.9000015258789,136.0,116.5,136.0,701170,2020-12-21
2020-12-28,123.72785186767578,126.94999694824219,131.35000610351562,126.0,128.0,532027,2020-12-28
2021-01-04,133.32786560058594,136.8000030517578,144.0,126.94999694824219,128.64999389648438,1105348,2021-01-04
2021-01-11,135.9105987548828,139.4499969482422,152.1999969482422,134.39999389648438,138.5,1532962,2021-01-11
2021-01-18,130.79383850097656,134.1999969482422,141.3000030517578,132.0,141.3000030517578,512178,2021-01-18
2021-01-25,135.95932006835938,139.5,142.5500030517578,130.9499969482422,135.9499969482422,465487,2021-01-25
2021-02-01,155.4517059326172,159.5,164.89999389648438,137.75,140.89999389648438,1729524,2021-02-01
2021-02-08,153.6973876953125,157.6999969482422,175.0,155.0,160.0,1298961,2021-02-08
2021-02-15,152.33291625976562,156.3000030517578,164.5,154.39999389648438,160.5,611693,2021-02-15
2021-02-22,153.01515197753906,157.0,158.75,150.3000030517578,158.0,298768,2021-02-22
2021-03-01,184.6902618408203,189.5,215.1999969482422,153.0,158.8000030517578,3299772,2021-03-01
2021-03-08,190.8791046142578,195.85000610351562,202.89999389648438,184.4499969482422,193.0,703024,2021-03-08
2021-03-15,195.36233520507812,200.4499969482422,214.5500030517578,185.10000610351562,196.0,945325,2021-03-15
2021-03-22,214.9034423828125,220.5,236.6999969482422,198.4499969482422,198.4499969482422,1455477,2021-03-22
2021-03-29,253.88818359375,260.5,278.29998779296875,216.35000610351562,220.5,894404,2021-03-29
2021-04-05,240.3897247314453,246.64999389648438,271.0,244.0500030517578,262.8999938964844,558996,2021-04-05
2021-04-12,222.50547790527344,228.3000030517578,245.0,221.39999389648438,237.0,211687,2021-04-12
2021-04-19,225.42933654785156,231.3000030517578,238.64999389648438,210.3000030517578,223.8000030517578,315692,2021-04-19
2021-04-26,237.95318603515625,244.14999389648438,253.0,230.1999969482422,233.5,308459,2021-04-26
2021-05-03,235.32171630859375,241.4499969482422,256.3999938964844,236.85000610351562,242.64999389648438,280984,2021-05-03
2021-05-10,251.25669860839844,257.79998779296875,273.0,240.25,245.89999389648438,365341,2021-05-10
2021-05-17,283.2242431640625,290.6000061035156,298.29998779296875,264.0,264.0,485833,2021-05-17
2021-05-24,357.1977844238281,366.5,414.70001220703125,290.75,298.0,2064798,2021-05-24
2021-05-31,439.4555969238281,450.8999938964844,450.8999938964844,370.70001220703125,372.0,2177675,2021-05-31
2021-06-07,449.00689697265625,460.70001220703125,489.3999938964844,445.0,470.0,773208,2021-06-07
2021-06-14,432.29217529296875,443.54998779296875,484.0,430.95001220703125,460.0,237936,2021-06-14
2021-06-21,414.4079284667969,425.20001220703125,462.0,421.3999938964844,425.0,143081,2021-06-21
2021-06-28,428.97845458984375,440.1499938964844,440.1499938964844,392.04998779296875,421.0,302089,2021-06-28
2021-07-05,466.1601867675781,478.29998779296875,490.0,450.0,450.0,331848,2021-07-05
2021-07-12,466.2088928222656,478.3500061035156,496.0,474.0,480.0,360565,2021-07-12
2021-07-19,444.8160095214844,456.3999938964844,499.20001220703125,436.04998779296875,478.0,103809,2021-07-19
2021-07-26,418.8424072265625,429.75,460.0,410.0,450.3500061035156,90191,2021-07-26
2021-08-02,388.921630859375,399.04998779296875,432.8999938964844,363.1499938964844,416.0,385246,2021-08-02
2021-08-09,371.32977294921875,381.0,418.0,373.0,399.79998779296875,191934,2021-08-09
2021-08-16,359.536865234375,368.8999938964844,397.75,356.3500061035156,383.8999938964844,68242,2021-08-16
2021-08-23,364.7510986328125,374.25,391.5,344.0,351.0,87347,2021-08-23
2021-08-30,360.0618591308594,366.5,388.8999938964844,365.0,388.8999938964844,40360,2021-08-30
2021-09-06,363.5003967285156,370.0,385.0,360.0,366.5,209367,2021-09-06
2021-09-13,359.9145202636719,366.3500061035156,379.0,360.0,365.0,192196,2021-09-13
2021-09-20,349.8445739746094,356.1000061035156,376.1499938964844,347.20001220703125,376.1499938964844,603340,2021-09-20
2021-09-27,403.6819152832031,410.8999938964844,414.0,340.1000061035156,368.0,1047370,2021-09-27
2021-10-04,398.5732727050781,405.70001220703125,427.45001220703125,392.0,417.70001220703125,573465,2021-10-04
2021-10-11,396.06805419921875,403.1499938964844,414.8999938964844,372.20001220703125,413.8500061035156,110971,2021-10-11
2021-10-18,385.9490051269531,392.8500061035156,409.95001220703125,375.0,409.95001220703125,182373,2021-10-18
2021-10-25,387.71734619140625,394.6499938964844,407.0,373.25,395.0,125944,2021-10-25
2021-11-01,377.45098876953125,384.20001220703125,386.70001220703125,362.0,375.0,207751,2021-11-01
2021-11-08,372.1949157714844,378.8500061035156,394.95001220703125,373.70001220703125,380.0,40475,2021-11-08
2021-11-15,362.5179443359375,369.0,385.0,365.0,380.0,31825,2021-11-15
2021-11-22,348.1253356933594,354.3500061035156,375.0,341.0,360.0,110146,2021-11-22
2021-11-29,363.5003967285156,370.0,377.29998779296875,345.0,354.3500061035156,56452,2021-11-29
2021-12-06,356.23040771484375,362.6000061035156,388.0,360.0,371.0,89373,2021-12-06
2021-12-13,339.4798889160156,345.54998779296875,373.95001220703125,342.5,365.5,205694,2021-12-13
2021-12-20,328.7222595214844,334.6000061035156,350.3500061035156,311.3500061035156,346.0,96130,2021-12-20
2021-12-27,328.181884765625,334.04998779296875,340.0,326.6000061035156,340.0,72417,2021-12-27
2022-01-03,366.0055847167969,372.54998779296875,376.0,317.6499938964844,335.0,289788,2022-01-03
2022-01-10,377.5491943359375,384.29998779296875,399.3999938964844,369.6499938964844,378.0,185753,2022-01-10
2022-01-17,356.1812438964844,362.54998779296875,396.8500061035156,355.0,393.0,96109,2022-01-17
2022-01-24,347.6832275390625,353.8999938964844,380.5,338.0,380.5,54205,2022-01-24
2022-01-31,366.496826171875,373.04998779296875,388.0,349.20001220703125,367.79998779296875,91739,2022-01-31
2022-02-07,334.66595458984375,340.6499938964844,380.3999938964844,325.1000061035156,380.3999938964844,149983,2022-02-07
2022-02-14,314.4278259277344,320.04998779296875,344.1499938964844,320.0,340.0,209995,2022-02-14
2022-02-21,304.21051025390625,309.6499938964844,329.25,300.20001220703125,320.1000061035156,167405,2022-02-21
2022-02-28,281.8110656738281,286.8500061035156,311.25,282.54998779296875,310.0,124523,2022-02-28
2022-03-07,295.6142272949219,300.8999938964844,314.0,270.0,277.5,229312,2022-03-07
2022-03-14,294.73004150390625,300.0,311.8999938964844,277.6000061035156,311.8999938964844,155341,2022-03-14
2022-03-21,287.902099609375,293.04998779296875,311.3500061035156,289.0,300.04998779296875,172321,2022-03-21
2022-03-28,291.53717041015625,296.75,303.95001220703125,273.0,303.95001220703125,365354,2022-03-28
2022-04-04,327.7889099121094,333.6499938964844,344.8999938964844,287.0,291.20001220703125,223467,2022-04-04
2022-04-11,339.3816833496094,345.45001220703125,363.0,332.29998779296875,345.0,180342,2022-04-11
2022-04-18,333.487060546875,339.45001220703125,358.0,335.0,341.20001220703125,97633,2022-04-18
2022-04-25,318.7996520996094,324.5,344.3999938964844,315.25,344.3999938964844,101857,2022-04-25
2022-05-02,287.4600524902344,292.6000061035156,329.20001220703125,289.0,324.5,105338,2022-05-02
2022-05-09,261.5238037109375,266.20001220703125,296.0,250.0,296.0,72463,2022-05-09
2022-05-16,269.7762145996094,274.6000061035156,288.0,253.64999389648438,264.1000061035156,93107,2022-05-16
2022-05-23,257.0537109375,261.6499938964844,277.1499938964844,248.0,276.3500061035156,145453,2022-05-23
2022-05-30,260.7869873046875,265.45001220703125,275.8999938964844,254.10000610351562,267.8500061035156,93075,2022-05-30
2022-06-06,288.4916076660156,293.6499938964844,313.0,256.95001220703125,273.29998779296875,146017,2022-06-06
2022-06-13,296.89141845703125,302.20001220703125,327.8500061035156,275.0,283.45001220703125,857251,2022-06-13
2022-06-20,311.3822937011719,316.95001220703125,318.75,292.0,304.6000061035156,196657,2022-06-20
2022-06-27,307.6490478515625,313.1499938964844,329.75,303.0,321.0,139747,2022-06-27
2022-07-04,320.37158203125,326.1000061035156,339.0,310.04998779296875,313.1499938964844,156467,2022-07-04
2022-07-11,307.45257568359375,312.95001220703125,335.0,310.0,330.0,85255,2022-07-11
2022-07-18,319.7821044921875,325.5,338.54998779296875,311.25,314.6000061035156,126711,2022-07-18
2022-07-25,333.29052734375,339.25,342.1499938964844,310.8500061035156,324.20001220703125,139643,2022-07-25
2022-08-01,348.272705078125,354.5,361.45001220703125,338.5,342.0,213305,2022-08-01
2022-08-08,296.88031005859375,299.6000061035156,358.5,295.04998779296875,355.0,707502,2022-08-08
2022-08-15,300.8935546875,303.6499938964844,325.0,297.75,299.6000061035156,325614,2022-08-15
2022-08-22,333.74261474609375,336.79998779296875,339.8999938964844,296.3500061035156,296.3500061035156,480176,2022-08-22
2022-08-29,329.5807800292969,332.6000061035156,341.8999938964844,324.04998779296875,328.5,139275,2022-08-29
2022-09-05,337.4090270996094,340.5,350.0,327.1000061035156,335.54998779296875,255434,2022-09-05
2022-09-12,329.4816589355469,332.5,350.0,330.0,343.8500061035156,218919,2022-09-12
2022-09-19,362.5784606933594,365.8999938964844,395.0,330.20001220703125,330.20001220703125,918510,2022-09-19
2022-09-26,340.18359375,343.29998779296875,360.1499938964844,322.70001220703125,360.0,471853,2022-09-26
2022-10-03,352.3719787597656,355.6000061035156,359.29998779296875,323.6000061035156,340.0,202646,2022-10-03
2022-10-10,343.1068420410156,346.25,364.3999938964844,342.45001220703125,353.79998779296875,251238,2022-10-10
2022-10-17,347.3182678222656,350.5,358.0,328.04998779296875,345.1000061035156,174560,2022-10-17
2022-10-24,351.77740478515625,355.0,380.0,348.0,352.0,259050,2022-10-24
2022-10-31,341.8681945800781,345.0,364.8999938964844,333.8999938964844,358.1000061035156,149139,2022-10-31
2022-11-07,351.926025390625,355.1499938964844,390.0,339.3999938964844,348.3999938964844,481099,2022-11-07
2022-11-14,393.7925109863281,397.3999938964844,404.70001220703125,351.6000061035156,355.1499938964844,1643775,2022-11-14
2022-11-21,396.3193664550781,399.95001220703125,424.54998779296875,382.6000061035156,399.70001220703125,1782859,2022-11-21
2022-11-28,377.34320068359375,380.79998779296875,407.0,366.6499938964844,398.0,506051,2022-11-28
2022-12-05,348.3091735839844,351.5,386.0,347.75,383.0,399028,2022-12-05
2022-12-12,326.1620788574219,329.1499938964844,379.5,327.5,351.5,875310,2022-12-12
2022-12-19,295.5425720214844,298.25,339.70001220703125,288.0,331.8500061035156,668392,2022-12-19
2022-12-26,321.1579284667969,324.1000061035156,332.95001220703125,299.5,303.04998779296875,383538,2022-12-26
2023-01-02,313.1314392089844,316.0,328.3999938964844,310.0,324.0,400682,2023-01-02
2023-01-09,321.8020324707031,324.75,343.5,310.0,320.3999938964844,505147,2023-01-09
2023-01-16,307.78045654296875,310.6000061035156,326.0,307.5,324.75,141126,2023-01-16
2023-01-23,292.9661865234375,295.6499938964844,315.70001220703125,286.1000061035156,311.0,118376,2023-01-23
2023-01-30,317.689697265625,320.6000061035156,327.0,289.1499938964844,295.6499938964844,297852,2023-01-30
2023-02-06,389.8288269042969,393.3999938964844,399.8999938964844,315.0,319.1000061035156,2717952,2023-02-06
2023-02-13,361.290283203125,364.6000061035156,392.75,352.0,390.0,1012447,2023-02-13
2023-02-20,356.83111572265625,360.1000061035156,380.8500061035156,353.70001220703125,369.8999938964844,658840,2023-02-20
2023-02-27,369.46539306640625,372.8500061035156,379.0,356.6499938964844,361.20001220703125,422562,2023-02-27
2023-03-06,395.82391357421875,399.45001220703125,409.0,372.04998779296875,374.8999938964844,1390631,2023-03-06
2023-03-13,371.49676513671875,374.8999938964844,407.8500061035156,367.0,400.0,822983,2023-03-13
2023-03-20,379.96917724609375,383.45001220703125,405.0,370.8500061035156,376.3500061035156,488196,2023-03-20
2023-03-27,406.52587890625,410.25,423.29998779296875,378.20001220703125,383.5,843201,2023-03-27
2023-04-03,421.8851623535156,425.75,446.6499938964844,414.0,414.0,877142,2023-04-03
2023-04-10,435.8075866699219,439.79998779296875,450.0,415.54998779296875,425.0,802318,2023-04-10
2023-04-17,428.4252624511719,432.3500061035156,467.70001220703125,426.25,438.0,575695,2023-04-17
2023-04-24,421.2410583496094,425.1000061035156,444.1499938964844,400.1499938964844,432.3500061035156,731453,2023-04-24
2023-05-01,434.6185302734375,438.6000061035156,444.8999938964844,425.1000061035156,425.1000061035156,453688,2023-05-01
2023-05-08,519.9864501953125,524.75,567.4500122070312,415.0,434.1000061035156,4614499,2023-05-08
2023-05-15,558.7811279296875,563.9000244140625,581.8499755859375,518.0,518.0,3455952,2023-05-15
2023-05-22,538.3185424804688,543.25,575.4500122070312,536.4500122070312,563.9000244140625,809531,2023-05-22
2023-05-29,579.2435913085938,584.5499877929688,603.0,530.5499877929688,545.0,1201025,2023-05-29
