Date,Adj Close_TINNARUBR.NS,Close_TINNARUBR.NS,High_TINNARUBR.NS,Low_TINNARUBR.NS,Open_TINNARUBR.NS,Volume_TINNARUBR.NS,Date
2025-04-14,1021.1500244140625,1021.1500244140625,1040.0,1005.4000244140625,1021.0,8204,2025-04-14
2025-04-21,985.0499877929688,985.0499877929688,1088.8499755859375,970.0,1045.8499755859375,67808,2025-04-21
2025-04-28,949.4000244140625,949.4000244140625,994.9500122070312,920.0,985.0499877929688,48244,2025-04-28
2025-05-05,910.2000122070312,910.2000122070312,964.7999877929688,885.0,945.0,74450,2025-05-05
2025-05-12,1013.2000122070312,1013.2000122070312,1030.0,932.0,971.0,81355,2025-05-12
2025-05-19,1019.75,1019.75,1060.25,999.0,1028.4000244140625,81192,2025-05-19
2025-05-26,969.5499877929688,969.5499877929688,1023.0,960.0499877929688,1003.0,92988,2025-05-26
2025-06-02,955.5499877929688,955.5499877929688,976.4000244140625,939.8499755859375,967.5999755859375,80129,2025-06-02
2025-06-09,931.2999877929688,931.2999877929688,1019.0,925.0499877929688,955.5999755859375,128876,2025-06-09
2025-06-16,926.3499755859375,926.3499755859375,956.4500122070312,905.0,935.0,81127,2025-06-16
2025-06-23,945.0999755859375,945.0999755859375,966.7000122070312,910.0,918.0,83155,2025-06-23
2025-06-30,931.8499755859375,931.8499755859375,969.0,910.0,945.1500244140625,77850,2025-06-30
2025-07-07,912.3499755859375,912.3499755859375,965.8499755859375,910.0,931.8499755859375,69438,2025-07-07
2025-07-14,936.2999877929688,936.2999877929688,952.0999755859375,900.5499877929688,916.9000244140625,30572,2025-07-14
