Date,Adj Close_AUSOMENT.NS,Close_AUSOMENT.NS,High_AUSOMENT.NS,Low_AUSOMENT.NS,Open_AUSOMENT.NS,Volume_AUSOMENT.NS,Date
2020-07-13,27.754863739013672,28.850000381469727,31.399999618530273,27.5,31.399999618530273,11561,2020-07-13
2020-07-20,25.97509002685547,27.0,30.850000381469727,26.600000381469727,30.850000381469727,9570,2020-07-20
2020-07-27,26.937129974365234,28.0,29.899999618530273,25.649999618530273,27.049999237060547,28189,2020-07-27
2020-08-03,28.861207962036133,30.0,30.600000381469727,26.649999618530273,26.649999618530273,21020,2020-08-03
2020-08-10,28.620698928833008,29.75,31.5,28.299999237060547,30.049999237060547,25290,2020-08-10
2020-08-17,39.9246711730957,41.5,46.79999923706055,28.700000762939453,30.0,257276,2020-08-17
2020-08-24,35.787899017333984,37.20000076293945,41.900001525878906,35.849998474121094,40.25,39683,2020-08-24
2020-08-31,39.539859771728516,41.099998474121094,46.0,34.45000076293945,39.79999923706055,261505,2020-08-31
2020-09-07,40.405696868896484,42.0,44.20000076293945,39.5,43.0,133242,2020-09-07
2020-09-14,41.12722396850586,42.75,43.849998474121094,40.29999923706055,40.95000076293945,50697,2020-09-14
2020-09-21,41.03102111816406,42.650001525878906,44.5,38.0,44.5,31030,2020-09-21
2020-09-28,45.841224670410156,47.650001525878906,60.849998474121094,41.849998474121094,43.45000076293945,730875,2020-09-28
2020-10-05,40.0689811706543,41.650001525878906,47.95000076293945,39.150001525878906,47.650001525878906,59459,2020-10-05
2020-10-12,40.0689811706543,41.650001525878906,44.5,39.349998474121094,41.70000076293945,41866,2020-10-12
2020-10-19,52.62360763549805,54.70000076293945,57.79999923706055,41.349998474121094,41.349998474121094,539209,2020-10-19
2020-10-26,51.421058654785156,53.45000076293945,56.5,47.45000076293945,55.5,73979,2020-10-26
2020-11-02,60.752845764160156,63.150001525878906,65.9000015258789,50.29999923706055,54.5,506438,2020-11-02
2020-11-09,58.97307205200195,61.29999923706055,83.30000305175781,57.599998474121094,64.44999694824219,714711,2020-11-09
