Date,Adj Close_IRIS.NS,Close_IRIS.NS,High_IRIS.NS,Low_IRIS.NS,Open_IRIS.NS,Volume_IRIS.NS,Date
2021-11-08,148.5500030517578,148.5500030517578,165.5,144.89999389648438,150.0,521979,2021-11-08
2021-11-15,136.5,136.5,144.0,127.6500015258789,141.1999969482422,147794,2021-11-15
2021-11-22,129.1999969482422,129.1999969482422,139.9499969482422,124.4000015258789,139.9499969482422,73775,2021-11-22
2021-11-29,133.60000610351562,133.60000610351562,134.5,118.55000305175781,132.1999969482422,64187,2021-11-29
2021-12-06,127.30000305175781,127.30000305175781,141.9499969482422,122.9000015258789,139.0,91251,2021-12-06
2021-12-13,118.05000305175781,118.05000305175781,135.0,113.5999984741211,134.8000030517578,107815,2021-12-13
2021-12-20,133.60000610351562,133.60000610351562,137.9499969482422,107.25,117.75,107352,2021-12-20
2021-12-27,144.5,144.5,153.0,128.14999389648438,133.60000610351562,171174,2021-12-27
2022-01-03,146.89999389648438,146.89999389648438,162.39999389648438,141.3000030517578,150.0,376714,2022-01-03
2022-01-10,145.75,145.75,152.0,142.5,149.0,61565,2022-01-10
2022-01-17,139.6999969482422,139.6999969482422,153.0,138.0500030517578,151.8000030517578,58840,2022-01-17
2022-01-24,129.10000610351562,129.10000610351562,139.35000610351562,121.0999984741211,137.0,104670,2022-01-24
2022-01-31,139.6999969482422,139.6999969482422,150.39999389648438,131.89999389648438,136.89999389648438,131456,2022-01-31
2022-02-07,123.94999694824219,123.94999694824219,145.0,122.44999694824219,145.0,86400,2022-02-07
2022-02-14,109.44999694824219,109.44999694824219,129.89999389648438,107.05000305175781,125.0,228833,2022-02-14
2022-02-21,106.25,106.25,114.5,95.25,114.5,207205,2022-02-21
2022-02-28,106.8499984741211,106.8499984741211,111.5,99.0999984741211,107.80000305175781,127413,2022-02-28
2022-03-07,109.94999694824219,109.94999694824219,120.19999694824219,93.05000305175781,93.05000305175781,258650,2022-03-07
2022-03-14,109.25,109.25,115.69999694824219,103.30000305175781,112.9000015258789,92093,2022-03-14
2022-03-21,102.55000305175781,102.55000305175781,114.5,99.30000305175781,111.8499984741211,235131,2022-03-21
2022-03-28,106.3499984741211,106.3499984741211,108.6500015258789,99.0,106.19999694824219,1083085,2022-03-28
2022-04-04,111.4000015258789,111.4000015258789,114.5,102.55000305175781,107.0,107703,2022-04-04
2022-04-11,105.8499984741211,105.8499984741211,116.0,105.0999984741211,111.4000015258789,48483,2022-04-11
