Date,Adj Close_LGHL.NS,Close_LGHL.NS,High_LGHL.NS,Low_LGHL.NS,Open_LGHL.NS,Volume_LGHL.NS,Date
2020-07-13,16.100000381469727,16.100000381469727,16.100000381469727,16.100000381469727,16.100000381469727,0,2020-07-13
2020-07-20,15.649999618530273,15.649999618530273,16.100000381469727,15.649999618530273,16.100000381469727,64000,2020-07-20
2020-07-27,15.649999618530273,15.649999618530273,15.649999618530273,15.649999618530273,15.649999618530273,64000,2020-07-27
2020-08-03,15.649999618530273,15.649999618530273,15.649999618530273,15.649999618530273,15.649999618530273,0,2020-08-03
2020-08-10,15.649999618530273,15.649999618530273,15.649999618530273,15.649999618530273,15.649999618530273,0,2020-08-10
2020-08-17,15.649999618530273,15.649999618530273,15.649999618530273,15.649999618530273,15.649999618530273,0,2020-08-17
2020-08-24,15.649999618530273,15.649999618530273,15.649999618530273,15.649999618530273,15.649999618530273,0,2020-08-24
2020-08-31,15.649999618530273,15.649999618530273,15.649999618530273,15.649999618530273,15.649999618530273,0,2020-08-31
2020-09-07,15.649999618530273,15.649999618530273,15.649999618530273,15.649999618530273,15.649999618530273,0,2020-09-07
2020-09-14,15.649999618530273,15.649999618530273,15.649999618530273,15.649999618530273,15.649999618530273,0,2020-09-14
2020-09-21,15.399999618530273,15.399999618530273,15.649999618530273,15.399999618530273,15.649999618530273,8000,2020-09-21
2020-09-28,15.399999618530273,15.399999618530273,15.399999618530273,15.399999618530273,15.399999618530273,0,2020-09-28
2020-10-05,15.399999618530273,15.399999618530273,15.399999618530273,15.399999618530273,15.399999618530273,0,2020-10-05
2020-10-12,15.399999618530273,15.399999618530273,15.399999618530273,15.399999618530273,15.399999618530273,0,2020-10-12
2020-10-19,15.399999618530273,15.399999618530273,15.399999618530273,15.399999618530273,15.399999618530273,0,2020-10-19
2020-10-26,15.399999618530273,15.399999618530273,15.399999618530273,15.399999618530273,15.399999618530273,0,2020-10-26
2020-11-02,15.399999618530273,15.399999618530273,15.399999618530273,15.399999618530273,15.399999618530273,0,2020-11-02
2020-11-09,15.399999618530273,15.399999618530273,15.399999618530273,15.399999618530273,15.399999618530273,0,2020-11-09
2020-11-16,15.399999618530273,15.399999618530273,15.399999618530273,15.399999618530273,15.399999618530273,0,2020-11-16
2020-11-23,15.0,15.0,15.399999618530273,15.0,15.399999618530273,16000,2020-11-23
2020-11-30,15.0,15.0,15.0,15.0,15.0,16000,2020-11-30
2020-12-07,15.0,15.0,15.0,15.0,15.0,16000,2020-12-07
2020-12-14,15.0,15.0,15.0,15.0,15.0,0,2020-12-14
2020-12-21,15.0,15.0,15.0,15.0,15.0,0,2020-12-21
2020-12-28,15.0,15.0,15.0,15.0,15.0,0,2020-12-28
2021-01-04,12.5,12.5,15.399999618530273,12.5,15.0,16000,2021-01-04
2021-01-11,12.5,12.5,12.5,12.5,12.5,0,2021-01-11
2021-01-18,12.5,12.5,12.5,12.5,12.5,0,2021-01-18
2021-01-25,15.0,15.0,15.0,12.5,12.5,8000,2021-01-25
2021-02-01,15.0,15.0,15.0,15.0,15.0,0,2021-02-01
2021-02-08,15.0,15.0,15.0,15.0,15.0,0,2021-02-08
2021-02-15,18.0,18.0,18.0,15.0,15.0,152000,2021-02-15
2021-02-22,20.0,20.0,21.5,20.0,21.0,40000,2021-02-22
2021-03-01,20.049999237060547,20.049999237060547,20.049999237060547,20.0,20.0,8000,2021-03-01
2021-03-08,20.049999237060547,20.049999237060547,20.049999237060547,20.049999237060547,20.049999237060547,0,2021-03-08
2021-03-15,18.049999237060547,18.049999237060547,20.049999237060547,18.049999237060547,20.049999237060547,8000,2021-03-15
2021-03-22,16.25,16.25,18.049999237060547,16.25,18.049999237060547,8000,2021-03-22
2021-03-29,16.25,16.25,16.25,16.25,16.25,0,2021-03-29
2021-04-05,15.5,15.5,16.25,15.5,16.25,16000,2021-04-05
2021-04-12,15.5,15.5,15.5,15.5,15.5,0,2021-04-12
2021-04-19,15.5,15.5,15.5,15.5,15.5,0,2021-04-19
2021-04-26,15.449999809265137,15.449999809265137,15.449999809265137,14.75,14.75,16000,2021-04-26
2021-05-03,15.449999809265137,15.449999809265137,15.449999809265137,15.449999809265137,15.449999809265137,0,2021-05-03
2021-05-10,14.699999809265137,14.699999809265137,15.449999809265137,14.699999809265137,15.449999809265137,8000,2021-05-10
