Date,Adj Close_EXCEL.NS,Close_EXCEL.NS,High_EXCEL.NS,Low_EXCEL.NS,Open_EXCEL.NS,Volume_EXCEL.NS,Date
2020-07-13,0.06666599959135056,0.06666599959135056,0.07000000029802322,0.06666599959135056,0.07000000029802322,205755,2020-07-13
2020-07-20,0.07000000029802322,0.07000000029802322,0.07000000029802322,0.06666599959135056,0.07000000029802322,664395,2020-07-20
2020-07-27,0.06666599959135056,0.06666599959135056,0.07000000029802322,0.06333299726247787,0.07000000029802322,379575,2020-07-27
2020-08-03,0.06666599959135056,0.06666599959135056,0.06666599959135056,0.06333299726247787,0.06666599959135056,272595,2020-08-03
2020-08-10,0.05999999865889549,0.05999999865889549,0.06666599959135056,0.05666600167751312,0.05999999865889549,5608140,2020-08-10
2020-08-17,0.07999999821186066,0.07999999821186066,0.07999999821186066,0.05999999865889549,0.06333299726247787,455730,2020-08-17
2020-08-24,0.09000000357627869,0.09000000357627869,0.09000000357627869,0.07999999821186066,0.08333300054073334,2953125,2020-08-24
2020-08-31,0.08666600286960602,0.08666600286960602,0.08666600286960602,0.07999999821186066,0.08666600286960602,2663295,2020-08-31
2020-09-07,0.08333300054073334,0.08333300054073334,0.09333299845457077,0.08333300054073334,0.09000000357627869,4818390,2020-09-07
2020-09-14,0.07999999821186066,0.07999999821186066,0.08333300054073334,0.0733330026268959,0.07999999821186066,10289610,2020-09-14
2020-09-21,0.07666599750518799,0.07666599750518799,0.08333300054073334,0.0733330026268959,0.07666599750518799,111270,2020-09-21
2020-09-28,0.07666599750518799,0.07666599750518799,0.07666599750518799,0.07666599750518799,0.07666599750518799,90435,2020-09-28
2020-10-05,0.07666599750518799,0.07666599750518799,0.07999999821186066,0.0733330026268959,0.07666599750518799,53415,2020-10-05
2020-10-12,0.07666599750518799,0.07666599750518799,0.08333300054073334,0.07000000029802322,0.0733330026268959,3101145,2020-10-12
2020-10-19,0.07666599750518799,0.07666599750518799,0.07999999821186066,0.07000000029802322,0.07999999821186066,956235,2020-10-19
2020-10-26,0.0733330026268959,0.0733330026268959,0.07999999821186066,0.07000000029802322,0.07999999821186066,1744650,2020-10-26
2020-11-02,0.0733330026268959,0.0733330026268959,0.07999999821186066,0.07000000029802322,0.07666599750518799,4351425,2020-11-02
2020-11-09,0.0733330026268959,0.0733330026268959,0.07666599750518799,0.07000000029802322,0.07666599750518799,1348020,2020-11-09
2020-11-16,0.07999999821186066,0.07999999821186066,0.07999999821186066,0.07000000029802322,0.0733330026268959,5037045,2020-11-16
2020-11-23,0.09333299845457077,0.09333299845457077,0.09333299845457077,0.07666599750518799,0.07999999821186066,5432130,2020-11-23
2020-11-30,0.10666599869728088,0.10666599869728088,0.10666599869728088,0.09333299845457077,0.09333299845457077,2541285,2020-11-30
