Date,Adj Close_NUCLEUS.NS,Close_NUCLEUS.NS,High_NUCLEUS.NS,Low_NUCLEUS.NS,Open_NUCLEUS.NS,Volume_NUCLEUS.NS,Date
2020-07-13,267.1555480957031,284.5,289.95001220703125,271.04998779296875,276.0,424554,2020-07-13
2020-07-20,264.6201171875,281.79998779296875,298.0,276.0,285.0,305985,2020-07-20
2020-07-27,280.9123840332031,299.1499938964844,327.0,282.04998779296875,283.25,2104835,2020-07-27
2020-08-03,317.95733642578125,338.6000061035156,349.6000061035156,302.04998779296875,305.0,1048548,2020-08-03
2020-08-10,417.21337890625,444.29998779296875,477.8999938964844,365.0,365.0,4639456,2020-08-10
2020-08-17,424.1482849121094,448.3500061035156,462.3500061035156,444.0,448.8999938964844,783110,2020-08-17
2020-08-24,506.1681823730469,535.0499877929688,578.4500122070312,440.0,453.79998779296875,3027483,2020-08-24
2020-08-31,471.2600402832031,498.1499938964844,540.0,481.54998779296875,535.0499877929688,985597,2020-08-31
2020-09-07,483.6056213378906,511.20001220703125,537.7999877929688,478.0,498.04998779296875,841136,2020-09-07
2020-09-14,572.626220703125,605.2999877929688,619.0,515.9500122070312,518.25,1425622,2020-09-14
2020-09-21,634.1174926757812,670.2999877929688,707.0,583.0,635.7999877929688,3543919,2020-09-21
2020-09-28,637.4285888671875,673.7999877929688,718.0,662.0,691.0,782306,2020-09-28
2020-10-05,637.7597045898438,674.1500244140625,755.0,655.75,680.0,1327133,2020-10-05
2020-10-12,574.6129150390625,607.4000244140625,685.4500122070312,603.25,673.3499755859375,807472,2020-10-12
2020-10-19,594.6211547851562,628.5499877929688,636.5499877929688,584.0,615.0,560523,2020-10-19
2020-10-26,574.092529296875,606.8499755859375,640.0499877929688,565.25,635.0,342017,2020-10-26
2020-11-02,549.9689331054688,581.3499755859375,599.0,520.4000244140625,595.0,504944,2020-11-02
2020-11-09,547.4620971679688,578.7000122070312,616.9500122070312,556.5999755859375,594.7000122070312,397544,2020-11-09
2020-11-16,507.3034362792969,536.25,590.0,530.0999755859375,573.0999755859375,225851,2020-11-16
2020-11-23,525.5616455078125,555.5499877929688,589.0,537.0,547.5,317260,2020-11-23
2020-11-30,529.913330078125,560.1500244140625,566.0,540.8499755859375,555.5499877929688,133822,2020-11-30
2020-12-07,547.5565795898438,578.7999877929688,579.0,546.0999755859375,571.9000244140625,332989,2020-12-07
2020-12-14,565.1526489257812,597.4000244140625,624.6500244140625,582.0999755859375,590.0,463000,2020-12-14
2020-12-21,567.4702758789062,599.8499755859375,621.9500122070312,540.0,602.5499877929688,417007,2020-12-21
