Date,Adj Close_ALBERTDAVD.NS,Close_ALBERTDAVD.NS,High_ALBERTDAVD.NS,Low_ALBERTDAVD.NS,Open_ALBERTDAVD.NS,Volume_ALBERTDAVD.NS,Date
2020-07-13,379.6519775390625,397.75,409.79998779296875,393.0,406.8999938964844,53827,2020-07-13
2020-07-20,377.2179870605469,395.20001220703125,408.5,392.20001220703125,402.0,77889,2020-07-20
2020-07-27,390.4855651855469,409.1000061035156,425.0,377.1000061035156,392.0,273285,2020-07-27
2020-08-03,442.45794677734375,463.54998779296875,496.79998779296875,402.54998779296875,412.1499938964844,945961,2020-08-03
2020-08-10,469.66119384765625,492.04998779296875,528.75,466.04998779296875,468.70001220703125,640259,2020-08-10
2020-08-17,486.7467956542969,509.95001220703125,521.1500244140625,485.1000061035156,497.25,274440,2020-08-17
2020-08-24,420.93402099609375,441.0,519.7999877929688,438.0,517.5999755859375,421128,2020-08-24
2020-08-31,412.9639587402344,432.6499938964844,445.0,411.3999938964844,442.0,99882,2020-08-31
2020-09-07,396.97613525390625,415.8999938964844,445.0,412.5,426.0,49640,2020-09-07
2020-09-14,428.80865478515625,449.25,467.8500061035156,417.0,420.0,204684,2020-09-14
2020-09-21,395.8784484863281,414.75,457.0,401.1000061035156,453.0,56735,2020-09-21
2020-09-28,413.7752990722656,433.5,468.79998779296875,415.5,415.5,193069,2020-09-28
2020-10-05,404.0871276855469,423.3500061035156,443.95001220703125,419.0,439.0,48110,2020-10-05
2020-10-12,386.1425476074219,404.54998779296875,425.0,393.5,424.0,79841,2020-10-12
2020-10-19,385.37896728515625,403.75,417.95001220703125,397.0,407.45001220703125,34069,2020-10-19
2020-10-26,368.9138488769531,386.5,405.0,383.3500061035156,405.0,45109,2020-10-26
2020-11-02,383.2790222167969,401.54998779296875,410.0,383.25,384.04998779296875,43733,2020-11-02
2020-11-09,396.59429931640625,415.5,423.8999938964844,398.0,400.1499938964844,96277,2020-11-09
2020-11-16,396.83294677734375,415.75,424.0,406.0,418.1000061035156,50840,2020-11-16
2020-11-23,440.2149658203125,461.20001220703125,478.0,418.0,421.95001220703125,514499,2020-11-23
2020-11-30,429.23822021484375,449.70001220703125,475.0,446.5,461.20001220703125,90348,2020-11-30
