Date,Adj Close_CASTROLIND.NS,Close_CASTROLIND.NS,High_CASTROLIND.NS,Low_CASTROLIND.NS,Open_CASTROLIND.NS,Volume_CASTROLIND.NS,Date
2020-07-13,95.91252899169922,117.9000015258789,123.44999694824219,117.5,123.4000015258789,3636395,2020-07-13
2020-07-20,93.30929565429688,114.69999694824219,119.0999984741211,114.30000305175781,117.9000015258789,6194374,2020-07-20
2020-07-27,92.29241180419922,113.44999694824219,118.9000015258789,109.80000305175781,115.30000305175781,8253777,2020-07-27
2020-08-03,98.80048370361328,121.44999694824219,122.69999694824219,113.0999984741211,113.5,7191558,2020-08-03
2020-08-10,99.28858184814453,122.05000305175781,123.25,119.80000305175781,122.6500015258789,4357583,2020-08-10
2020-08-17,100.22411346435547,123.19999694824219,125.9000015258789,120.55000305175781,122.94999694824219,5683138,2020-08-17
2020-08-24,99.57331085205078,122.4000015258789,125.69999694824219,121.75,124.1500015258789,4049872,2020-08-24
2020-08-31,97.82426452636719,120.25,124.0,116.0,123.0,3635230,2020-08-31
2020-09-07,97.49886322021484,119.8499984741211,121.75,117.5,120.5,4222652,2020-09-07
2020-09-14,96.9294204711914,119.1500015258789,124.5,116.5999984741211,120.5,6288827,2020-09-14
2020-09-21,89.36380004882812,109.8499984741211,119.8499984741211,106.19999694824219,119.8499984741211,6012754,2020-09-21
2020-09-28,89.40447235107422,109.9000015258789,112.9000015258789,109.0999984741211,111.0,3535072,2020-09-28
2020-10-05,90.01460266113281,110.6500015258789,113.30000305175781,110.0,110.9000015258789,4845424,2020-10-05
2020-10-12,87.08597564697266,107.05000305175781,111.30000305175781,104.0,111.25,5086797,2020-10-12
2020-10-19,89.36380004882812,109.8499984741211,113.6500015258789,107.6500015258789,108.1500015258789,5346927,2020-10-19
2020-10-26,92.73985290527344,114.0,120.4000015258789,108.0,110.5999984741211,14509219,2020-10-26
2020-11-02,91.31620788574219,112.25,116.0999984741211,110.4000015258789,115.0,5392054,2020-11-02
2020-11-09,96.46122741699219,115.94999694824219,116.80000305175781,112.0,113.3499984741211,6794607,2020-11-09
2020-11-16,102.36786651611328,123.05000305175781,123.9000015258789,115.05000305175781,115.05000305175781,9509635,2020-11-16
2020-11-23,104.32288360595703,125.4000015258789,130.8000030517578,123.19999694824219,123.69999694824219,13927952,2020-11-23
2020-11-30,108.81526947021484,130.8000030517578,132.3000030517578,125.4000015258789,125.4000015258789,5843528,2020-11-30
2020-12-07,108.35769653320312,130.25,137.25,129.60000610351562,131.85000610351562,9849728,2020-12-07
2020-12-14,104.65564727783203,125.80000305175781,131.6999969482422,125.4000015258789,130.60000610351562,5647821,2020-12-14
2020-12-21,103.490966796875,124.4000015258789,126.9000015258789,119.3499984741211,125.0,5491605,2020-12-21
