Date,Adj Close_WAAREEENER.NS,Close_WAAREEENER.NS,High_WAAREEENER.NS,Low_WAAREEENER.NS,Open_WAAREEENER.NS,Volume_WAAREEENER.NS,Date
2024-10-28,2890.10009765625,2890.10009765625,2910.0,2300.0,2500.0,50063612,2024-10-28
2024-11-04,3133.699951171875,3133.699951171875,3743.0,2712.0,2909.64990234375,47091668,2024-11-04
2024-11-11,2917.449951171875,2917.449951171875,3122.0,2762.25,3071.0,12198437,2024-11-11
2024-11-18,2705.199951171875,2705.199951171875,3186.0,2672.0,2950.0,10908218,2024-11-18
2024-11-25,2667.75,2667.75,2789.949951171875,2512.0,2789.949951171875,11793726,2024-11-25
2024-12-02,2903.10009765625,2903.10009765625,2975.0,2675.050048828125,2695.0,13605578,2024-12-02
2024-12-09,3217.050048828125,3217.050048828125,3445.449951171875,2902.0,2918.39990234375,22833497,2024-12-09
2024-12-16,2879.35009765625,2879.35009765625,3257.550048828125,2865.0,3225.0,11797316,2024-12-16
2024-12-23,2790.39990234375,2790.39990234375,3030.0,2781.300048828125,2922.0,5879896,2024-12-23
2024-12-30,2820.85009765625,2820.85009765625,2906.0,2737.949951171875,2800.0,5048569,2024-12-30
2025-01-06,2565.0,2565.0,2843.39990234375,2560.0,2826.949951171875,5124254,2025-01-06
2025-01-13,2605.300048828125,2605.300048828125,2684.89990234375,2475.0,2552.25,5500498,2025-01-13
2025-01-20,2241.699951171875,2241.699951171875,2721.0,2207.0,2620.89990234375,12739412,2025-01-20
2025-01-27,2402.800048828125,2402.800048828125,2557.35009765625,2026.0,2215.0,24403517,2025-01-27
2025-02-03,2298.300048828125,2298.300048828125,2414.0,2275.0,2369.449951171875,5403980,2025-02-03
2025-02-10,2103.89990234375,2103.89990234375,2299.0,2085.25,2298.300048828125,5787352,2025-02-10
2025-02-17,2260.699951171875,2260.699951171875,2364.89990234375,2052.39990234375,2100.0,6541727,2025-02-17
2025-02-24,2158.550048828125,2158.550048828125,2298.0,2127.10009765625,2207.949951171875,3036693,2025-02-24
2025-03-03,2226.10009765625,2226.10009765625,2281.449951171875,2066.39990234375,2179.0,4965456,2025-03-03
2025-03-10,2125.25,2125.25,2250.0,2086.75,2237.800048828125,2335020,2025-03-10
2025-03-17,2352.89990234375,2352.89990234375,2374.0,2090.0,2138.89990234375,3581008,2025-03-17
2025-03-24,2404.64990234375,2404.64990234375,2508.0,2371.0,2395.0,5246138,2025-03-24
2025-03-31,2160.949951171875,2160.949951171875,2421.0,2131.199951171875,2404.64990234375,3613979,2025-03-31
2025-04-07,2161.449951171875,2161.449951171875,2240.0,1863.0,1869.949951171875,3488654,2025-04-07
2025-04-14,2323.0,2323.0,2377.10009765625,2161.449951171875,2161.449951171875,3966116,2025-04-14
2025-04-21,2676.5,2676.5,3116.300048828125,2345.10009765625,2350.0,45016486,2025-04-21
2025-04-28,2585.89990234375,2585.89990234375,2762.300048828125,2575.199951171875,2650.0,6377278,2025-04-28
2025-05-05,2594.0,2594.0,2733.89990234375,2530.300048828125,2591.0,7797917,2025-05-05
2025-05-12,2921.10009765625,2921.10009765625,2994.0,2661.0,2700.0,10948123,2025-05-12
2025-05-19,2765.0,2765.0,3080.0,2664.0,2940.39990234375,17466342,2025-05-19
2025-05-26,2978.89990234375,2978.89990234375,3068.0,2745.800048828125,2775.0,12028187,2025-05-26
2025-06-02,2828.300048828125,2828.300048828125,2988.0,2812.39990234375,2984.89990234375,6434348,2025-06-02
2025-06-09,2824.699951171875,2824.699951171875,2956.800048828125,2742.300048828125,2843.5,6690841,2025-06-09
2025-06-16,2989.0,2989.0,3025.300048828125,2641.0,2829.89990234375,18743104,2025-06-16
2025-06-23,2947.5,2947.5,3095.0,2901.0,2962.0,13204831,2025-06-23
2025-06-30,2978.10009765625,2978.10009765625,3197.0,2931.199951171875,2985.0,18128816,2025-06-30
2025-07-07,3112.10009765625,3112.10009765625,3192.0,2905.0,2978.0,13477798,2025-07-07
2025-07-14,3221.300048828125,3221.300048828125,3280.0,3078.5,3114.800048828125,4312880,2025-07-14
