Date,Adj Close_AVANTIFEED.NS,Close_AVANTIFEED.NS,High_AVANTIFEED.NS,Low_AVANTIFEED.NS,Open_AVANTIFEED.NS,Volume_AVANTIFEED.NS,Date
2020-07-13,430.9944763183594,452.1000061035156,467.95001220703125,428.70001220703125,458.6000061035156,1690853,2020-07-13
2020-07-20,430.3748474121094,451.45001220703125,459.5,436.3999938964844,451.1499938964844,2071523,2020-07-20
2020-07-27,425.84661865234375,446.70001220703125,454.79998779296875,433.0,454.79998779296875,1426041,2020-07-27
2020-08-03,462.6922607421875,485.3500061035156,497.75,440.20001220703125,447.0,4052055,2020-08-03
2020-08-10,461.2622985839844,483.8500061035156,511.8999938964844,470.04998779296875,489.1499938964844,5139448,2020-08-10
2020-08-17,491.2917785644531,515.3499755859375,525.0,474.8500061035156,486.0,4755421,2020-08-17
2020-08-24,532.9127197265625,558.9000244140625,587.0,508.20001220703125,519.0,10587331,2020-08-24
2020-08-31,485.3805847167969,509.04998779296875,571.0,499.6000061035156,563.5,4249867,2020-08-31
2020-09-07,449.9579772949219,471.8999938964844,515.9500122070312,455.29998779296875,509.1000061035156,2841078,2020-09-07
2020-09-14,496.0121765136719,520.2000122070312,561.9000244140625,485.0,485.0,4979231,2020-09-14
2020-09-21,470.45831298828125,493.3999938964844,526.0,475.0,520.1500244140625,1707000,2020-09-21
2020-09-28,476.2270202636719,499.45001220703125,511.3500061035156,491.1000061035156,496.5,819177,2020-09-28
2020-10-05,482.8538513183594,506.3999938964844,524.9500122070312,494.0,502.20001220703125,1752309,2020-10-05
2020-10-12,478.5154113769531,501.8500061035156,530.0,500.0,509.70001220703125,1873288,2020-10-12
2020-10-19,475.4165344238281,498.6000061035156,509.75,490.3999938964844,503.0,840533,2020-10-19
2020-10-26,459.3976745605469,481.79998779296875,507.8999938964844,479.1499938964844,500.8999938964844,775039,2020-10-26
2020-11-02,471.07806396484375,494.04998779296875,503.1499938964844,459.1000061035156,484.25,1516155,2020-11-02
2020-11-09,468.6943054199219,491.54998779296875,519.0,483.1499938964844,498.0,2737187,2020-11-09
2020-11-16,474.17694091796875,497.29998779296875,504.79998779296875,459.0,487.8500061035156,1261101,2020-11-16
2020-11-23,497.3470764160156,521.5999755859375,529.7000122070312,496.6000061035156,501.0,3000941,2020-11-23
2020-11-30,511.6496276855469,536.5999755859375,548.9000244140625,521.5999755859375,521.5999755859375,2067396,2020-11-30
2020-12-07,519.1823120117188,544.5,547.9000244140625,520.3499755859375,536.0,1594847,2020-12-07
2020-12-14,524.23583984375,549.7999877929688,564.0,529.0,548.8499755859375,2172448,2020-12-14
2020-12-21,491.0063171386719,514.9500122070312,549.9500122070312,495.0,549.9500122070312,1557186,2020-12-21
2020-12-28,496.1075439453125,520.2999877929688,545.0,440.1000061035156,520.0,1740445,2020-12-28
2021-01-04,497.2041015625,521.4500122070312,530.0,508.0,524.7999877929688,1390770,2021-01-04
2021-01-11,492.1982116699219,516.2000122070312,531.9000244140625,514.2999877929688,524.8499755859375,1262513,2021-01-11
2021-01-18,482.615478515625,506.1499938964844,517.4000244140625,502.20001220703125,515.9500122070312,721704,2021-01-18
2021-01-25,485.0945739746094,508.75,525.0,500.0,506.3999938964844,979980,2021-01-25
2021-02-01,478.7537536621094,502.1000061035156,534.9500122070312,500.0,509.0,2379296,2021-02-01
2021-02-08,475.9409484863281,499.1499938964844,514.0,495.0,508.0,1740249,2021-02-08
2021-02-15,466.8826599121094,489.6499938964844,507.0,480.0,499.1499938964844,1283560,2021-02-15
2021-02-22,455.7743225097656,478.0,498.0,459.79998779296875,491.79998779296875,1031491,2021-02-22
2021-03-01,465.2140197753906,487.8999938964844,501.0,477.1000061035156,486.0,912599,2021-03-01
2021-03-08,459.8267822265625,482.25,504.8999938964844,479.0,492.29998779296875,1047497,2021-03-08
2021-03-15,429.7437438964844,450.70001220703125,482.95001220703125,449.0,481.1000061035156,1170427,2021-03-15
2021-03-22,405.286376953125,425.04998779296875,461.70001220703125,424.0,455.0,1583659,2021-03-22
2021-03-29,399.04095458984375,418.5,436.0,410.0,425.04998779296875,1639213,2021-03-29
2021-04-05,462.5919189453125,485.1499938964844,489.6000061035156,417.3999938964844,421.6499938964844,4673961,2021-04-05
2021-04-12,456.9662170410156,479.25,484.5,444.0,475.0,1255599,2021-04-12
2021-04-19,489.0992736816406,512.9500122070312,523.0,456.8999938964844,463.8500061035156,2625714,2021-04-19
2021-04-26,464.1651611328125,486.79998779296875,524.0,482.0,520.0,2058147,2021-04-26
2021-05-03,463.40240478515625,486.0,502.0,468.20001220703125,488.0,1740373,2021-05-03
2021-05-10,506.26239013671875,530.9500122070312,548.0,482.04998779296875,482.04998779296875,6776956,2021-05-10
2021-05-17,504.260009765625,528.8499755859375,557.0,524.0,550.9500122070312,3356794,2021-05-17
2021-05-24,550.0758056640625,576.9000244140625,596.0,533.0999755859375,534.8499755859375,5959905,2021-05-24
2021-05-31,568.8120727539062,596.5499877929688,620.0,560.0,578.0999755859375,4506120,2021-05-31
2021-06-07,540.9221801757812,567.2999877929688,604.6500244140625,560.0,604.6500244140625,2247567,2021-06-07
2021-06-14,555.8921508789062,583.0,599.2999877929688,561.0,569.0,2305523,2021-06-14
2021-06-21,527.2393798828125,552.9500122070312,591.0499877929688,548.0,581.8499755859375,3549725,2021-06-21
2021-06-28,542.1140747070312,568.5499877929688,580.5,525.5,550.0,3038173,2021-06-28
2021-07-05,612.1964721679688,642.0499877929688,674.8499755859375,570.25,572.9500122070312,18100656,2021-07-05
2021-07-12,603.8056640625,633.25,658.5999755859375,630.0,650.7000122070312,2803338,2021-07-12
2021-07-19,598.6090698242188,627.7999877929688,639.7999877929688,580.0499877929688,627.9500122070312,1368532,2021-07-19
2021-07-26,605.8079833984375,635.3499755859375,651.0,617.0,625.5,1902401,2021-07-26
2021-08-02,598.5137329101562,627.7000122070312,673.7999877929688,625.0,640.4000244140625,2420537,2021-08-02
2021-08-09,565.3721313476562,587.1500244140625,629.75,569.2999877929688,627.7000122070312,2447536,2021-08-09
2021-08-16,525.5076904296875,545.75,590.0,539.9500122070312,590.0,1067408,2021-08-16
2021-08-23,544.6695556640625,565.6500244140625,576.0,524.0,546.0,1746424,2021-08-23
2021-08-30,539.7587280273438,560.5499877929688,576.4500122070312,553.5,568.3499755859375,912415,2021-08-30
2021-09-06,537.5922241210938,558.2999877929688,572.0,552.2999877929688,561.0,735193,2021-09-06
2021-09-13,533.7405395507812,554.2999877929688,577.8499755859375,553.0,561.5499877929688,812659,2021-09-13
2021-09-20,533.885009765625,554.4500122070312,564.0,546.4000244140625,552.0,965615,2021-09-20
2021-09-27,529.2630615234375,549.6500244140625,558.0,535.0,558.0,690966,2021-09-27
2021-10-04,561.1834716796875,582.7999877929688,591.4000244140625,550.0,553.7000122070312,1825759,2021-10-04
