Date,Adj Close_AWFIS.NS,Close_AWFIS.NS,High_AWFIS.NS,Low_AWFIS.NS,Open_AWFIS.NS,Volume_AWFIS.NS,Date
2024-05-27,402.95001220703125,402.95001220703125,451.45001220703125,396.0,435.0,15327709,2024-05-27
2024-06-03,448.5,448.5,468.79998779296875,371.3999938964844,420.0,4508762,2024-06-03
2024-06-10,483.3500061035156,483.3500061035156,491.79998779296875,433.25,448.5,2864753,2024-06-10
2024-06-17,491.1000061035156,491.1000061035156,544.0,473.20001220703125,483.3500061035156,2965237,2024-06-17
2024-06-24,514.5999755859375,514.5999755859375,578.9500122070312,474.70001220703125,494.8999938964844,3231826,2024-06-24
2024-07-01,552.1500244140625,552.1500244140625,568.9000244140625,501.0,522.2999877929688,1857317,2024-07-01
2024-07-08,619.75,619.75,634.9000244140625,521.9500122070312,552.0,2520064,2024-07-08
2024-07-15,647.0999755859375,647.0999755859375,757.8499755859375,608.25,624.7999877929688,4048164,2024-07-15
2024-07-22,639.9500122070312,639.9500122070312,657.2999877929688,578.9000244140625,640.0,867295,2024-07-22
2024-07-29,670.0,670.0,706.1500244140625,648.0499877929688,694.9000244140625,879650,2024-07-29
2024-08-05,696.0999755859375,696.0999755859375,712.0,612.5499877929688,651.0,962216,2024-08-05
2024-08-12,720.0999755859375,720.0999755859375,746.6500244140625,665.5499877929688,690.0,1671161,2024-08-12
2024-08-19,899.9000244140625,899.9000244140625,946.0,702.2999877929688,727.0,8128197,2024-08-19
2024-08-26,749.6500244140625,749.6500244140625,888.0,731.0499877929688,888.0,4573567,2024-08-26
2024-09-02,771.5499877929688,771.5499877929688,825.0,743.5,749.6500244140625,2415187,2024-09-02
2024-09-09,727.5499877929688,727.5499877929688,797.7999877929688,719.0,771.5999755859375,1676149,2024-09-09
2024-09-16,722.9500122070312,722.9500122070312,742.0999755859375,700.3499755859375,736.0,1983884,2024-09-16
2024-09-23,696.8499755859375,696.8499755859375,738.0,690.2000122070312,727.9000244140625,755886,2024-09-23
2024-09-30,672.0499877929688,672.0499877929688,714.9000244140625,650.0,699.0,1027534,2024-09-30
2024-10-07,707.8499755859375,707.8499755859375,729.9000244140625,623.25,675.0,1413205,2024-10-07
2024-10-14,752.75,752.75,762.7000122070312,695.0999755859375,709.0499877929688,1153118,2024-10-14
2024-10-21,682.6500244140625,682.6500244140625,769.3499755859375,671.2000122070312,754.0,673781,2024-10-21
2024-10-28,686.25,686.25,712.5,675.0,682.6500244140625,359506,2024-10-28
2024-11-04,792.8499755859375,792.8499755859375,798.0,673.5999755859375,698.0,1442908,2024-11-04
2024-11-11,714.0499877929688,714.0499877929688,810.0,708.25,791.25,1571026,2024-11-11
2024-11-18,680.8499755859375,680.8499755859375,720.0499877929688,663.9500122070312,717.8499755859375,447734,2024-11-18
2024-11-25,693.8499755859375,693.8499755859375,744.0999755859375,678.5,698.5,1570629,2024-11-25
