Date,Adj Close_HPL.NS,Close_HPL.NS,High_HPL.NS,Low_HPL.NS,Open_HPL.NS,Volume_HPL.NS,Date
2020-07-13,34.97036361694336,35.5,37.5,33.20000076293945,34.599998474121094,162192,2020-07-13
2020-07-20,32.90169143676758,33.400001525878906,36.5,33.400001525878906,34.900001525878906,437275,2020-07-20
2020-07-27,29.2076416015625,29.649999618530273,34.0,29.049999237060547,34.0,497336,2020-07-27
2020-08-03,32.409156799316406,32.900001525878906,33.45000076293945,28.799999237060547,29.950000762939453,272231,2020-08-03
2020-08-10,33.443485260009766,33.95000076293945,36.349998474121094,32.95000076293945,34.099998474121094,386753,2020-08-10
2020-08-17,37.33456039428711,37.900001525878906,39.0,30.600000381469727,34.400001525878906,1015293,2020-08-17
2020-08-24,36.39873123168945,36.95000076293945,39.0,36.099998474121094,38.5,430976,2020-08-24
2020-08-31,33.83751678466797,34.349998474121094,38.0,33.29999923706055,36.95000076293945,237405,2020-08-31
2020-09-07,35.068870544433594,35.599998474121094,35.900001525878906,32.70000076293945,35.400001525878906,241767,2020-09-07
2020-09-14,33.83751678466797,34.349998474121094,36.5,34.099998474121094,35.599998474121094,183495,2020-09-14
2020-09-21,31.71959686279297,32.20000076293945,34.75,31.100000381469727,34.650001525878906,153054,2020-09-21
2020-09-28,32.3079833984375,32.650001525878906,33.349998474121094,31.149999618530273,32.29999923706055,276403,2020-09-28
2020-10-05,29.933120727539062,30.25,33.04999923706055,29.399999618530273,32.20000076293945,401883,2020-10-05
2020-10-12,30.2299747467041,30.549999237060547,31.0,28.200000762939453,30.950000762939453,214549,2020-10-12
2020-10-19,29.685739517211914,30.0,31.799999237060547,29.299999237060547,31.0,313446,2020-10-19
2020-10-26,28.69621467590332,29.0,30.899999618530273,28.899999618530273,30.0,220392,2020-10-26
2020-11-02,28.59726333618164,28.899999618530273,29.399999618530273,27.299999237060547,29.100000381469727,250130,2020-11-02
2020-11-09,29.883644104003906,30.200000762939453,30.399999618530273,24.799999237060547,28.899999618530273,600015,2020-11-09
2020-11-16,33.198551177978516,33.54999923706055,37.95000076293945,29.5,29.5,1811405,2020-11-16
2020-11-23,34.93021774291992,35.29999923706055,37.45000076293945,33.5,34.0,2289230,2020-11-23
2020-11-30,34.88074493408203,35.25,36.599998474121094,35.0,35.29999923706055,947194,2020-11-30
2020-12-07,37.84931564331055,38.25,41.0,35.45000076293945,35.900001525878906,2964341,2020-12-07
2020-12-14,39.87784194946289,40.29999923706055,43.099998474121094,37.79999923706055,38.70000076293945,3459494,2020-12-14
2020-12-21,41.263179779052734,41.70000076293945,43.650001525878906,36.099998474121094,40.70000076293945,2176931,2020-12-21
2020-12-28,43.29170227050781,43.75,45.0,42.0,42.95000076293945,1549450,2020-12-28
2021-01-04,44.97389602661133,45.45000076293945,47.75,42.5,43.900001525878906,1761728,2021-01-04
2021-01-11,42.0547981262207,42.5,48.29999923706055,42.0,45.900001525878906,2215515,2021-01-11
2021-01-18,38.78936767578125,39.20000076293945,43.0,38.70000076293945,43.0,1438867,2021-01-18
