Date,Adj Close_ANURAS.NS,Close_ANURAS.NS,High_ANURAS.NS,Low_ANURAS.NS,Open_ANURAS.NS,Volume_ANURAS.NS,Date
2021-03-22,492.3038635253906,495.70001220703125,548.9500122070312,491.0,520.0,19180535,2021-03-22
2021-03-29,513.4082641601562,516.9500122070312,519.7999877929688,474.0,495.70001220703125,1753005,2021-03-29
2021-04-05,551.44580078125,555.25,563.75,515.5499877929688,525.0,3877155,2021-04-05
2021-04-12,575.9766235351562,579.9500122070312,607.0,516.3499755859375,548.0,2983493,2021-04-12
2021-04-19,585.9577026367188,590.0,599.9500122070312,548.7999877929688,567.0,1560721,2021-04-19
2021-04-26,619.9730834960938,624.25,662.5,591.1500244140625,599.2000122070312,4092110,2021-04-26
2021-05-03,716.1595458984375,721.0999755859375,726.0,612.0,624.4000244140625,3801123,2021-05-03
2021-05-10,729.4180908203125,734.4500122070312,751.9000244140625,710.5499877929688,727.2000122070312,2459532,2021-05-10
2021-05-17,764.1286010742188,769.4000244140625,798.9500122070312,735.0999755859375,736.4000244140625,2084291,2021-05-17
2021-05-24,756.2827758789062,761.5,782.9500122070312,752.0499877929688,772.2999877929688,913159,2021-05-24
2021-05-31,763.979736328125,769.25,788.7999877929688,720.4000244140625,759.9500122070312,1026731,2021-05-31
2021-06-07,772.3221435546875,777.6500244140625,793.0999755859375,741.5499877929688,790.0,676937,2021-06-07
2021-06-14,728.1766357421875,733.2000122070312,808.0,702.0499877929688,791.5,1121515,2021-06-14
2021-06-21,740.1441650390625,745.25,751.0,700.0,717.0,800465,2021-06-21
2021-06-28,752.7571411132812,757.9500122070312,776.9000244140625,733.0,747.0,1087078,2021-06-28
2021-07-05,806.8837280273438,812.4500122070312,821.7000122070312,752.5,759.9000244140625,1415780,2021-07-05
2021-07-12,808.7706298828125,814.3499755859375,848.0499877929688,808.0,823.0,962590,2021-07-12
2021-07-19,761.0499267578125,766.2999877929688,814.0,762.5,814.0,366645,2021-07-19
2021-07-26,721.4232177734375,726.4000244140625,771.7999877929688,705.3499755859375,769.9000244140625,670542,2021-07-26
2021-08-02,707.5191650390625,712.4000244140625,753.8499755859375,706.2999877929688,729.9000244140625,1749307,2021-08-02
2021-08-09,748.9830932617188,754.1500244140625,767.5,681.0499877929688,719.9000244140625,993702,2021-08-09
2021-08-16,725.0482788085938,730.0499877929688,769.5499877929688,724.0,756.0,351055,2021-08-16
2021-08-23,731.851318359375,736.9000244140625,745.3499755859375,711.3499755859375,728.5,977555,2021-08-23
2021-08-30,749.5293579101562,754.7000122070312,791.7000122070312,730.25,730.25,760586,2021-08-30
2021-09-06,746.2520751953125,751.4000244140625,761.2000122070312,736.25,759.0,207277,2021-09-06
2021-09-13,755.7862548828125,761.0,764.7999877929688,731.2000122070312,754.0,480978,2021-09-13
2021-09-20,754.1617431640625,758.8499755859375,790.0,740.0999755859375,759.9000244140625,544193,2021-09-20
2021-09-27,776.522705078125,781.3499755859375,841.5,749.0499877929688,763.0,1545437,2021-09-27
2021-10-04,779.3551025390625,784.2000122070312,798.25,765.0999755859375,785.0,337826,2021-10-04
2021-10-11,808.2753295898438,813.2999877929688,824.75,773.7999877929688,787.0,705556,2021-10-11
2021-10-18,797.3929443359375,802.3499755859375,851.0,780.9000244140625,819.0,660385,2021-10-18
2021-10-25,797.8898315429688,802.8499755859375,825.0,765.0,808.75,288056,2021-10-25
2021-11-01,800.0762939453125,805.0499877929688,820.0,793.9000244140625,808.0,144717,2021-11-01
2021-11-08,815.2818603515625,820.3499755859375,875.0,800.0,815.0,895360,2021-11-08
2021-11-15,810.0144653320312,815.0499877929688,877.7999877929688,784.7999877929688,825.0,377411,2021-11-15
2021-11-22,786.3920288085938,790.7999877929688,829.7999877929688,785.0499877929688,829.7999877929688,271854,2021-11-22
2021-11-29,796.087646484375,800.5499877929688,808.5,774.0,792.0,197959,2021-11-29
2021-12-06,818.4622192382812,823.0499877929688,848.5,785.0999755859375,804.75,751044,2021-12-06
2021-12-13,838.6988525390625,843.4000244140625,875.0,823.0999755859375,824.0,610890,2021-12-13
2021-12-20,899.90576171875,904.9500122070312,915.0,804.1500244140625,838.7999877929688,829254,2021-12-20
2021-12-27,985.2274169921875,990.75,1014.0,890.0499877929688,914.0,1559464,2021-12-27
2022-01-03,1020.0324096679688,1025.75,1087.800048828125,992.5,1005.0,1341726,2022-01-03
2022-01-10,1013.6680297851562,1019.3499755859375,1080.0,1017.5999755859375,1032.0,801858,2022-01-10
2022-01-17,998.3538818359375,1003.9500122070312,1063.1500244140625,995.7999877929688,1024.699951171875,400978,2022-01-17
2022-01-24,971.6535034179688,977.0999755859375,1025.0,960.0,1018.0,399969,2022-01-24
2022-01-31,1017.098876953125,1022.7999877929688,1107.550048828125,951.5,990.0,1577366,2022-01-31
2022-02-07,965.3390502929688,970.75,1024.8499755859375,960.0,1024.699951171875,386443,2022-02-07
2022-02-14,911.2421875,916.3499755859375,970.75,875.75,970.75,370854,2022-02-14
2022-02-21,856.101318359375,860.9000244140625,920.0,741.2999877929688,920.0,363897,2022-02-21
2022-02-28,797.38037109375,801.8499755859375,865.0,791.5,865.0,268455,2022-02-28
2022-03-07,864.1561279296875,869.0,919.0,773.5,798.4000244140625,947838,2022-03-07
2022-03-14,877.332275390625,882.25,936.5499877929688,825.0,880.0,835184,2022-03-14
2022-03-21,862.66455078125,867.5,911.8499755859375,856.2000122070312,888.7000122070312,557239,2022-03-21
2022-03-28,826.5668334960938,831.2000122070312,876.0,799.4500122070312,876.0,747338,2022-03-28
2022-04-04,835.3675537109375,840.0499877929688,852.2999877929688,825.0499877929688,839.4000244140625,440463,2022-04-04
2022-04-11,866.3439331054688,871.2000122070312,884.0,837.9500122070312,847.7000122070312,350240,2022-04-11
2022-04-18,849.4883422851562,854.25,870.0,832.0999755859375,870.0,331283,2022-04-18
2022-04-25,823.9813232421875,828.5999755859375,865.0,812.5499877929688,850.9000244140625,277271,2022-04-25
2022-05-02,820.4511108398438,825.0499877929688,852.5499877929688,803.8499755859375,818.9500122070312,374019,2022-05-02
2022-05-09,796.78369140625,801.25,878.5999755859375,760.2000122070312,823.0,610669,2022-05-09
2022-05-16,752.0346069335938,756.25,804.4000244140625,743.7999877929688,804.4000244140625,379194,2022-05-16
2022-05-23,693.1149291992188,697.0,767.9500122070312,683.9500122070312,759.7000122070312,580212,2022-05-23
2022-05-30,678.1487426757812,681.9500122070312,738.0,677.6500244140625,700.7000122070312,933696,2022-05-30
