Date,Adj Close_AUROPHARMA.NS,Close_AUROPHARMA.NS,High_AUROPHARMA.NS,Low_AUROPHARMA.NS,Open_AUROPHARMA.NS,Volume_AUROPHARMA.NS,Date
2020-07-13,811.4546508789062,836.5499877929688,845.9500122070312,810.25,811.0,11074149,2020-07-13
2020-07-20,786.3316040039062,810.6500244140625,842.5499877929688,797.9000244140625,835.0,14664290,2020-07-20
2020-07-27,848.3631591796875,874.5999755859375,881.0,770.4000244140625,801.0,21056247,2020-07-27
2020-08-03,879.2578125,906.4500122070312,923.0,850.5,874.7000122070312,25836644,2020-08-03
2020-08-10,852.7281494140625,879.0999755859375,967.5,863.2999877929688,913.0,40084873,2020-08-10
2020-08-17,830.4666137695312,856.1500244140625,889.5999755859375,851.0999755859375,888.9000244140625,12633799,2020-08-17
2020-08-24,844.0646362304688,868.9000244140625,895.9500122070312,850.25,860.5,17749575,2020-08-24
2020-08-31,784.4681396484375,807.5499877929688,878.4000244140625,776.25,870.9000244140625,19255465,2020-08-31
2020-09-07,779.9996948242188,802.9500122070312,818.9500122070312,771.9000244140625,812.0,15293498,2020-09-07
2020-09-14,804.4307250976562,828.0999755859375,851.3499755859375,791.25,806.5,29359452,2020-09-14
2020-09-21,750.0313720703125,772.0999755859375,857.9000244140625,738.0499877929688,835.0,26326822,2020-09-21
2020-09-28,795.2509155273438,818.6500244140625,822.5,768.0,779.7999877929688,14400138,2020-09-28
2020-10-05,810.6964721679688,834.5499877929688,851.4000244140625,811.5,825.0,15551602,2020-10-05
2020-10-12,783.205322265625,806.25,846.7999877929688,785.5,834.5499877929688,14180583,2020-10-12
2020-10-19,760.4255981445312,782.7999877929688,812.5999755859375,749.2000122070312,810.0,21264988,2020-10-19
2020-10-26,750.5656127929688,772.6500244140625,814.5,756.0999755859375,808.0,16248141,2020-10-26
2020-11-02,757.8511962890625,780.1500244140625,797.9000244140625,753.0,774.0,9967157,2020-11-02
2020-11-09,827.7933959960938,852.1500244140625,864.0,754.0,787.9500122070312,34969526,2020-11-09
2020-11-16,809.579345703125,833.4000244140625,875.9000244140625,821.9500122070312,858.0999755859375,15882364,2020-11-16
2020-11-23,843.7246704101562,868.5499877929688,893.5,835.0999755859375,839.2999877929688,22216757,2020-11-23
2020-11-30,876.2213745117188,900.6500244140625,909.4000244140625,868.5499877929688,868.5499877929688,11224650,2020-11-30
2020-12-07,873.0108642578125,897.3499755859375,923.4000244140625,885.2000122070312,902.0,13390850,2020-12-07
2020-12-14,861.9686889648438,886.0,905.9500122070312,862.6500244140625,898.5,9393792,2020-12-14
2020-12-21,884.3449096679688,909.0,912.0,801.0999755859375,889.8499755859375,13460148,2020-12-21
2020-12-28,902.5863647460938,927.75,943.5,892.1500244140625,919.7999877929688,17862229,2020-12-28
2021-01-04,919.8062133789062,945.4500122070312,996.8499755859375,926.6500244140625,936.0999755859375,16701069,2021-01-04
2021-01-11,910.612548828125,936.0,975.0,924.2999877929688,950.2000122070312,13885002,2021-01-11
2021-01-18,898.7434692382812,923.7999877929688,948.0,880.1500244140625,933.7999877929688,12962308,2021-01-18
2021-01-25,880.696533203125,905.25,1023.7000122070312,900.4500122070312,935.0,25871031,2021-01-25
2021-02-01,917.2766723632812,942.8499755859375,954.9000244140625,889.0,912.0,15558555,2021-02-01
2021-02-08,904.7266845703125,929.9500122070312,980.0,923.5499877929688,951.7999877929688,20632079,2021-02-08
2021-02-15,864.4495849609375,888.5499877929688,944.9000244140625,883.0,935.0,10545385,2021-02-15
2021-02-22,832.004150390625,855.2000122070312,890.7000122070312,837.0,886.0,13774064,2021-02-22
2021-03-01,840.8172607421875,862.7999877929688,889.0,849.4000244140625,855.0999755859375,9453619,2021-03-01
2021-03-08,826.6380615234375,848.25,876.5,843.5,863.3499755859375,6198263,2021-03-08
2021-03-15,801.3004150390625,822.25,852.8499755859375,797.2999877929688,847.9500122070312,11091926,2021-03-15
2021-03-22,828.3922729492188,850.0499877929688,864.4000244140625,825.0999755859375,830.0999755859375,11545300,2021-03-22
2021-03-29,858.8460083007812,881.2999877929688,886.9500122070312,850.0499877929688,850.0499877929688,4580259,2021-03-29
2021-04-05,919.6561279296875,943.7000122070312,952.9500122070312,871.0,879.0,10189626,2021-04-05
2021-04-12,928.71923828125,953.0,959.0,889.5,940.7000122070312,13442681,2021-04-12
2021-04-19,968.0411987304688,993.3499755859375,1015.0,932.2000122070312,955.0,22178216,2021-04-19
2021-04-26,955.8595581054688,980.8499755859375,999.9500122070312,959.0499877929688,999.0,9507155,2021-04-26
2021-05-03,987.2391967773438,1013.0499877929688,1039.0,950.0,979.7000122070312,15997586,2021-05-03
2021-05-10,981.0511474609375,1006.7000122070312,1063.9000244140625,995.4500122070312,1018.8499755859375,11921065,2021-05-10
