Date,Adj Close_TIINDIA.NS,Close_TIINDIA.NS,High_TIINDIA.NS,Low_TIINDIA.NS,Open_TIINDIA.NS,Volume_TIINDIA.NS,Date
2020-07-13,491.00360107421875,494.95001220703125,499.5,445.04998779296875,452.95001220703125,731365,2020-07-13
2020-07-20,499.13824462890625,503.1499938964844,519.0,493.0,509.95001220703125,1302882,2020-07-20
2020-07-27,504.8423767089844,508.8999938964844,514.2000122070312,491.20001220703125,503.1000061035156,660876,2020-07-27
2020-08-03,542.0433349609375,546.4000244140625,557.0,498.0,505.25,345890,2020-08-03
2020-08-10,585.3949584960938,590.0999755859375,609.9000244140625,526.25,543.9000244140625,926229,2020-08-10
2020-08-17,588.5198974609375,593.25,603.0,585.0499877929688,603.0,356263,2020-08-17
2020-08-24,635.88916015625,641.0,670.0,593.0,604.0,1933182,2020-08-24
2020-08-31,657.9617309570312,663.25,678.7000122070312,635.4000244140625,655.0499877929688,728056,2020-08-31
2020-09-07,597.89453125,602.7000122070312,681.9500122070312,600.0,676.0,427972,2020-09-07
2020-09-14,638.4187622070312,643.5499877929688,663.0,607.2000122070312,629.0,966944,2020-09-14
2020-09-21,565.4056396484375,569.9500122070312,635.8499755859375,522.7000122070312,628.25,1568825,2020-09-21
2020-09-28,632.9130859375,638.0,650.0,575.5,579.7000122070312,844039,2020-09-28
2020-10-05,584.4028930664062,589.0999755859375,652.9000244140625,584.0999755859375,650.0,649326,2020-10-05
2020-10-12,569.8201904296875,574.4000244140625,599.9000244140625,571.0,598.7999877929688,309292,2020-10-12
2020-10-19,605.4835205078125,610.3499755859375,615.0,547.2000122070312,576.2000122070312,572983,2020-10-19
2020-10-26,649.6286010742188,654.8499755859375,664.0,605.2000122070312,610.3499755859375,909025,2020-10-26
2020-11-02,683.6552124023438,689.1500244140625,699.8499755859375,644.2000122070312,662.0,1164033,2020-11-02
2020-11-09,735.7366333007812,741.6500244140625,757.0,685.0,708.0,918045,2020-11-09
2020-11-16,782.907470703125,789.2000122070312,794.9000244140625,733.4000244140625,745.5499877929688,757531,2020-11-16
2020-11-23,817.033203125,823.5999755859375,857.9500122070312,784.0,789.2000122070312,4336092,2020-11-23
2020-11-30,833.2032470703125,839.9000244140625,842.5,795.0999755859375,823.5999755859375,1617538,2020-11-30
2020-12-07,847.6868896484375,854.5,882.0,790.0999755859375,835.7999877929688,2142369,2020-12-07
2020-12-14,808.8985595703125,815.4000244140625,868.4000244140625,805.1500244140625,859.7999877929688,932865,2020-12-14
2020-12-21,791.8853149414062,798.25,834.0,771.0499877929688,815.4000244140625,630829,2020-12-21
2020-12-28,791.9348754882812,798.2999877929688,812.0,788.75,812.0,289016,2020-12-28
2021-01-04,827.0526733398438,833.7000122070312,845.0,795.0,799.0,736493,2021-01-04
2021-01-11,815.2970581054688,821.8499755859375,846.6500244140625,810.2000122070312,837.8499755859375,430006,2021-01-11
2021-01-18,816.6860961914062,823.25,878.0,809.0999755859375,822.9000244140625,630533,2021-01-18
2021-01-25,772.9872436523438,779.2000122070312,830.0,750.0999755859375,827.3499755859375,525428,2021-01-25
2021-02-01,851.4564819335938,858.2999877929688,874.0,752.4000244140625,772.0,1407083,2021-02-01
2021-02-08,941.6317749023438,949.2000122070312,987.0,865.0,865.0,1103388,2021-02-08
2021-02-15,1020.1011352539062,1028.300048828125,1051.0,949.5,960.1500244140625,1726548,2021-02-15
2021-02-22,1071.8350830078125,1080.449951171875,1098.0,1000.0,1051.0,1941934,2021-02-22
2021-03-01,1119.6461181640625,1126.449951171875,1186.25,1021.0,1080.449951171875,790920,2021-03-01
2021-03-08,1192.5531005859375,1199.800048828125,1240.0,1103.699951171875,1149.0,1427734,2021-03-08
2021-03-15,1141.562744140625,1148.5,1218.0,1106.050048828125,1181.0,751011,2021-03-15
2021-03-22,1109.457763671875,1116.199951171875,1166.0,1084.0,1137.0,151556,2021-03-22
2021-03-29,1191.1119384765625,1198.3499755859375,1219.8499755859375,1116.199951171875,1116.199951171875,423602,2021-03-29
2021-04-05,1170.2882080078125,1177.4000244140625,1200.0999755859375,1131.699951171875,1200.0999755859375,709644,2021-04-05
2021-04-12,1110.8992919921875,1117.6500244140625,1176.0,1087.0,1152.5,437832,2021-04-12
2021-04-19,1110.3526611328125,1117.0999755859375,1153.0,1050.0,1110.0,324646,2021-04-19
2021-04-26,1227.2421875,1234.699951171875,1325.0,1097.050048828125,1144.0,524739,2021-04-26
2021-05-03,1211.5872802734375,1218.949951171875,1292.949951171875,1183.550048828125,1258.0,711282,2021-05-03
