Date,Adj Close_VHLTD.NS,Close_VHLTD.NS,High_VHLTD.NS,Low_VHLTD.NS,Open_VHLTD.NS,Volume_VHLTD.NS,Date
2020-07-13,240.0,240.0,255.0,225.0,245.0,1672,2020-07-13
2020-07-20,235.0,235.0,245.0,215.0,240.0,1751,2020-07-20
2020-07-27,215.0,215.0,240.0,205.0,235.0,1622,2020-07-27
2020-08-03,245.0,245.0,245.0,205.0,210.0,1402,2020-08-03
2020-08-10,280.0,280.0,290.0,245.0,245.0,1707,2020-08-10
2020-08-17,290.0,290.0,295.0,255.0,280.0,2552,2020-08-17
2020-08-24,285.0,285.0,300.0,270.0,290.0,2129,2020-08-24
2020-08-31,270.0,270.0,295.0,260.0,295.0,1385,2020-08-31
2020-09-07,250.0,250.0,270.0,250.0,260.0,1282,2020-09-07
2020-09-14,255.0,255.0,260.0,240.0,260.0,1017,2020-09-14
2020-09-21,235.0,235.0,260.0,225.0,250.0,982,2020-09-21
2020-09-28,240.0,240.0,255.0,225.0,230.0,464,2020-09-28
2020-10-05,240.0,240.0,250.0,220.0,235.0,969,2020-10-05
2020-10-12,230.0,230.0,250.0,210.0,230.0,1209,2020-10-12
2020-10-19,245.0,245.0,250.0,220.0,225.0,2222,2020-10-19
2020-10-26,255.0,255.0,265.0,245.0,255.0,801,2020-10-26
2020-11-02,250.0,250.0,265.0,235.0,250.0,875,2020-11-02
2020-11-09,250.0,250.0,255.0,240.0,245.0,739,2020-11-09
2020-11-16,260.0,260.0,275.0,240.0,250.0,1884,2020-11-16
2020-11-23,255.0,255.0,265.0,230.0,265.0,1759,2020-11-23
2020-11-30,260.0,260.0,260.0,240.0,255.0,1374,2020-11-30
2020-12-07,305.0,305.0,305.0,250.0,260.0,3054,2020-12-07
2020-12-14,320.0,320.0,365.0,290.0,320.0,4310,2020-12-14
2020-12-21,300.0,300.0,335.0,285.0,305.0,1601,2020-12-21
2020-12-28,335.0,335.0,345.0,285.0,285.0,1713,2020-12-28
2021-01-04,345.0,345.0,350.0,320.0,335.0,2844,2021-01-04
2021-01-11,320.0,320.0,360.0,305.0,360.0,2742,2021-01-11
2021-01-18,295.0,295.0,330.0,285.0,320.0,2078,2021-01-18
2021-01-25,295.0,295.0,305.0,275.0,305.0,1019,2021-01-25
2021-02-01,295.0,295.0,305.0,280.0,305.0,2071,2021-02-01
2021-02-08,275.0,275.0,305.0,265.0,305.0,2658,2021-02-08
2021-02-15,285.0,285.0,295.0,265.0,265.0,1659,2021-02-15
2021-02-22,275.0,275.0,290.0,265.0,290.0,1296,2021-02-22
2021-03-01,270.0,270.0,280.0,265.0,270.0,2160,2021-03-01
