Date,Adj Close_INDIAGLYCO.NS,Close_INDIAGLYCO.NS,High_INDIAGLYCO.NS,Low_INDIAGLYCO.NS,Open_INDIAGLYCO.NS,Volume_INDIAGLYCO.NS,Date
2020-07-13,273.35980224609375,282.6499938964844,295.0,277.54998779296875,283.1000061035156,716680,2020-07-13
2020-07-20,267.60540771484375,276.70001220703125,288.5,274.29998779296875,283.79998779296875,1303082,2020-07-20
2020-07-27,260.4485778808594,269.29998779296875,278.79998779296875,268.0,277.70001220703125,1522172,2020-07-27
2020-08-03,269.24951171875,278.3999938964844,282.95001220703125,264.95001220703125,270.25,1600729,2020-08-03
2020-08-10,268.2340087890625,277.3500061035156,306.3999938964844,275.6000061035156,279.8999938964844,2629218,2020-08-10
2020-08-17,281.3869934082031,290.95001220703125,299.95001220703125,275.54998779296875,279.0,1176133,2020-08-17
2020-08-24,297.58648681640625,307.70001220703125,341.79998779296875,287.20001220703125,292.0,4544789,2020-08-24
2020-08-31,275.10064697265625,284.45001220703125,310.5,277.25,308.79998779296875,1019824,2020-08-31
2020-09-07,265.28424072265625,274.29998779296875,288.5,271.8500061035156,285.0,432371,2020-09-07
2020-09-14,280.2748107910156,289.79998779296875,298.6000061035156,274.54998779296875,275.5,1112776,2020-09-14
2020-09-21,267.7020568847656,276.79998779296875,296.5,262.8999938964844,289.0,462153,2020-09-21
2020-09-28,270.94195556640625,280.1499938964844,284.0,274.1499938964844,279.45001220703125,288511,2020-09-28
2020-10-05,273.5048522949219,282.79998779296875,295.6000061035156,274.29998779296875,281.0,650935,2020-10-05
2020-10-12,263.9302673339844,272.8999938964844,284.25,268.5,283.0,326229,2020-10-12
2020-10-19,271.1353759765625,280.3500061035156,284.0,272.6000061035156,273.8999938964844,258425,2020-10-19
2020-10-26,265.3809509277344,274.3999938964844,290.0,271.79998779296875,278.1000061035156,700586,2020-10-26
2020-11-02,265.3809509277344,274.3999938964844,277.79998779296875,268.8999938964844,275.3999938964844,164463,2020-11-02
2020-11-09,269.9748840332031,279.1499938964844,280.79998779296875,270.20001220703125,280.0,232936,2020-11-09
2020-11-16,273.5048522949219,282.79998779296875,288.1000061035156,273.20001220703125,273.20001220703125,351903,2020-11-16
2020-11-23,285.2071838378906,294.8999938964844,304.8999938964844,280.54998779296875,282.95001220703125,1575851,2020-11-23
2020-11-30,289.4625549316406,299.29998779296875,304.0,287.20001220703125,294.8999938964844,597831,2020-11-30
2020-12-07,294.24981689453125,304.25,314.6000061035156,295.0,300.8999938964844,1204135,2020-12-07
2020-12-14,286.70623779296875,296.45001220703125,319.0,294.75,305.8999938964844,1093588,2020-12-14
