Date,Adj Close_PYRAMID.NS,Close_PYRAMID.NS,High_PYRAMID.NS,Low_PYRAMID.NS,Open_PYRAMID.NS,Volume_PYRAMID.NS,Date
2023-08-28,161.10000610351562,161.10000610351562,188.0,160.1999969482422,187.0,3926020,2023-08-28
2023-09-04,171.3000030517578,171.3000030517578,172.8000030517578,155.0,162.64999389648438,1618796,2023-09-04
2023-09-11,168.39999389648438,168.39999389648438,188.25,164.85000610351562,172.25,2462885,2023-09-11
2023-09-18,164.60000610351562,164.60000610351562,171.9499969482422,163.0,171.85000610351562,1002747,2023-09-18
2023-09-25,175.0,175.0,180.60000610351562,162.5,166.0,1787958,2023-09-25
2023-10-02,170.0500030517578,170.0500030517578,179.75,167.25,175.0,1227294,2023-10-02
2023-10-09,204.5,204.5,208.89999389648438,167.5,170.0,6352149,2023-10-09
2023-10-16,221.9499969482422,221.9499969482422,239.35000610351562,202.8000030517578,206.5,4604332,2023-10-16
2023-10-23,212.4499969482422,212.4499969482422,231.5,191.25,225.0,2557431,2023-10-23
2023-10-30,226.14999389648438,226.14999389648438,232.8000030517578,206.5,220.0,2282485,2023-10-30
2023-11-06,206.35000610351562,206.35000610351562,235.60000610351562,206.0,229.39999389648438,2238450,2023-11-06
2023-11-13,205.75,205.75,210.5500030517578,197.10000610351562,208.14999389648438,1098284,2023-11-13
2023-11-20,205.9499969482422,205.9499969482422,209.8000030517578,197.6999969482422,206.6999969482422,825060,2023-11-20
2023-11-27,198.1999969482422,198.1999969482422,211.6999969482422,198.0,205.9499969482422,686504,2023-11-27
2023-12-04,191.0500030517578,191.0500030517578,204.39999389648438,188.14999389648438,201.10000610351562,1576224,2023-12-04
2023-12-11,191.39999389648438,191.39999389648438,198.39999389648438,190.10000610351562,192.25,850922,2023-12-11
2023-12-18,192.89999389648438,192.89999389648438,208.89999389648438,189.4499969482422,192.1999969482422,1679031,2023-12-18
2023-12-25,192.5500030517578,192.5500030517578,201.1999969482422,192.0,192.89999389648438,529251,2023-12-25
2024-01-01,190.89999389648438,190.89999389648438,196.5,189.5,193.35000610351562,927422,2024-01-01
2024-01-08,188.39999389648438,188.39999389648438,193.1999969482422,182.9499969482422,192.39999389648438,859417,2024-01-08
2024-01-15,187.5500030517578,187.5500030517578,189.85000610351562,180.0,188.39999389648438,505431,2024-01-15
2024-01-22,186.6999969482422,186.6999969482422,189.4499969482422,176.4499969482422,187.5500030517578,533071,2024-01-22
2024-01-29,182.25,182.25,191.0,181.14999389648438,188.89999389648438,448886,2024-01-29
2024-02-05,166.4499969482422,166.4499969482422,182.8000030517578,163.0500030517578,182.0,1144763,2024-02-05
2024-02-12,173.3000030517578,173.3000030517578,177.0,156.0,166.0,817285,2024-02-12
2024-02-19,173.5,173.5,182.5,171.75,174.6999969482422,436333,2024-02-19
2024-02-26,171.0500030517578,171.0500030517578,180.60000610351562,169.8000030517578,174.5,335682,2024-02-26
2024-03-04,162.89999389648438,162.89999389648438,176.5500030517578,160.0,176.5500030517578,263785,2024-03-04
2024-03-11,146.75,146.75,165.5500030517578,140.0,164.8000030517578,626071,2024-03-11
2024-03-18,148.85000610351562,148.85000610351562,152.5500030517578,141.64999389648438,147.0,478522,2024-03-18
2024-03-25,144.85000610351562,144.85000610351562,150.64999389648438,140.0,148.85000610351562,600023,2024-03-25
2024-04-01,171.6999969482422,171.6999969482422,174.85000610351562,147.75,148.5,787487,2024-04-01
2024-04-08,165.10000610351562,165.10000610351562,174.0,163.0,170.3000030517578,207582,2024-04-08
2024-04-15,163.85000610351562,163.85000610351562,169.0,155.25,160.14999389648438,223518,2024-04-15
2024-04-22,159.8000030517578,159.8000030517578,172.9499969482422,159.14999389648438,165.9499969482422,1066425,2024-04-22
2024-04-29,152.75,152.75,164.60000610351562,151.89999389648438,164.60000610351562,363112,2024-04-29
2024-05-06,148.8000030517578,148.8000030517578,153.9499969482422,147.60000610351562,153.9499969482422,210587,2024-05-06
2024-05-13,153.39999389648438,153.39999389648438,154.0,146.0,149.8000030517578,162376,2024-05-13
2024-05-20,148.39999389648438,148.39999389648438,155.1999969482422,147.8000030517578,152.14999389648438,248491,2024-05-20
2024-05-27,143.64999389648438,143.64999389648438,151.25,141.3000030517578,151.0,217153,2024-05-27
2024-06-03,151.0500030517578,151.0500030517578,151.9499969482422,134.39999389648438,145.9499969482422,343857,2024-06-03
2024-06-10,165.25999450683594,165.25999450683594,166.6999969482422,149.5500030517578,155.0,704032,2024-06-10
2024-06-17,168.25999450683594,168.25999450683594,171.60000610351562,165.0,165.25999450683594,338424,2024-06-17
2024-06-24,169.89999389648438,169.89999389648438,172.0,165.0,167.6999969482422,373055,2024-06-24
2024-07-01,185.27999877929688,185.27999877929688,197.58999633789062,167.50999450683594,170.88999938964844,1933122,2024-07-01
2024-07-08,176.0500030517578,176.0500030517578,187.83999633789062,175.10000610351562,186.39999389648438,536025,2024-07-08
2024-07-15,174.6699981689453,174.6699981689453,192.0,171.0,176.39999389648438,516003,2024-07-15
2024-07-22,192.25,192.25,194.8800048828125,168.7899932861328,173.39999389648438,692912,2024-07-22
2024-07-29,188.3699951171875,188.3699951171875,206.3699951171875,186.10000610351562,194.0,2293802,2024-07-29
2024-08-05,171.00999450683594,171.00999450683594,186.89999389648438,170.0,185.1999969482422,771343,2024-08-05
2024-08-12,174.13999938964844,174.13999938964844,174.9499969482422,167.3000030517578,171.27000427246094,476229,2024-08-12
2024-08-19,182.8699951171875,182.8699951171875,188.89999389648438,173.24000549316406,174.5,520849,2024-08-19
2024-08-26,174.14999389648438,174.14999389648438,186.60000610351562,162.0,185.60000610351562,477809,2024-08-26
2024-09-02,181.0,181.0,185.00999450683594,172.0,174.14999389648438,474498,2024-09-02
2024-09-09,186.41000366210938,186.41000366210938,197.5,175.0,181.0,2096025,2024-09-09
2024-09-16,179.9499969482422,179.9499969482422,189.58999633789062,175.66000366210938,188.0,357502,2024-09-16
2024-09-23,171.97999572753906,171.97999572753906,183.8699951171875,170.52999877929688,181.19000244140625,342149,2024-09-23
2024-09-30,174.25,174.25,180.99000549316406,166.0,170.0,336762,2024-09-30
2024-10-07,171.5500030517578,171.5500030517578,179.99000549316406,166.60000610351562,171.64999389648438,198487,2024-10-07
2024-10-14,212.88999938964844,212.88999938964844,233.0,169.92999267578125,172.5500030517578,6645924,2024-10-14
2024-10-21,191.58999633789062,191.58999633789062,223.0,185.7899932861328,215.0,1277147,2024-10-21
2024-10-28,212.66000366210938,212.66000366210938,214.0,184.41000366210938,192.17999267578125,712093,2024-10-28
2024-11-04,230.80999755859375,230.80999755859375,258.989990234375,212.0,212.0,6996068,2024-11-04
2024-11-11,192.69000244140625,192.69000244140625,238.0,187.60000610351562,234.0,2748260,2024-11-11
2024-11-18,188.4600067138672,188.4600067138672,198.50999450683594,182.55999755859375,198.0,573834,2024-11-18
2024-11-25,206.17999267578125,206.17999267578125,219.60000610351562,189.0,193.0,979786,2024-11-25
2024-12-02,213.6300048828125,213.6300048828125,224.5,203.69000244140625,204.11000061035156,683890,2024-12-02
2024-12-09,220.3300018310547,220.3300018310547,236.9499969482422,207.5,210.55999755859375,1421223,2024-12-09
2024-12-16,202.1199951171875,202.1199951171875,225.2100067138672,197.5500030517578,221.6999969482422,500925,2024-12-16
2024-12-23,207.1199951171875,207.1199951171875,217.0,200.8000030517578,202.1199951171875,241666,2024-12-23
2024-12-30,208.42999267578125,208.42999267578125,217.60000610351562,198.0,205.22000122070312,278973,2024-12-30
2025-01-06,193.41000366210938,193.41000366210938,210.49000549316406,188.72999572753906,209.4499969482422,362939,2025-01-06
2025-01-13,187.1699981689453,187.1699981689453,197.6699981689453,177.64999389648438,192.0,257652,2025-01-13
2025-01-20,177.10000610351562,177.10000610351562,191.49000549316406,175.0,188.14999389648438,186455,2025-01-20
2025-01-27,180.91000366210938,180.91000366210938,185.0,162.3800048828125,174.2100067138672,343570,2025-01-27
2025-02-03,183.32000732421875,183.32000732421875,198.0,176.0,180.9199981689453,242516,2025-02-03
2025-02-10,165.94000244140625,165.94000244140625,183.32000732421875,160.10000610351562,183.32000732421875,185015,2025-02-10
2025-02-17,165.36000061035156,165.36000061035156,170.5,151.8000030517578,165.94000244140625,229532,2025-02-17
2025-02-24,166.97000122070312,166.97000122070312,171.41000366210938,157.91000366210938,165.0,207087,2025-02-24
2025-03-03,152.5,152.5,168.5,145.97000122070312,166.02999877929688,371135,2025-03-03
2025-03-10,138.14999389648438,138.14999389648438,156.0500030517578,136.0,156.0500030517578,299999,2025-03-10
2025-03-17,152.1300048828125,152.1300048828125,157.94000244140625,134.91000366210938,138.16000366210938,325216,2025-03-17
2025-03-24,136.67999267578125,136.67999267578125,156.0,136.1999969482422,155.0,623549,2025-03-24
2025-03-31,161.47999572753906,161.47999572753906,172.0,136.67999267578125,136.67999267578125,502402,2025-03-31
2025-04-07,163.92999267578125,163.92999267578125,175.0,145.0,146.0,430929,2025-04-07
2025-04-14,166.14999389648438,166.14999389648438,175.0,163.92999267578125,163.92999267578125,131548,2025-04-14
2025-04-21,161.16000366210938,161.16000366210938,178.0,159.0,166.14999389648438,216111,2025-04-21
2025-04-28,157.6999969482422,157.6999969482422,166.1999969482422,155.11000061035156,161.16000366210938,77053,2025-04-28
2025-05-05,154.82000732421875,154.82000732421875,167.99000549316406,152.0,161.9499969482422,117024,2025-05-05
2025-05-12,162.11000061035156,162.11000061035156,171.13999938964844,156.97999572753906,160.6999969482422,255926,2025-05-12
2025-05-19,160.94000244140625,160.94000244140625,165.97999572753906,158.5,163.0,154884,2025-05-19
2025-05-26,174.99000549316406,174.99000549316406,179.0,156.50999450683594,161.0,345636,2025-05-26
2025-06-02,175.1999969482422,175.1999969482422,182.0,167.1999969482422,176.89999389648438,236517,2025-06-02
2025-06-09,175.42999267578125,175.42999267578125,190.0,170.52999877929688,178.0,290511,2025-06-09
2025-06-16,178.9499969482422,178.9499969482422,190.0,171.0,175.89999389648438,255771,2025-06-16
2025-06-23,180.2100067138672,180.2100067138672,189.19000244140625,174.0,174.0,212505,2025-06-23
2025-06-30,180.1199951171875,180.1199951171875,185.3800048828125,177.9499969482422,177.9499969482422,118350,2025-06-30
2025-07-07,176.19000244140625,176.19000244140625,182.89999389648438,170.60000610351562,179.8000030517578,149113,2025-07-07
2025-07-14,176.39999389648438,176.39999389648438,179.19000244140625,172.10000610351562,175.89999389648438,52791,2025-07-14
