Date,Adj Close_REMSONSIND.NS,Close_REMSONSIND.NS,High_REMSONSIND.NS,Low_REMSONSIND.NS,Open_REMSONSIND.NS,Volume_REMSONSIND.NS,Date
2020-07-13,12.938377380371094,13.119999885559082,13.819999694824219,12.960000038146973,13.680000305175781,15810,2020-07-13
2020-07-20,12.820038795471191,13.0,13.399999618530273,12.569999694824219,13.039999961853027,198030,2020-07-20
2020-07-27,13.41173267364502,13.600000381469727,13.960000038146973,12.539999961853027,12.539999961853027,299120,2020-07-27
2020-08-03,13.64841079711914,13.84000015258789,14.479999542236328,13.479999542236328,13.479999542236328,171340,2020-08-03
2020-08-10,14.062597274780273,14.260000228881836,15.949999809265137,13.239999771118164,14.0,149995,2020-08-10
2020-08-17,17.750823974609375,18.0,19.0,13.819999694824219,15.0,1063205,2020-08-17
2020-08-24,19.486459732055664,19.760000228881836,23.579999923706055,17.59000015258789,18.75,1453750,2020-08-24
2020-08-31,17.652206420898438,17.899999618530273,19.780000686645508,17.030000686645508,19.239999771118164,89940,2020-08-31
2020-09-07,18.362241744995117,18.6200008392334,18.65999984741211,17.280000686645508,18.190000534057617,143415,2020-09-07
2020-09-14,17.59303855895996,17.84000015258789,19.530000686645508,17.610000610351562,18.6200008392334,131820,2020-09-14
2020-09-21,15.186814308166504,15.399999618530273,18.559999465942383,15.109999656677246,18.469999313354492,40135,2020-09-21
2020-09-28,16.794254302978516,17.030000686645508,17.15999984741211,14.829999923706055,14.829999923706055,17085,2020-09-28
2020-10-05,15.699616432189941,15.920000076293945,17.68000030517578,15.65999984741211,17.100000381469727,49585,2020-10-05
2020-10-12,15.719339370727539,15.9399995803833,16.799999237060547,15.260000228881836,15.430000305175781,16675,2020-10-12
2020-10-19,16.744943618774414,16.979999542236328,18.0,15.329999923706055,15.800000190734863,52900,2020-10-19
2020-10-26,16.547712326049805,16.780000686645508,18.18000030517578,15.789999961853027,16.950000762939453,30405,2020-10-26
2020-11-02,16.320894241333008,16.549999237060547,17.889999389648438,15.600000381469727,16.969999313354492,39170,2020-11-02
2020-11-09,15.640446662902832,15.859999656677246,17.389999389648438,15.5,16.920000076293945,65525,2020-11-09
2020-11-16,16.291311264038086,16.520000457763672,17.8700008392334,15.869999885559082,16.200000762939453,49850,2020-11-16
2020-11-23,18.26362419128418,18.520000457763672,18.8799991607666,16.290000915527344,17.0,89805,2020-11-23
2020-11-30,20.107738494873047,20.389999389648438,21.799999237060547,18.0,18.520000457763672,139955,2020-11-30
2020-12-07,19.20047378540039,19.469999313354492,21.0,19.139999389648438,20.40999984741211,42330,2020-12-07
2020-12-14,19.634382247924805,19.90999984741211,20.940000534057617,19.190000534057617,19.459999084472656,37575,2020-12-14
2020-12-21,19.18075180053711,19.450000762939453,20.670000076293945,18.049999237060547,19.299999237060547,26075,2020-12-21
2020-12-28,22.868976593017578,23.190000534057617,23.520000457763672,18.950000762939453,19.1200008392334,372760,2020-12-28
2021-01-04,22.622438430786133,22.940000534057617,24.940000534057617,22.0,23.6200008392334,644725,2021-01-04
2021-01-11,22.504098892211914,22.81999969482422,24.760000228881836,22.190000534057617,22.809999465942383,119655,2021-01-11
2021-01-18,21.872957229614258,22.18000030517578,23.770000457763672,20.100000381469727,22.81999969482422,131690,2021-01-18
2021-01-25,21.41932487487793,21.719999313354492,22.8799991607666,21.219999313354492,22.75,65270,2021-01-25
2021-02-01,23.066207885742188,23.389999389648438,24.420000076293945,20.81999969482422,21.889999389648438,167340,2021-02-01
2021-02-08,24.042503356933594,24.3799991607666,26.0,23.0,24.190000534057617,210500,2021-02-08
2021-02-15,31.823280334472656,32.27000045776367,36.400001525878906,23.8700008392334,24.389999389648438,1649580,2021-02-15
2021-02-22,29.04231834411621,29.450000762939453,32.599998474121094,28.200000762939453,31.600000381469727,154275,2021-02-22
2021-03-01,27.651838302612305,28.040000915527344,30.350000381469727,27.600000381469727,28.799999237060547,76480,2021-03-01
2021-03-08,26.87277603149414,27.25,29.020000457763672,26.799999237060547,28.5,63710,2021-03-08
2021-03-15,27.36585235595703,27.75,29.209999084472656,25.299999237060547,27.90999984741211,95150,2021-03-15
2021-03-22,27.316545486450195,27.700000762939453,29.56999969482422,25.299999237060547,29.56999969482422,106560,2021-03-22
2021-03-29,27.947683334350586,28.34000015258789,30.59000015258789,26.93000030517578,27.700000762939453,21820,2021-03-29
2021-04-05,28.99300765991211,29.399999618530273,30.56999969482422,28.030000686645508,29.479999542236328,133265,2021-04-05
2021-04-12,29.131072998046875,29.540000915527344,30.200000762939453,27.3799991607666,28.709999084472656,148365,2021-04-12
2021-04-19,31.0540771484375,31.489999771118164,31.489999771118164,27.469999313354492,29.59000015258789,167985,2021-04-19
2021-04-26,31.30061912536621,31.739999771118164,35.20000076293945,31.049999237060547,34.18000030517578,300860,2021-04-26
2021-05-03,31.458402633666992,31.899999618530273,34.18000030517578,30.25,30.989999771118164,250590,2021-05-03
2021-05-10,31.438678741455078,31.8799991607666,33.459999084472656,31.200000762939453,32.45000076293945,142110,2021-05-10
2021-05-17,33.27293395996094,33.7400016784668,34.400001525878906,31.309999465942383,31.729999542236328,266145,2021-05-17
2021-05-24,35.896114349365234,36.400001525878906,39.599998474121094,33.0,34.41999816894531,398795,2021-05-24
2021-05-31,34.87050247192383,35.36000061035156,37.9900016784668,33.400001525878906,37.9900016784668,267840,2021-05-31
2021-06-07,39.830875396728516,40.38999938964844,47.599998474121094,36.11000061035156,36.11000061035156,1228350,2021-06-07
2021-06-14,44.39678192138672,45.02000045776367,54.939998626708984,38.220001220703125,40.5,2969175,2021-06-14
2021-06-21,43.43034744262695,44.040000915527344,47.599998474121094,42.41999816894531,44.58000183105469,432980,2021-06-21
2021-06-28,53.55818176269531,54.310001373291016,59.77000045776367,41.810001373291016,44.79999923706055,2727430,2021-06-28
2021-07-05,54.94866180419922,55.720001220703125,62.939998626708984,53.61000061035156,56.599998474121094,2358550,2021-07-05
2021-07-12,49.850223541259766,50.54999923706055,57.310001373291016,48.75,55.81999969482422,277700,2021-07-12
2021-07-19,47.47359085083008,48.13999938964844,52.380001068115234,44.0,50.5,115800,2021-07-19
2021-07-26,47.89763641357422,48.56999969482422,50.79999923706055,46.400001525878906,47.9900016784668,59045,2021-07-26
2021-08-02,46.73396682739258,47.38999938964844,49.599998474121094,45.20000076293945,47.0099983215332,72215,2021-08-02
2021-08-09,46.704383850097656,47.36000061035156,48.79999923706055,42.93000030517578,48.79999923706055,99985,2021-08-09
2021-08-16,40.79730987548828,41.369998931884766,47.400001525878906,41.29999923706055,47.400001525878906,79750,2021-08-16
2021-08-23,40.60993576049805,41.18000030517578,43.369998931884766,38.0099983215332,39.72999954223633,86830,2021-08-23
2021-08-30,39.4364128112793,39.9900016784668,41.9900016784668,39.0,40.79999923706055,58045,2021-08-30
2021-09-06,41.260799407958984,41.84000015258789,42.599998474121094,38.310001373291016,39.20000076293945,44895,2021-09-06
2021-09-13,45.087093353271484,45.720001220703125,47.79999923706055,40.060001373291016,43.599998474121094,108495,2021-09-13
2021-09-20,44.65318298339844,45.279998779296875,46.79999923706055,43.02000045776367,46.20000076293945,61835,2021-09-20
2021-09-27,42.37261962890625,42.779998779296875,45.20000076293945,41.400001525878906,45.20000076293945,47750,2021-09-27
2021-10-04,44.75967025756836,45.189998626708984,45.189998626708984,40.869998931884766,40.869998931884766,85095,2021-10-04
2021-10-11,47.3547248840332,47.810001373291016,50.58000183105469,45.209999084472656,47.119998931884766,98695,2021-10-11
2021-10-18,45.611480712890625,46.04999923706055,50.20000076293945,45.0,48.189998626708984,242215,2021-10-18
2021-10-25,45.22519302368164,45.65999984741211,47.5099983215332,43.79999923706055,46.2599983215332,203125,2021-10-25
2021-11-01,46.70100784301758,47.150001525878906,48.310001373291016,45.06999969482422,45.06999969482422,146120,2021-11-01
2021-11-08,49.414913177490234,49.88999938964844,51.470001220703125,46.43000030517578,46.43000030517578,462515,2021-11-08
2021-11-15,47.67167663574219,48.130001068115234,51.599998474121094,46.84000015258789,51.20000076293945,251610,2021-11-15
2021-11-22,45.93833923339844,46.380001068115234,49.20000076293945,46.0,47.130001068115234,212225,2021-11-22
2021-11-29,46.47319412231445,46.91999816894531,48.15999984741211,44.470001220703125,44.470001220703125,228285,2021-11-29
2021-12-06,46.41376876831055,46.86000061035156,48.31999969482422,44.91999816894531,45.400001525878906,240340,2021-12-06
2021-12-13,43.86824417114258,44.290000915527344,47.90999984741211,43.11000061035156,47.90999984741211,186805,2021-12-13
2021-12-20,43.46214294433594,43.880001068115234,45.790000915527344,40.65999984741211,40.65999984741211,285850,2021-12-20
2021-12-27,45.839290618896484,46.279998779296875,48.150001525878906,44.0,44.27000045776367,211445,2021-12-27
2022-01-03,45.15585708618164,45.59000015258789,47.56999969482422,43.08000183105469,45.599998474121094,186795,2022-01-03
2022-01-10,49.28615188598633,49.7599983215332,52.7400016784668,44.02000045776367,45.279998779296875,331200,2022-01-10
2022-01-17,46.3642463684082,46.810001373291016,50.400001525878906,44.459999084472656,46.65999984741211,278810,2022-01-17
2022-01-24,45.55205535888672,45.9900016784668,47.38999938964844,42.66999816894531,47.119998931884766,152725,2022-01-24
2022-01-31,44.967674255371094,45.400001525878906,46.779998779296875,44.40999984741211,45.290000915527344,187135,2022-01-31
2022-02-07,43.65033721923828,44.06999969482422,46.560001373291016,42.470001220703125,46.54999923706055,228455,2022-02-07
2022-02-14,41.12461853027344,41.52000045776367,45.560001373291016,40.81999969482422,44.06999969482422,211530,2022-02-14
2022-02-21,37.3013801574707,37.65999984741211,42.77000045776367,35.380001068115234,42.77000045776367,224775,2022-02-21
2022-02-28,37.41032791137695,37.77000045776367,45.099998474121094,34.2599983215332,41.040000915527344,145685,2022-02-28
2022-03-07,39.52995300292969,39.90999984741211,41.38999938964844,34.79999923706055,34.79999923706055,169415,2022-03-07
2022-03-14,39.520050048828125,39.900001525878906,40.79999923706055,37.91999816894531,39.900001525878906,145875,2022-03-14
2022-03-21,36.5387077331543,36.88999938964844,39.970001220703125,36.599998474121094,39.150001525878906,225590,2022-03-21
2022-03-28,38.3809928894043,38.75,40.0,31.479999542236328,37.5,251125,2022-03-28
2022-04-04,39.0842399597168,39.459999084472656,41.0,38.439998626708984,41.0,127330,2022-04-04
