Date,Adj Close_SONACOMS.NS,Close_SONACOMS.NS,High_SONACOMS.NS,Low_SONACOMS.NS,Open_SONACOMS.NS,Volume_SONACOMS.NS,Date
2021-06-21,357.5767517089844,364.70001220703125,413.8999938964844,295.0,301.0,72632449,2021-06-21
2021-06-28,370.0777282714844,377.45001220703125,385.0,333.25,357.0,15768592,2021-06-28
2021-07-05,414.0027160644531,422.25,426.79998779296875,366.5,381.3999938964844,18898675,2021-07-05
2021-07-12,393.6579895019531,401.5,427.0,392.20001220703125,424.8999938964844,5748578,2021-07-12
2021-07-19,414.983154296875,423.25,456.8999938964844,388.0,399.5,23374422,2021-07-19
2021-07-26,430.670654296875,439.25,443.95001220703125,393.8500061035156,424.0,14994544,2021-07-26
2021-08-02,403.4136657714844,411.45001220703125,454.25,408.0,442.6499938964844,8275136,2021-08-02
2021-08-09,491.9989013671875,501.79998779296875,559.4000244140625,427.25,427.70001220703125,46307469,2021-08-09
2021-08-16,457.24139404296875,466.3500061035156,542.0,463.0,503.5,14750075,2021-08-16
2021-08-23,464.9380798339844,474.20001220703125,491.1499938964844,438.1499938964844,472.1499938964844,14203389,2021-08-23
2021-08-30,515.43212890625,525.7000122070312,538.7999877929688,483.0,483.0,19876815,2021-08-30
2021-09-06,539.747802734375,550.5,571.0,526.0999755859375,532.4000244140625,17205107,2021-09-06
2021-09-13,559.2590942382812,570.4000244140625,610.0,546.0,553.0,18424308,2021-09-13
2021-09-20,547.1011962890625,558.0,587.75,547.1500244140625,564.0,8621686,2021-09-20
2021-09-27,551.5623779296875,562.5499877929688,573.7999877929688,548.0,563.9000244140625,6045585,2021-09-27
2021-10-04,618.62646484375,630.9500122070312,689.0,555.0,564.0999755859375,16119963,2021-10-04
2021-10-11,740.4006958007812,755.1500244140625,813.0,628.4000244140625,632.7999877929688,16120144,2021-10-11
2021-10-18,604.0664672851562,616.0999755859375,805.9500122070312,601.0,762.0,13603613,2021-10-18
2021-10-25,635.0492553710938,647.7000122070312,705.4000244140625,586.0,618.0,16892616,2021-10-25
2021-11-01,630.980224609375,643.5499877929688,669.7999877929688,635.6500244140625,653.7000122070312,4824546,2021-11-01
2021-11-08,666.66943359375,679.9500122070312,713.4000244140625,656.6500244140625,669.0,10606551,2021-11-08
2021-11-15,696.1323852539062,710.0,726.0,684.0,685.0999755859375,8253803,2021-11-15
2021-11-22,715.055419921875,729.2999877929688,775.0,681.3499755859375,716.4000244140625,12918726,2021-11-22
2021-11-29,751.430908203125,766.4000244140625,812.5,676.2000122070312,725.0,11729428,2021-11-29
2021-12-06,773.8836059570312,789.2999877929688,817.9000244140625,748.6500244140625,771.4000244140625,11609486,2021-12-06
2021-12-13,741.0869140625,755.8499755859375,839.9000244140625,741.25,797.7000122070312,23297782,2021-12-13
2021-12-20,698.8287353515625,712.75,755.2999877929688,680.1500244140625,753.0,10744606,2021-12-20
2021-12-27,729.0271606445312,743.5499877929688,748.7000122070312,694.4000244140625,712.0,6054255,2021-12-27
2022-01-03,719.8109130859375,734.1500244140625,778.75,718.0,743.5499877929688,6217282,2022-01-03
2022-01-10,741.4790649414062,756.25,776.0999755859375,733.9000244140625,738.0,5950045,2022-01-10
2022-01-17,688.4358520507812,702.1500244140625,794.7999877929688,693.1500244140625,763.0,8408023,2022-01-17
2022-01-24,613.2338256835938,625.4500122070312,703.9000244140625,600.0,703.9000244140625,15845355,2022-01-24
2022-01-31,668.7283325195312,682.0499877929688,699.5,635.5,643.0,8287041,2022-01-31
2022-02-07,619.4107055664062,631.75,683.7000122070312,622.0499877929688,680.9500122070312,4773341,2022-02-07
2022-02-14,644.5472412109375,656.5999755859375,667.6500244140625,568.5499877929688,568.5499877929688,6281262,2022-02-14
2022-02-21,638.0192260742188,649.9500122070312,665.0,582.0,646.0,6569797,2022-02-21
2022-02-28,578.973388671875,589.7999877929688,642.2999877929688,581.5999755859375,637.5999755859375,5709532,2022-02-28
2022-03-07,605.379638671875,616.7000122070312,620.0,553.0,560.5,7469990,2022-03-07
2022-03-14,671.93505859375,684.5,698.7000122070312,608.9500122070312,620.0,5295371,2022-03-14
2022-03-21,650.191650390625,662.3499755859375,706.5999755859375,652.0,694.8499755859375,4933536,2022-03-21
2022-03-28,644.6945190429688,656.75,700.0,654.0,669.7999877929688,5183938,2022-03-28
