Date,Adj Close_KFINTECH.NS,Close_KFINTECH.NS,High_KFINTECH.NS,Low_KFINTECH.NS,Open_KFINTECH.NS,Volume_KFINTECH.NS,Date
2022-12-26,342.5501403808594,344.5,373.0,342.3500061035156,367.0,8909284,2022-12-26
2023-01-02,343.3455810546875,345.29998779296875,360.3500061035156,334.0,344.0,1537568,2023-01-02
2023-01-09,332.80560302734375,334.70001220703125,347.3999938964844,328.0,345.0,1126310,2023-01-09
2023-01-16,332.6067199707031,334.5,341.54998779296875,330.79998779296875,337.95001220703125,854698,2023-01-16
2023-01-23,314.6091613769531,316.3999938964844,342.95001220703125,315.0,335.0,1088179,2023-01-23
2023-01-30,298.40142822265625,300.1000061035156,327.20001220703125,290.3500061035156,314.0,694319,2023-01-30
2023-02-06,317.09503173828125,318.8999938964844,321.0,296.0,296.0,353889,2023-02-06
2023-02-13,316.3492736816406,318.1499938964844,329.1000061035156,311.1499938964844,322.0,432796,2023-02-13
2023-02-20,294.87152099609375,296.54998779296875,328.8500061035156,290.5,319.8999938964844,518394,2023-02-20
2023-02-27,291.5404968261719,293.20001220703125,298.79998779296875,289.0,294.0,549543,2023-02-27
2023-03-06,296.0150451660156,297.70001220703125,309.6000061035156,292.6499938964844,293.20001220703125,382372,2023-03-06
2023-03-13,279.0615234375,280.6499938964844,297.70001220703125,276.1000061035156,297.6499938964844,495783,2023-03-13
2023-03-20,290.39697265625,292.04998779296875,302.95001220703125,272.0,276.0,600398,2023-03-20
2023-03-27,278.6637878417969,280.25,287.95001220703125,272.3999938964844,275.75,610588,2023-03-27
2023-04-03,284.4309387207031,286.04998779296875,293.54998779296875,278.5,284.3999938964844,376017,2023-04-03
2023-04-10,294.424072265625,296.1000061035156,298.3999938964844,276.1000061035156,289.8999938964844,482804,2023-04-10
2023-04-17,295.5178527832031,297.20001220703125,299.95001220703125,287.0,291.6499938964844,794060,2023-04-17
2023-04-24,312.2724609375,314.04998779296875,322.0,298.6499938964844,299.75,884582,2023-04-24
2023-05-01,314.4103088378906,316.20001220703125,336.6499938964844,299.04998779296875,314.04998779296875,822819,2023-05-01
2023-05-08,329.7728576660156,331.6499938964844,334.25,301.29998779296875,316.5,1497654,2023-05-08
2023-05-15,339.6168212890625,341.54998779296875,345.8500061035156,318.04998779296875,331.1000061035156,1143877,2023-05-15
2023-05-22,331.811279296875,333.70001220703125,344.70001220703125,326.1499938964844,341.54998779296875,667958,2023-05-22
