Date,Adj Close_CEATLTD.NS,Close_CEATLTD.NS,High_CEATLTD.NS,Low_CEATLTD.NS,Open_CEATLTD.NS,Volume_CEATLTD.NS,Date
2020-07-13,844.728759765625,874.4500122070312,889.5499877929688,848.1500244140625,882.5499877929688,300698,2020-07-13
2020-07-20,821.206298828125,850.0999755859375,890.9500122070312,845.0999755859375,888.0,565862,2020-07-20
2020-07-27,839.4155883789062,868.9500122070312,888.9500122070312,835.0,853.7000122070312,705707,2020-07-27
2020-08-03,860.5230712890625,890.7999877929688,913.9500122070312,862.1500244140625,868.0,814272,2020-08-03
2020-08-10,848.1580200195312,878.0,919.7000122070312,872.0,891.7000122070312,461872,2020-08-10
2020-08-17,838.8359985351562,868.3499755859375,897.75,861.0,879.0,991331,2020-08-17
2020-08-24,905.5874633789062,937.4500122070312,959.9500122070312,870.3499755859375,875.0,2971994,2020-08-24
2020-08-31,852.9880981445312,883.0,946.4500122070312,868.5499877929688,946.4500122070312,807026,2020-08-31
2020-09-07,863.56591796875,893.9500122070312,922.8499755859375,870.0,887.4500122070312,587681,2020-09-07
2020-09-14,926.7913818359375,959.4000244140625,983.5,897.0,899.0,2258289,2020-09-14
2020-09-21,874.38525390625,905.1500244140625,967.0,876.0999755859375,965.0,541471,2020-09-21
2020-09-28,966.9775390625,1001.0,1027.0,918.0,918.0,1603419,2020-09-28
2020-10-05,966.7842407226562,1000.7999877929688,1063.75,986.0999755859375,1002.0,771751,2020-10-05
2020-10-12,958.2833251953125,992.0,1042.949951171875,958.7000122070312,1002.3499755859375,645006,2020-10-12
2020-10-19,1083.768310546875,1121.9000244140625,1136.0,997.0,997.0,1693680,2020-10-19
2020-10-26,1055.9471435546875,1093.0999755859375,1249.0,1081.0999755859375,1130.0,2966751,2020-10-26
2020-11-02,1071.8380126953125,1109.550048828125,1170.0,1064.0,1085.0,1177857,2020-11-02
2020-11-09,1091.83447265625,1130.25,1144.0,1088.550048828125,1122.0,569301,2020-11-09
2020-11-16,1101.349609375,1140.0999755859375,1174.449951171875,1107.199951171875,1107.199951171875,859061,2020-11-16
2020-11-23,1109.3192138671875,1148.3499755859375,1159.9000244140625,1111.0,1148.0,730540,2020-11-23
2020-11-30,1114.6805419921875,1153.9000244140625,1208.0,1143.0,1148.3499755859375,953887,2020-11-30
2020-12-07,1119.8004150390625,1159.199951171875,1178.0,1138.0,1159.9000244140625,1041653,2020-12-07
2020-12-14,1074.6395263671875,1112.449951171875,1191.800048828125,1101.0,1160.0,1140345,2020-12-14
2020-12-21,1024.3585205078125,1060.4000244140625,1122.5,1020.0,1120.0,751926,2020-12-21
2020-12-28,1056.2852783203125,1093.449951171875,1097.800048828125,1051.550048828125,1069.0,646720,2020-12-28
2021-01-04,1159.889892578125,1200.699951171875,1205.0,1088.550048828125,1105.0,1290333,2021-01-04
2021-01-11,1212.682373046875,1255.3499755859375,1272.4000244140625,1178.050048828125,1206.0,3096564,2021-01-11
2021-01-18,1445.0565185546875,1495.9000244140625,1535.0,1189.050048828125,1256.0,10775603,2021-01-18
2021-01-25,1420.90625,1470.9000244140625,1564.9000244140625,1425.0,1507.949951171875,3045721,2021-01-25
2021-02-01,1596.2374267578125,1652.4000244140625,1763.0,1417.550048828125,1479.0,4529125,2021-02-01
2021-02-08,1609.0853271484375,1665.699951171875,1695.0,1556.050048828125,1650.0,1956697,2021-02-08
2021-02-15,1532.8670654296875,1586.800048828125,1674.8499755859375,1565.0,1655.1500244140625,1054040,2021-02-15
2021-02-22,1540.2086181640625,1594.4000244140625,1667.0,1495.050048828125,1588.4000244140625,1278849,2021-02-22
2021-03-01,1532.142578125,1586.050048828125,1683.8499755859375,1576.0,1611.0,1101481,2021-03-01
2021-03-08,1558.3695068359375,1613.199951171875,1632.800048828125,1533.300048828125,1590.0,564086,2021-03-08
2021-03-15,1519.052978515625,1572.5,1629.949951171875,1451.0,1629.0,991035,2021-03-15
2021-03-22,1463.120849609375,1514.5999755859375,1586.949951171875,1455.5,1586.0,685105,2021-03-22
2021-03-29,1541.56103515625,1595.800048828125,1609.0,1498.199951171875,1514.5999755859375,493517,2021-03-29
2021-04-05,1497.22119140625,1549.9000244140625,1620.0,1525.0,1600.0,766059,2021-04-05
2021-04-12,1353.0440673828125,1400.6500244140625,1534.0,1385.0,1534.0,804728,2021-04-12
2021-04-19,1391.6361083984375,1440.5999755859375,1448.5,1333.949951171875,1380.0,881338,2021-04-19
2021-04-26,1338.891845703125,1386.0,1453.300048828125,1346.4000244140625,1440.0,1179058,2021-04-26
2021-05-03,1241.662841796875,1285.3499755859375,1430.0,1280.0,1378.0,2565528,2021-05-03
2021-05-10,1243.8363037109375,1287.5999755859375,1319.0,1275.0,1300.0,773441,2021-05-10
2021-05-17,1241.711181640625,1285.4000244140625,1325.0,1269.0999755859375,1296.800048828125,1200778,2021-05-17
2021-05-24,1274.4105224609375,1319.25,1353.0,1290.550048828125,1298.5,1642350,2021-05-24
2021-05-31,1284.843505859375,1330.050048828125,1349.699951171875,1316.0,1323.5,818957,2021-05-31
2021-06-07,1322.131591796875,1368.6500244140625,1384.0,1326.550048828125,1335.0,1735304,2021-06-07
2021-06-14,1312.9547119140625,1359.1500244140625,1401.0,1311.550048828125,1380.0,1487602,2021-06-14
2021-06-21,1295.034912109375,1340.5999755859375,1365.0,1332.25,1340.0,459583,2021-06-21
2021-06-28,1311.312255859375,1357.449951171875,1386.25,1335.050048828125,1347.800048828125,588212,2021-06-28
2021-07-05,1273.1546630859375,1317.949951171875,1366.0,1316.0,1364.5999755859375,466435,2021-07-05
2021-07-12,1400.6683349609375,1449.949951171875,1477.75,1321.0,1325.0,3390617,2021-07-12
2021-07-19,1325.36767578125,1372.0,1449.0,1360.3499755859375,1438.0,960285,2021-07-19
2021-07-26,1310.732666015625,1356.8499755859375,1381.800048828125,1318.0,1372.0,764791,2021-07-26
2021-08-02,1296.7254638671875,1342.3499755859375,1379.800048828125,1327.3499755859375,1362.300048828125,619534,2021-08-02
2021-08-09,1283.9742431640625,1329.1500244140625,1348.75,1274.050048828125,1343.0,563798,2021-08-09
2021-08-16,1254.5107421875,1298.6500244140625,1332.0,1294.0999755859375,1327.0,322978,2021-08-16
2021-08-23,1241.95263671875,1285.6500244140625,1321.0,1261.0999755859375,1321.0,407189,2021-08-23
2021-08-30,1284.5098876953125,1310.949951171875,1321.0,1265.0999755859375,1283.0,524742,2021-08-30
2021-09-06,1278.7288818359375,1305.050048828125,1337.9000244140625,1289.4000244140625,1319.3499755859375,425288,2021-09-06
2021-09-13,1295.3861083984375,1322.050048828125,1366.6500244140625,1295.0,1308.800048828125,881158,2021-09-13
