Date,Adj Close_NEOGEN.NS,Close_NEOGEN.NS,High_NEOGEN.NS,Low_NEOGEN.NS,Open_NEOGEN.NS,Volume_NEOGEN.NS,Date
2020-07-13,519.906494140625,524.9500122070312,569.0,499.95001220703125,560.0999755859375,150519,2020-07-13
2020-07-20,541.7941284179688,547.0499877929688,553.7999877929688,512.0,521.0,159838,2020-07-20
2020-07-27,534.316650390625,539.5,560.3499755859375,516.0999755859375,550.5,177875,2020-07-27
2020-08-03,647.61767578125,653.9000244140625,696.0,538.3499755859375,547.7000122070312,667595,2020-08-03
2020-08-10,618.6486206054688,624.6500244140625,669.4000244140625,590.5,650.0,263418,2020-08-10
2020-08-17,736.2578125,743.4000244140625,743.4000244140625,619.0,627.5,329025,2020-08-17
2020-08-24,708.3287353515625,715.2000122070312,819.5499877929688,704.5,780.5499877929688,483576,2020-08-24
2020-08-31,699.4647216796875,706.25,737.0,646.3499755859375,737.0,205112,2020-08-31
2020-09-07,701.8416748046875,708.6500244140625,734.0,662.2000122070312,689.0,173881,2020-09-07
2020-09-14,692.8785400390625,699.5999755859375,725.0,690.25,725.0,168502,2020-09-14
2020-09-21,645.1651000976562,649.5499877929688,709.7999877929688,632.0499877929688,698.0999755859375,110861,2020-09-21
2020-09-28,664.6824340820312,669.2000122070312,708.0,655.5,668.0,71057,2020-09-28
2020-10-05,617.2052001953125,621.4000244140625,689.7000122070312,601.5,687.0,71459,2020-10-05
2020-10-12,631.2098388671875,635.5,677.0,611.0,621.4000244140625,122618,2020-10-12
2020-10-19,641.58935546875,645.9500122070312,684.0,630.0,640.2000122070312,105981,2020-10-19
2020-10-26,613.5797729492188,617.75,655.8499755859375,595.0,645.0,56878,2020-10-26
2020-11-02,660.1134643554688,664.5999755859375,698.0,611.0,627.75,73990,2020-11-02
2020-11-09,633.1467895507812,637.4500122070312,664.8499755859375,609.9000244140625,650.0,112347,2020-11-09
2020-11-16,629.9683227539062,634.25,650.0,618.9000244140625,631.0999755859375,61627,2020-11-16
2020-11-23,626.491943359375,630.75,642.7999877929688,617.0,634.25,80937,2020-11-23
2020-11-30,658.4746704101562,662.9500122070312,698.4000244140625,616.5999755859375,630.75,207095,2020-11-30
2020-12-07,756.905517578125,762.0499877929688,812.0,663.0,670.0,806732,2020-12-07
2020-12-14,728.20068359375,733.1500244140625,771.2000122070312,696.0,771.2000122070312,373067,2020-12-14
2020-12-21,743.0498046875,748.0999755859375,776.2999877929688,676.3499755859375,725.0,329743,2020-12-21
2020-12-28,730.087890625,735.0499877929688,756.3499755859375,714.4500122070312,747.0,129799,2020-12-28
2021-01-04,709.5772705078125,714.4000244140625,747.3499755859375,710.5999755859375,735.5,239143,2021-01-04
2021-01-11,711.4147338867188,716.25,785.0,700.0,717.9500122070312,791948,2021-01-11
2021-01-18,703.0714721679688,707.8499755859375,745.0,699.0,717.0,139242,2021-01-18
2021-01-25,702.6741943359375,707.4500122070312,745.0,681.0,725.0,61874,2021-01-25
2021-02-01,700.3399658203125,705.0999755859375,725.0,700.0,710.75,73877,2021-02-01
2021-02-08,748.4630126953125,753.5499877929688,799.0,703.8499755859375,715.0,811007,2021-02-08
2021-02-15,844.8577880859375,850.5999755859375,930.0,727.0,756.9500122070312,1919604,2021-02-15
2021-02-22,813.5208740234375,819.0499877929688,915.0,810.0,852.0,308143,2021-02-22
2021-03-01,853.9461059570312,859.75,938.0,812.0,830.0,458470,2021-03-01
2021-03-08,849.2281494140625,855.0,885.1500244140625,832.3499755859375,862.5499877929688,137118,2021-03-08
2021-03-15,805.177490234375,810.6500244140625,864.8499755859375,780.0,853.0499877929688,132134,2021-03-15
2021-03-22,783.9716186523438,789.2999877929688,833.9500122070312,764.1500244140625,822.0,256331,2021-03-22
2021-03-29,858.0679931640625,863.9000244140625,888.0,781.0999755859375,789.2999877929688,343695,2021-03-29
2021-04-05,930.8235473632812,937.1500244140625,970.0,815.4500122070312,868.75,420932,2021-04-05
2021-04-12,870.5333251953125,876.4500122070312,957.0,757.2000122070312,925.0499877929688,283731,2021-04-12
2021-04-19,861.8424072265625,867.7000122070312,931.9000244140625,851.2000122070312,868.5,178307,2021-04-19
2021-04-26,858.6640014648438,864.5,916.0,854.2000122070312,872.2999877929688,378525,2021-04-26
2021-05-03,888.46142578125,894.5,920.0,840.0499877929688,864.5,366520,2021-05-03
2021-05-10,867.15625,873.0499877929688,927.9500122070312,858.9500122070312,899.9500122070312,150494,2021-05-10
2021-05-17,968.3187255859375,974.9000244140625,1018.0,875.0,880.0,640464,2021-05-17
2021-05-24,944.72900390625,951.1500244140625,1028.0,944.0,999.0,466916,2021-05-24
2021-05-31,892.6331176757812,898.7000122070312,978.0,890.0999755859375,950.0,375374,2021-05-31
2021-06-07,868.4971313476562,874.4000244140625,919.9500122070312,866.0999755859375,900.0499877929688,306619,2021-06-07
2021-06-14,817.5931396484375,823.1500244140625,890.0,795.0,874.4000244140625,566011,2021-06-14
2021-06-21,830.0584716796875,835.7000122070312,848.0,802.9500122070312,820.0,194494,2021-06-21
