Date,Adj Close_SUNDRMBRAK.NS,Close_SUNDRMBRAK.NS,High_SUNDRMBRAK.NS,Low_SUNDRMBRAK.NS,Open_SUNDRMBRAK.NS,Volume_SUNDRMBRAK.NS,Date
2020-07-13,219.06590270996094,219.64999389648438,233.60000610351562,210.64999389648438,226.64999389648438,6503,2020-07-13
2020-07-20,220.7613983154297,221.35000610351562,230.0,215.10000610351562,230.0,6397,2020-07-20
2020-07-27,221.40965270996094,222.0,226.39999389648438,215.25,220.0500030517578,4480,2020-07-27
2020-08-03,228.2913055419922,228.89999389648438,235.0,216.5,218.64999389648438,12651,2020-08-03
2020-08-10,222.70620727539062,223.3000030517578,255.0,219.4499969482422,255.0,19265,2020-08-10
2020-08-17,251.7288055419922,252.39999389648438,274.0,220.0,221.0500030517578,34334,2020-08-17
2020-08-24,260.7547607421875,261.45001220703125,292.0,240.0500030517578,252.25,55911,2020-08-24
2020-08-31,236.4196319580078,237.0500030517578,268.75,231.5500030517578,268.70001220703125,12449,2020-08-31
2020-09-07,236.9681854248047,237.60000610351562,249.6999969482422,224.25,249.60000610351562,12280,2020-09-07
2020-09-14,237.3671112060547,238.0,245.9499969482422,235.5500030517578,244.0500030517578,5088,2020-09-14
2020-09-21,227.54330444335938,228.14999389648438,248.14999389648438,218.14999389648438,244.0500030517578,3591,2020-09-21
2020-09-28,233.8764190673828,234.5,237.9499969482422,225.10000610351562,228.10000610351562,3966,2020-09-28
2020-10-05,224.7008819580078,225.3000030517578,250.0,221.64999389648438,237.0,11657,2020-10-05
2020-10-12,228.83984375,229.4499969482422,255.5,218.5,225.3000030517578,13919,2020-10-12
2020-10-19,229.3883819580078,230.0,253.5,221.10000610351562,239.0500030517578,46859,2020-10-19
2020-10-26,218.81655883789062,219.39999389648438,232.9499969482422,217.89999389648438,228.25,7870,2020-10-26
2020-11-02,229.43824768066406,230.0500030517578,238.85000610351562,208.89999389648438,227.89999389648438,12462,2020-11-02
2020-11-09,260.7048645019531,261.3999938964844,299.8999938964844,241.25,250.0,141499,2020-11-09
2020-11-16,289.52801513671875,290.29998779296875,297.3999938964844,255.10000610351562,260.79998779296875,33623,2020-11-16
2020-11-23,301.5459899902344,302.3500061035156,349.0,285.0,315.0,98769,2020-11-23
2020-11-30,294.5646057128906,295.3500061035156,316.0,279.95001220703125,302.3500061035156,30067,2020-11-30
2020-12-07,303.9396057128906,304.75,309.0,283.5,299.95001220703125,24749,2020-12-07
2020-12-14,308.07855224609375,308.8999938964844,328.6000061035156,298.6000061035156,304.75,33853,2020-12-14
2020-12-21,308.4775085449219,309.29998779296875,320.5,276.1000061035156,308.95001220703125,18470,2020-12-21
2020-12-28,308.1284484863281,308.95001220703125,323.8999938964844,302.75,305.0,17889,2020-12-28
2021-01-04,320.5453186035156,321.3999938964844,326.3500061035156,308.29998779296875,322.95001220703125,21299,2021-01-04
2021-01-11,316.95489501953125,317.79998779296875,337.95001220703125,303.04998779296875,325.0,37806,2021-01-11
2021-01-18,350.9642333984375,351.8999938964844,381.3500061035156,322.29998779296875,332.0,236212,2021-01-18
2021-01-25,344.03271484375,344.95001220703125,359.6000061035156,317.79998779296875,352.1000061035156,23375,2021-01-25
2021-02-01,354.6045227050781,355.54998779296875,363.0,338.45001220703125,344.95001220703125,21038,2021-02-01
2021-02-08,353.806640625,354.75,399.0,352.0,359.95001220703125,132822,2021-02-08
2021-02-15,361.73553466796875,362.70001220703125,374.0,355.1000061035156,369.8999938964844,22917,2021-02-15
2021-02-22,355.153076171875,356.1000061035156,372.8999938964844,346.3999938964844,363.1000061035156,17421,2021-02-22
2021-03-01,354.7042541503906,355.6499938964844,374.0,345.6499938964844,352.04998779296875,17186,2021-03-01
2021-03-08,349.5180969238281,350.45001220703125,368.0,347.1000061035156,350.0,8144,2021-03-08
2021-03-15,341.888427734375,342.79998779296875,363.0,325.04998779296875,363.0,16301,2021-03-15
2021-03-22,332.0147399902344,332.8999938964844,349.95001220703125,325.04998779296875,341.25,20008,2021-03-22
2021-03-29,347.5732727050781,348.5,359.0,332.8999938964844,332.8999938964844,9524,2021-03-29
2021-04-05,356.0008239746094,356.95001220703125,359.95001220703125,336.6000061035156,336.6000061035156,24503,2021-04-05
2021-04-12,335.40570068359375,336.29998779296875,356.3500061035156,330.04998779296875,353.54998779296875,5871,2021-04-12
2021-04-19,318.0021057128906,318.8500061035156,345.04998779296875,308.6499938964844,345.04998779296875,14552,2021-04-19
2021-04-26,330.8677978515625,331.75,345.0,321.8999938964844,325.1499938964844,15490,2021-04-26
