Date,Adj Close_LIKHITHA.NS,Close_LIKHITHA.NS,High_LIKHITHA.NS,Low_LIKHITHA.NS,Open_LIKHITHA.NS,Volume_LIKHITHA.NS,Date
2021-06-07,226.78794860839844,231.52499389648438,240.0,193.3249969482422,199.5,4901432,2021-06-07
2021-06-14,200.6832275390625,204.875,233.3000030517578,194.75,233.0,3588072,2021-06-14
2021-06-21,199.60572814941406,203.77499389648438,210.5,197.5,201.5,882370,2021-06-21
2021-06-28,206.75636291503906,211.0749969482422,213.5,200.5749969482422,203.77499389648438,1010666,2021-06-28
2021-07-05,209.8664093017578,214.25,229.10000610351562,210.9250030517578,213.5,2057130,2021-07-05
2021-07-12,206.7073974609375,211.02499389648438,217.02499389648438,208.1750030517578,215.5,1595428,2021-07-12
2021-07-19,200.43832397460938,204.625,211.25,199.3000030517578,208.0,1411534,2021-07-19
2021-07-26,193.4835968017578,197.52499389648438,206.97500610351562,191.85000610351562,205.0,979674,2021-07-26
2021-08-02,196.64260864257812,200.75,209.0,195.5,195.64999389648438,956376,2021-08-02
2021-08-09,192.62649536132812,196.64999389648438,206.125,184.0749969482422,201.1999969482422,1312950,2021-08-09
2021-08-16,167.8931121826172,171.39999389648438,196.64999389648438,170.3000030517578,196.5,795238,2021-08-16
2021-08-23,179.89248657226562,183.64999389648438,187.4499969482422,157.0500030517578,174.5,2671514,2021-08-23
2021-08-30,192.42849731445312,195.52499389648438,204.85000610351562,178.97500610351562,184.97500610351562,2332264,2021-08-30
2021-09-06,197.15249633789062,200.3249969482422,214.5,198.72500610351562,210.0,1707962,2021-09-06
2021-09-13,191.02609252929688,194.10000610351562,202.625,193.125,200.0,814510,2021-09-13
2021-09-20,186.20367431640625,189.1999969482422,200.6999969482422,177.125,193.0,918430,2021-09-20
2021-09-27,182.58688354492188,185.52499389648438,192.52499389648438,182.5,190.0,485830,2021-09-27
2021-10-04,186.52352905273438,189.52499389648438,201.5,184.0500030517578,185.0,1020738,2021-10-04
2021-10-11,186.30209350585938,189.3000030517578,194.4499969482422,185.0,189.52499389648438,492426,2021-10-11
2021-10-18,177.61685180664062,180.47500610351562,192.10000610351562,175.3000030517578,188.5,497016,2021-10-18
2021-10-25,175.40249633789062,178.22500610351562,190.125,174.5,180.5,456874,2021-10-25
2021-11-01,189.72206115722656,192.77499389648438,197.97500610351562,178.25,178.25,523526,2021-11-01
2021-11-08,180.7661895751953,183.6750030517578,195.75,181.64999389648438,194.47500610351562,526154,2021-11-08
2021-11-15,167.9720458984375,170.6750030517578,184.9250030517578,170.0,184.9250030517578,347658,2021-11-15
2021-11-22,166.47120666503906,169.14999389648438,184.5,162.9250030517578,170.0,460346,2021-11-22
2021-11-29,171.49732971191406,173.47500610351562,177.5,155.02499389648438,165.5,385270,2021-11-29
2021-12-06,176.3909149169922,178.4250030517578,182.4250030517578,165.52499389648438,169.5,403924,2021-12-06
2021-12-13,164.05812072753906,165.9499969482422,180.0,165.14999389648438,179.75,215766,2021-12-13
2021-12-20,166.57904052734375,168.5,173.39999389648438,157.10000610351562,158.75,284072,2021-12-20
2021-12-27,170.533447265625,172.5,181.5,163.5,168.4499969482422,459256,2021-12-27
2022-01-03,171.2501983642578,173.22500610351562,189.0,170.1999969482422,184.0,1009086,2022-01-03
2022-01-10,171.59617614746094,173.5749969482422,176.5,170.52499389648438,173.22500610351562,253694,2022-01-10
2022-01-17,170.92886352539062,172.89999389648438,187.72500610351562,171.0,173.75,873820,2022-01-17
2022-01-24,175.2292938232422,177.25,183.14999389648438,150.39999389648438,173.0,565700,2022-01-24
2022-01-31,175.52587890625,177.5500030517578,181.22500610351562,169.8249969482422,181.1750030517578,408410,2022-01-31
2022-02-07,163.76153564453125,165.64999389648438,191.0,165.0,177.9499969482422,1294214,2022-02-07
2022-02-14,156.9896240234375,158.8000030517578,163.64999389648438,151.0,157.4499969482422,373894,2022-02-14
2022-02-21,146.73291015625,148.4250030517578,158.875,140.0,158.5,417150,2022-02-21
2022-02-28,145.34886169433594,147.02499389648438,154.5,145.625,148.0,208510,2022-02-28
2022-03-07,152.93637084960938,154.6999969482422,159.6999969482422,140.5,145.0,391208,2022-03-07
2022-03-14,151.37933349609375,153.125,157.27499389648438,151.0500030517578,156.0,184876,2022-03-14
2022-03-21,148.8583984375,150.5749969482422,158.72500610351562,149.89999389648438,154.9499969482422,295382,2022-03-21
2022-03-28,148.6112518310547,150.3249969482422,153.52499389648438,143.3249969482422,150.5,839406,2022-03-28
2022-04-04,162.74822998046875,164.625,166.5,149.85000610351562,153.97500610351562,514340,2022-04-04
2022-04-11,161.75961303710938,163.625,171.5,162.9250030517578,166.0,261556,2022-04-11
2022-04-18,156.07518005371094,157.875,164.1999969482422,153.0,162.5,290834,2022-04-18
2022-04-25,149.92112731933594,151.64999389648438,157.9250030517578,150.5,156.0,215046,2022-04-25
2022-05-02,142.9762420654297,144.625,153.35000610351562,143.0,151.5,141524,2022-05-02
2022-05-09,140.4305877685547,142.0500030517578,147.4250030517578,131.6999969482422,142.5,200302,2022-05-09
2022-05-16,135.58644104003906,137.14999389648438,152.22500610351562,133.85000610351562,144.5,1188262,2022-05-16
2022-05-23,131.43431091308594,132.9499969482422,140.8249969482422,127.0250015258789,138.85000610351562,133662,2022-05-23
2022-05-30,137.09405517578125,138.6750030517578,144.60000610351562,137.0,138.10000610351562,215416,2022-05-30
2022-06-06,138.00852966308594,139.60000610351562,143.47500610351562,137.5500030517578,141.4250030517578,190976,2022-06-06
2022-06-13,125.23087310791016,126.67500305175781,141.4499969482422,125.42500305175781,137.5,154878,2022-06-13
2022-06-20,121.10345458984375,122.5,129.25,118.2750015258789,125.0,194852,2022-06-20
2022-06-27,136.50088500976562,138.0749969482422,147.0,127.5,129.25,1285328,2022-06-27
2022-07-04,148.5865478515625,150.3000030517578,157.0,135.3249969482422,135.3249969482422,710112,2022-07-04
2022-07-11,148.73483276367188,150.4499969482422,156.97500610351562,147.0,149.0,172318,2022-07-11
2022-07-18,142.85264587402344,144.5,153.0500030517578,142.5500030517578,151.9499969482422,686196,2022-07-18
2022-07-25,140.3564453125,141.97500610351562,148.47500610351562,136.75,145.5,848546,2022-07-25
2022-08-01,140.20816040039062,141.8249969482422,148.89999389648438,139.6999969482422,141.97500610351562,1237272,2022-08-01
2022-08-08,144.03897094726562,145.6999969482422,154.25,139.22500610351562,139.22500610351562,471576,2022-08-08
2022-08-15,135.7347412109375,137.3000030517578,148.75,135.0,145.6999969482422,946698,2022-08-15
2022-08-22,150.86032104492188,152.60000610351562,154.5,132.77499389648438,136.4499969482422,1386668,2022-08-22
2022-08-29,166.9744873046875,168.89999389648438,175.97500610351562,147.5,151.0,2262642,2022-08-29
2022-09-05,179.55441284179688,181.625,185.9250030517578,164.3249969482422,169.8249969482422,2158324,2022-09-05
2022-09-12,173.1038055419922,175.10000610351562,186.89999389648438,170.64999389648438,181.25,978426,2022-09-12
2022-09-19,174.18255615234375,175.6999969482422,186.39999389648438,173.6999969482422,178.60000610351562,1224942,2022-09-19
2022-09-26,186.54981994628906,188.1750030517578,190.0,168.77499389648438,172.5,1526670,2022-09-26
2022-10-03,180.4281463623047,182.0,192.5,180.0,189.0,1055006,2022-10-03
2022-10-10,186.05413818359375,187.6750030517578,192.4499969482422,177.0500030517578,179.39999389648438,1255498,2022-10-10
2022-10-17,183.12962341308594,184.72500610351562,191.39999389648438,180.97500610351562,188.0,633796,2022-10-17
2022-10-24,187.1942138671875,188.8249969482422,198.4499969482422,187.1750030517578,190.0,803350,2022-10-24
2022-10-31,194.50550842285156,196.1999969482422,201.5500030517578,187.77499389648438,188.02499389648438,1185230,2022-10-31
2022-11-07,194.77813720703125,196.47500610351562,207.0,192.10000610351562,197.97500610351562,882514,2022-11-07
2022-11-14,194.6542205810547,196.35000610351562,200.0,188.5,196.0,834486,2022-11-14
2022-11-21,203.179931640625,204.9499969482422,208.1999969482422,190.75,198.85000610351562,1346506,2022-11-21
2022-11-28,261.6208190917969,263.8999938964844,273.3500061035156,193.0,207.85000610351562,25024809,2022-11-28
2022-12-05,229.45106506347656,231.4499969482422,261.70001220703125,225.0,261.70001220703125,2693445,2022-12-05
2022-12-12,231.53292846679688,233.5500030517578,248.0,226.89999389648438,234.6999969482422,1023182,2022-12-12
2022-12-19,198.6692352294922,200.39999389648438,244.9499969482422,198.0,234.75,1611431,2022-12-19
2022-12-26,224.09771728515625,226.0500030517578,229.39999389648438,200.0,200.0,1025826,2022-12-26
2023-01-02,232.52430725097656,234.5500030517578,247.1999969482422,227.85000610351562,227.85000610351562,1111107,2023-01-02
2023-01-09,225.23776245117188,227.1999969482422,237.0,219.10000610351562,236.0,542235,2023-01-09
2023-01-16,231.1859588623047,233.1999969482422,241.0,220.85000610351562,228.10000610351562,587466,2023-01-16
2023-01-23,217.7529754638672,219.64999389648438,247.9499969482422,211.10000610351562,238.0,1454053,2023-01-23
2023-01-30,229.6493377685547,231.64999389648438,235.0,215.14999389648438,219.9499969482422,1073444,2023-01-30
2023-02-06,225.5847625732422,227.5500030517578,239.5,224.0,233.0,760994,2023-02-06
2023-02-13,250.31927490234375,252.5,264.8999938964844,228.89999389648438,228.89999389648438,2628529,2023-02-13
2023-02-20,228.8066864013672,230.8000030517578,268.8500061035156,226.5500030517578,256.0,1653141,2023-02-20
2023-02-27,231.87991333007812,233.89999389648438,238.89999389648438,224.0500030517578,231.5,603831,2023-02-27
2023-03-06,235.15139770507812,237.1999969482422,252.0,231.3000030517578,237.9499969482422,855650,2023-03-06
2023-03-13,228.45970153808594,230.4499969482422,240.8000030517578,224.3000030517578,237.10000610351562,548706,2023-03-13
2023-03-20,230.3433074951172,232.35000610351562,249.4499969482422,225.0,226.8000030517578,832392,2023-03-20
2023-03-27,233.46609497070312,235.5,239.0,228.1999969482422,234.0,607525,2023-03-27
2023-04-03,249.42706298828125,251.60000610351562,254.35000610351562,236.89999389648438,238.64999389648438,656560,2023-04-03
2023-04-10,253.59075927734375,255.8000030517578,264.5,249.0,256.95001220703125,696672,2023-04-10
2023-04-17,289.92425537109375,292.45001220703125,302.3999938964844,253.0500030517578,255.8000030517578,3603518,2023-04-17
2023-04-24,283.0838317871094,285.54998779296875,306.0,280.1000061035156,294.45001220703125,1173542,2023-04-24
2023-05-01,285.3639831542969,287.8500061035156,305.95001220703125,285.0,285.54998779296875,1152304,2023-05-01
2023-05-08,297.30987548828125,299.8999938964844,315.8999938964844,287.8500061035156,287.8500061035156,2760644,2023-05-08
2023-05-15,267.76727294921875,270.1000061035156,301.0,265.5,299.8500061035156,2555163,2023-05-15
2023-05-22,268.56036376953125,270.8999938964844,279.75,263.0,272.0,1079358,2023-05-22
2023-05-29,264.9914245605469,267.29998779296875,275.79998779296875,266.1000061035156,273.1000061035156,552248,2023-05-29
2023-06-05,269.4525451660156,271.79998779296875,278.04998779296875,265.6000061035156,267.95001220703125,802074,2023-06-05
2023-06-12,257.2588195800781,259.5,272.8999938964844,257.0,271.79998779296875,862778,2023-06-12
2023-06-19,254.48301696777344,256.70001220703125,268.20001220703125,255.0,260.75,616015,2023-06-19
2023-06-26,257.6058044433594,259.8500061035156,263.8999938964844,251.0,257.8999938964844,433182,2023-06-26
2023-07-03,265.8341064453125,268.1499938964844,274.0,250.39999389648438,261.04998779296875,962573,2023-07-03
2023-07-10,269.8491516113281,272.20001220703125,276.3999938964844,261.04998779296875,267.0,684564,2023-07-10
2023-07-17,287.79278564453125,290.29998779296875,298.79998779296875,272.20001220703125,272.20001220703125,2077178,2023-07-17
2023-07-24,289.7259826660156,292.25,302.29998779296875,278.04998779296875,300.70001220703125,1029670,2023-07-24
2023-07-31,296.0211181640625,298.6000061035156,301.0,283.5,294.79998779296875,1327481,2023-07-31
2023-08-07,281.7950439453125,284.25,327.5,280.79998779296875,300.0,3278299,2023-08-07
2023-08-14,270.98919677734375,273.3500061035156,288.0,267.1000061035156,284.3500061035156,656236,2023-08-14
2023-08-21,288.9328918457031,291.45001220703125,294.75,272.0,273.0,785096,2023-08-21
2023-08-28,298.1525573730469,300.75,315.95001220703125,292.1000061035156,294.5,1480220,2023-08-28
2023-09-04,300.43267822265625,303.04998779296875,317.0,301.0,302.8999938964844,798607,2023-09-04
2023-09-11,304.19989013671875,306.8500061035156,326.3999938964844,293.0,315.0,1501213,2023-09-11
2023-09-18,304.6459655761719,307.29998779296875,316.95001220703125,296.1000061035156,308.3999938964844,810147,2023-09-18
2023-09-25,336.46435546875,337.70001220703125,343.0,311.95001220703125,312.8999938964844,2920747,2023-09-25
2023-10-02,326.3016662597656,327.5,339.70001220703125,321.0,337.70001220703125,531333,2023-10-02
2023-10-09,322.6152038574219,323.79998779296875,333.25,312.20001220703125,324.8500061035156,622093,2023-10-09
2023-10-16,323.711181640625,324.8999938964844,332.95001220703125,311.79998779296875,324.8500061035156,604704,2023-10-16
2023-10-23,296.112548828125,297.20001220703125,324.29998779296875,282.1000061035156,324.29998779296875,707447,2023-10-23
2023-10-30,299.8488464355469,300.95001220703125,304.8500061035156,291.20001220703125,298.6000061035156,422344,2023-10-30
2023-11-06,295.7139892578125,296.79998779296875,327.0,295.1000061035156,304.0,1165254,2023-11-06
2023-11-13,293.97039794921875,295.04998779296875,302.0,291.5,302.0,467072,2023-11-13
2023-11-20,289.03851318359375,290.1000061035156,305.3999938964844,289.20001220703125,292.04998779296875,578134,2023-11-20
2023-11-27,282.6619567871094,283.70001220703125,292.95001220703125,282.0,290.1000061035156,577700,2023-11-27
2023-12-04,290.98138427734375,292.04998779296875,297.0,280.45001220703125,287.1000061035156,949441,2023-12-04
2023-12-11,283.2099304199219,284.25,295.0,281.95001220703125,293.6000061035156,606630,2023-12-11
2023-12-18,280.8685302734375,281.8999938964844,295.0,277.0,285.1499938964844,752625,2023-12-18
2023-12-25,278.67657470703125,279.70001220703125,284.8999938964844,278.0,281.8999938964844,445082,2023-12-25
2024-01-01,279.8721923828125,280.8999938964844,291.5,277.04998779296875,281.0,1385520,2024-01-01
2024-01-08,279.17474365234375,280.20001220703125,288.3999938964844,277.1000061035156,283.6000061035156,701717,2024-01-08
2024-01-15,272.499267578125,273.5,281.6499938964844,263.75,280.20001220703125,715936,2024-01-15
2024-01-22,255.66110229492188,256.6000061035156,276.0,254.8000030517578,273.5,549103,2024-01-22
2024-01-29,258.2515869140625,259.20001220703125,267.20001220703125,255.0,256.79998779296875,899249,2024-01-29
2024-02-05,277.9293212890625,278.95001220703125,291.8999938964844,255.85000610351562,261.1000061035156,1799321,2024-02-05
2024-02-12,268.0655212402344,269.04998779296875,286.20001220703125,249.0,281.8999938964844,1490035,2024-02-12
2024-02-19,272.5989074707031,273.6000061035156,279.5,267.0,270.79998779296875,593730,2024-02-19
2024-02-26,264.1798095703125,265.1499938964844,274.6000061035156,259.29998779296875,273.0,384293,2024-02-26
2024-03-04,254.91384887695312,255.85000610351562,272.8999938964844,253.5500030517578,264.3500061035156,507673,2024-03-04
2024-03-11,255.71090698242188,256.6499938964844,265.0,236.0500030517578,259.0,1178326,2024-03-11
2024-03-18,246.4947509765625,247.39999389648438,257.8999938964844,245.6999969482422,257.70001220703125,507258,2024-03-18
2024-03-25,231.5496368408203,232.39999389648438,249.14999389648438,230.14999389648438,247.39999389648438,755701,2024-03-25
2024-04-01,257.6537780761719,258.6000061035156,259.95001220703125,235.25,235.25,611925,2024-04-01
2024-04-08,254.46548461914062,255.39999389648438,261.3999938964844,251.60000610351562,261.20001220703125,309617,2024-04-08
2024-04-15,320.2239990234375,321.3999938964844,325.95001220703125,247.64999389648438,254.9499969482422,8882915,2024-04-15
2024-04-22,312.7514343261719,313.8999938964844,332.8999938964844,308.0,327.0,1825921,2024-04-22
2024-04-29,358.5831298828125,359.8999938964844,366.0,309.0,315.1000061035156,2970658,2024-04-29
2024-05-06,355.7435302734375,357.04998779296875,382.29998779296875,330.0,360.0,2080894,2024-05-06
2024-05-13,358.28424072265625,359.6000061035156,382.04998779296875,351.0,362.95001220703125,1544400,2024-05-13
2024-05-20,356.0424499511719,357.3500061035156,380.5,352.0,364.6000061035156,750778,2024-05-20
2024-05-27,339.65264892578125,340.8999938964844,370.0,334.04998779296875,359.8999938964844,1218618,2024-05-27
2024-06-03,354.49810791015625,355.79998779296875,374.0,294.8999938964844,374.0,1926836,2024-06-03
2024-06-10,434.85302734375,436.45001220703125,465.0,360.0,362.0,8420544,2024-06-10
2024-06-17,426.1350402832031,427.70001220703125,451.6000061035156,421.6499938964844,436.45001220703125,741740,2024-06-17
2024-06-24,455.527099609375,457.20001220703125,497.45001220703125,430.0,430.8999938964844,4403859,2024-06-24
2024-07-01,452.6376953125,454.29998779296875,481.95001220703125,448.5,459.0,1186910,2024-07-01
2024-07-08,454.9790954589844,456.6499938964844,494.0,442.0,456.8999938964844,2461810,2024-07-08
2024-07-15,427.23101806640625,428.79998779296875,468.20001220703125,425.1499938964844,459.25,718528,2024-07-15
2024-07-22,429.871337890625,431.45001220703125,453.70001220703125,405.04998779296875,423.29998779296875,1136282,2024-07-22
2024-07-29,433.15924072265625,434.75,465.70001220703125,430.0,436.29998779296875,1213142,2024-07-29
2024-08-05,404.2155456542969,405.70001220703125,425.8999938964844,397.0,400.0,948136,2024-08-05
2024-08-12,378.1612243652344,379.54998779296875,400.8999938964844,375.54998779296875,393.04998779296875,729145,2024-08-12
2024-08-19,420.107177734375,421.6499938964844,434.8999938964844,380.95001220703125,380.95001220703125,1491430,2024-08-19
