Date,Adj Close_ZOTA.NS,Close_ZOTA.NS,High_ZOTA.NS,Low_ZOTA.NS,Open_ZOTA.NS,Volume_ZOTA.NS,Date
2020-07-13,138.76669311523438,141.35000610351562,144.4499969482422,141.0,143.75,9164,2020-07-13
2020-07-20,138.66854858398438,141.25,152.0,140.10000610351562,141.75,68459,2020-07-20
2020-07-27,139.0121307373047,141.60000610351562,147.0,138.0500030517578,140.9499969482422,33988,2020-07-27
2020-08-03,138.96304321289062,141.5500030517578,148.0,141.0500030517578,141.64999389648438,54653,2020-08-03
2020-08-10,138.03042602539062,140.60000610351562,145.89999389648438,140.1999969482422,142.9499969482422,30523,2020-08-10
2020-08-17,138.2267608642578,140.8000030517578,144.8000030517578,140.0,142.0,34747,2020-08-17
2020-08-24,153.6398162841797,156.5,168.0,141.35000610351562,142.4499969482422,314641,2020-08-24
2020-08-31,147.16041564941406,149.89999389648438,158.5,144.0,155.0,68815,2020-08-31
2020-09-07,145.34425354003906,148.0500030517578,153.1999969482422,144.0500030517578,153.1999969482422,71498,2020-09-07
2020-09-14,146.52230834960938,149.25,154.0500030517578,146.5500030517578,153.10000610351562,28675,2020-09-14
2020-09-21,144.1932373046875,145.89999389648438,152.14999389648438,142.39999389648438,152.14999389648438,23815,2020-09-21
2020-09-28,143.6002655029297,145.3000030517578,151.89999389648438,144.9499969482422,151.89999389648438,10297,2020-09-28
2020-10-05,144.39089965820312,146.10000610351562,148.89999389648438,143.5,148.0,22197,2020-10-05
2020-10-12,142.414306640625,144.10000610351562,147.6999969482422,142.10000610351562,147.6999969482422,15275,2020-10-12
2020-10-19,138.46107482910156,140.10000610351562,146.0500030517578,138.6999969482422,144.14999389648438,67851,2020-10-19
2020-10-26,137.07745361328125,138.6999969482422,144.0,136.0,143.14999389648438,93227,2020-10-26
2020-11-02,137.07745361328125,138.6999969482422,139.60000610351562,136.0,138.0,63942,2020-11-02
2020-11-09,138.55990600585938,140.1999969482422,143.4499969482422,135.89999389648438,142.6999969482422,96699,2020-11-09
2020-11-16,137.7198486328125,139.35000610351562,145.1999969482422,137.0500030517578,137.85000610351562,51805,2020-11-16
2020-11-23,145.0332794189453,146.75,158.89999389648438,137.0,140.0,133015,2020-11-23
2020-11-30,140.1411895751953,141.8000030517578,148.0,141.0,146.75,59431,2020-11-30
2020-12-07,147.80055236816406,149.5500030517578,154.0,139.8000030517578,144.0,199033,2020-12-07
2020-12-14,142.36488342285156,144.0500030517578,155.10000610351562,136.64999389648438,155.10000610351562,123432,2020-12-14
2020-12-21,144.93446350097656,146.64999389648438,147.0,138.0500030517578,144.10000610351562,73717,2020-12-21
2020-12-28,175.96713256835938,178.0500030517578,184.89999389648438,140.10000610351562,140.10000610351562,611903,2020-12-28
2021-01-04,164.30517578125,166.25,188.0,163.39999389648438,179.10000610351562,329473,2021-01-04
2021-01-11,162.13092041015625,164.0500030517578,175.0,152.0,152.0,95332,2021-01-11
2021-01-18,160.64846801757812,162.5500030517578,173.89999389648438,160.1999969482422,164.10000610351562,101278,2021-01-18
2021-01-25,152.14906311035156,153.9499969482422,163.0,152.5,162.85000610351562,47377,2021-01-25
2021-02-01,149.4312286376953,151.1999969482422,159.14999389648438,150.5,155.60000610351562,32712,2021-02-01
2021-02-08,149.13475036621094,150.89999389648438,161.9499969482422,150.0,151.9499969482422,53473,2021-02-08
2021-02-15,152.39614868164062,154.1999969482422,162.6999969482422,149.5,150.10000610351562,98444,2021-02-15
2021-02-22,151.95138549804688,153.75,159.5,151.0,156.9499969482422,57060,2021-02-22
2021-03-01,149.2335662841797,151.0,156.9499969482422,149.0,156.9499969482422,57247,2021-03-01
2021-03-08,148.14642333984375,149.89999389648438,154.8000030517578,146.4499969482422,150.9499969482422,51888,2021-03-08
2021-03-15,146.02159118652344,147.75,151.0,142.5,149.89999389648438,59471,2021-03-15
2021-03-22,142.8096160888672,144.5,152.89999389648438,142.1999969482422,147.89999389648438,121410,2021-03-22
2021-03-29,143.155517578125,144.85000610351562,147.35000610351562,137.25,144.5,94583,2021-03-29
2021-04-05,145.92274475097656,147.64999389648438,159.89999389648438,139.0,144.0500030517578,186719,2021-04-05
2021-04-12,154.61981201171875,156.4499969482422,162.0,143.0500030517578,145.0,1302375,2021-04-12
2021-04-19,152.9891357421875,154.8000030517578,174.4499969482422,148.0,156.10000610351562,388336,2021-04-19
2021-04-26,150.66659545898438,152.4499969482422,159.85000610351562,152.0,159.85000610351562,55074,2021-04-26
2021-05-03,151.55609130859375,153.35000610351562,157.75,149.5500030517578,152.5,46503,2021-05-03
2021-05-10,149.33241271972656,151.10000610351562,158.89999389648438,149.4499969482422,158.89999389648438,38795,2021-05-10
2021-05-17,147.65228271484375,149.39999389648438,154.0,148.5,150.5500030517578,39635,2021-05-17
2021-05-24,146.81222534179688,148.5500030517578,152.85000610351562,146.10000610351562,150.0,60826,2021-05-24
2021-05-31,171.56919860839844,173.60000610351562,195.3000030517578,148.0,150.5,770275,2021-05-31
2021-06-07,169.39492797851562,171.39999389648438,179.85000610351562,164.60000610351562,173.0,196074,2021-06-07
2021-06-14,165.392333984375,167.35000610351562,184.4499969482422,160.0500030517578,172.0,133549,2021-06-14
