Date,Adj Close_HERITGFOOD.NS,Close_HERITGFOOD.NS,High_HERITGFOOD.NS,Low_HERITGFOOD.NS,Open_HERITGFOOD.NS,Volume_HERITGFOOD.NS,Date
2021-12-06,208.12655639648438,213.01255798339844,219.95999145507812,209.6909637451172,217.55120849609375,970021,2021-12-06
2021-12-13,203.17173767089844,207.94142150878906,219.55430603027344,205.38050842285156,214.22962951660156,844906,2021-12-13
2021-12-20,198.91061401367188,203.58026123046875,212.48008728027344,198.585205078125,207.91607666015625,698837,2021-12-20
2021-12-27,202.10646057128906,206.85113525390625,216.5369873046875,201.37432861328125,202.9463653564453,889575,2021-12-27
2022-01-03,198.8858184814453,203.55490112304688,214.50852966308594,202.9210205078125,207.02862548828125,916822,2022-01-03
2022-01-10,215.83126831054688,220.8981475830078,229.18943786621094,201.07005310058594,206.80043029785156,3673789,2022-01-10
2022-01-17,197.44894409179688,202.0842742919922,228.2005615234375,198.55984497070312,221.93772888183594,2289968,2022-01-17
2022-01-24,184.5664520263672,188.89935302734375,202.33782958984375,185.62847900390625,199.295166015625,1111195,2022-01-24
2022-01-31,183.3525390625,187.6569366455078,197.24136352539062,186.6173553466797,197.24136352539062,690685,2022-01-31
2022-02-07,161.7248077392578,165.521484375,189.63467407226562,163.29017639160156,185.65383911132812,1703886,2022-02-07
2022-02-14,160.16403198242188,163.924072265625,168.8430633544922,152.15907287597656,165.31863403320312,1419629,2022-02-14
2022-02-21,154.63943481445312,158.269775390625,165.31863403320312,145.7694549560547,165.31863403320312,1751211,2022-02-21
2022-02-28,153.84666442871094,157.45838928222656,163.84800720214844,154.1114501953125,158.72616577148438,727436,2022-02-28
2022-03-07,164.59860229492188,168.46273803710938,172.92532348632812,151.2462615966797,155.1763916015625,1118412,2022-03-07
2022-03-14,164.1774444580078,168.0316925048828,170.38975524902344,161.66741943359375,170.38975524902344,844590,2022-03-14
2022-03-21,163.13693237304688,166.9667510986328,175.96798706054688,165.82574462890625,169.78121948242188,1036933,2022-03-21
2022-03-28,164.6233673095703,168.4880828857422,170.2629852294922,154.77069091796875,167.44850158691406,1153785,2022-03-28
2022-04-04,168.5128936767578,172.4689178466797,178.35142517089844,165.80038452148438,168.89378356933594,1331493,2022-04-04
2022-04-11,166.5061798095703,170.4151153564453,175.76515197753906,164.989013671875,175.05519104003906,462926,2022-04-11
2022-04-18,170.8664093017578,174.87770080566406,179.5177764892578,163.08734130859375,167.4992218017578,2597871,2022-04-18
2022-04-25,155.3578643798828,159.0050811767578,174.19309997558594,158.24441528320312,174.19309997558594,1089554,2022-04-25
2022-05-02,146.24102783203125,149.67420959472656,162.2506103515625,148.58392333984375,156.19061279296875,762168,2022-05-02
2022-05-09,143.76364135742188,147.13865661621094,153.90859985351562,143.0310516357422,147.67112731933594,793228,2022-05-09
2022-05-16,144.4573211669922,147.84861755371094,154.61856079101562,144.90736389160156,149.59814453125,538561,2022-05-16
2022-05-23,142.92132568359375,146.2765655517578,153.95932006835938,142.19430541992188,149.59814453125,945438,2022-05-23
2022-05-30,144.87847900390625,148.2796630859375,152.1337127685547,142.04217529296875,146.04837036132812,1030222,2022-05-30
2022-06-06,138.06561279296875,141.30686950683594,150.05455017089844,139.9630126953125,148.2796630859375,514500,2022-06-06
2022-06-13,127.80916595458984,130.80963134765625,143.46209716796875,129.84613037109375,139.45590209960938,409301,2022-06-13
2022-06-20,135.63775634765625,138.82200622558594,140.4447784423828,126.77809143066406,131.84921264648438,364543,2022-06-20
2022-06-27,130.93069458007812,134.0044403076172,140.47012329101562,133.09164428710938,140.4447784423828,196622,2022-06-27
2022-07-04,141.70738220214844,145.0341339111328,145.89622497558594,132.8634490966797,132.8634490966797,504980,2022-07-04
2022-07-11,137.00033569335938,140.21656799316406,147.9246826171875,137.68101501464844,145.0341339111328,502944,2022-07-11
2022-07-18,142.57447814941406,145.9215850830078,150.9673614501953,139.45590209960938,143.51280212402344,1250987,2022-07-18
2022-07-25,140.8027801513672,142.87890625,149.49673461914062,138.44168090820312,145.9215850830078,1476319,2022-07-25
2022-08-01,146.02511596679688,148.17823791503906,150.1052703857422,136.9203338623047,141.48434448242188,2064455,2022-08-01
2022-08-08,150.89759826660156,153.12257385253906,160.32357788085938,149.59814453125,150.35882568359375,1254807,2022-08-08
2022-08-15,157.49423217773438,159.81646728515625,162.1238250732422,147.46827697753906,153.12257385253906,2076747,2022-08-15
2022-08-22,168.7384490966797,171.2264862060547,174.70021057128906,155.12567138671875,159.86717224121094,2564600,2022-08-22
2022-08-29,163.6410675048828,166.05393981933594,168.00633239746094,160.2475128173828,160.2475128173828,939826,2022-08-29
2022-09-05,161.96693420410156,164.35511779785156,169.3755340576172,161.51528930664062,166.8399658203125,1205610,2022-09-05
2022-09-12,160.24281311035156,162.60557556152344,172.418212890625,159.63897705078125,166.33285522460938,1641553,2022-09-12
2022-09-19,152.42184448242188,154.66928100585938,168.86842346191406,153.65504455566406,164.8115234375,1476831,2022-09-19
2022-09-26,167.464111328125,169.933349609375,188.6457977294922,146.60618591308594,153.65504455566406,7363548,2022-09-26
2022-10-03,164.94041442871094,167.3724365234375,176.9822235107422,166.40892028808594,172.418212890625,1526729,2022-10-03
2022-10-10,159.3682861328125,161.7181396484375,166.05393981933594,157.71194458007812,166.05393981933594,396179,2022-10-10
2022-10-17,158.06893920898438,160.39964294433594,172.36749267578125,152.56475830078125,163.3408966064453,1191268,2022-10-17
2022-10-24,152.94654846191406,155.2017364501953,167.04281616210938,154.01002502441406,161.0588836669922,415797,2022-10-24
2022-10-31,162.49166870117188,164.88758850097656,167.29637145996094,152.41262817382812,156.19061279296875,757518,2022-10-31
2022-11-07,158.36878967285156,160.70391845703125,167.27101135253906,159.79110717773438,166.8399658203125,614143,2022-11-07
2022-11-14,162.91644287109375,165.31863403320312,167.34707641601562,160.2728729248047,161.64207458496094,526792,2022-11-14
2022-11-21,158.99346923828125,161.33779907226562,166.23143005371094,160.8306884765625,166.15536499023438,950200,2022-11-21
2022-11-28,172.636474609375,175.18197631835938,176.47511291503906,161.31243896484375,161.79420471191406,1252802,2022-11-28
2022-12-05,168.46360778808594,170.9475860595703,176.4243927001953,167.4992218017578,176.0694122314453,662416,2022-12-05
2022-12-12,174.1606903076172,176.72866821289062,185.1974334716797,168.86842346191406,171.4039764404297,1521930,2022-12-12
2022-12-19,168.9883270263672,171.48004150390625,192.70269775390625,169.47695922851562,177.4893341064453,2778628,2022-12-19
2022-12-26,179.25807189941406,181.90121459960938,183.75216674804688,168.86842346191406,168.86842346191406,761579,2022-12-26
2023-01-02,183.68080139160156,186.38916015625,191.25743103027344,180.4559326171875,181.95191955566406,1068680,2023-01-02
2023-01-09,180.18260192871094,182.83937072753906,191.40956115722656,180.91233825683594,189.6853790283203,841844,2023-01-09
2023-01-16,184.1349639892578,186.85000610351562,194.0,161.35000610351562,185.60313415527344,4413992,2023-01-16
2023-01-23,166.44577026367188,168.89999389648438,189.0,167.0,189.0,1527056,2023-01-23
2023-01-30,145.15963745117188,147.3000030517578,170.4499969482422,145.0,168.10000610351562,1219343,2023-01-30
2023-02-06,152.45211791992188,154.6999969482422,159.39999389648438,139.5,149.60000610351562,1069690,2023-02-06
2023-02-13,151.61447143554688,153.85000610351562,157.6999969482422,150.60000610351562,154.9499969482422,351414,2023-02-13
2023-02-20,145.65237426757812,147.8000030517578,155.4499969482422,145.8000030517578,155.4499969482422,351542,2023-02-20
2023-02-27,142.10467529296875,144.1999969482422,147.8000030517578,141.0,141.0,845329,2023-02-27
2023-03-06,140.922119140625,143.0,146.39999389648438,140.1999969482422,145.0,521148,2023-03-06
2023-03-13,135.25567626953125,137.25,144.0,135.14999389648438,142.0,449749,2023-03-13
2023-03-20,145.80018615722656,147.9499969482422,148.75,136.10000610351562,144.0,1080107,2023-03-20
2023-03-27,142.05540466308594,144.14999389648438,151.4499969482422,142.25,148.0,788333,2023-03-27
2023-04-03,171.57022094726562,174.10000610351562,176.1999969482422,144.4499969482422,145.39999389648438,1641206,2023-04-03
2023-04-10,163.341552734375,165.75,172.9499969482422,162.6999969482422,172.9499969482422,664879,2023-04-10
2023-04-17,167.92396545410156,170.39999389648438,176.39999389648438,165.0500030517578,165.75,1254837,2023-04-17
2023-04-24,166.692138671875,169.14999389648438,172.25,165.10000610351562,171.75,483148,2023-04-24
2023-05-01,167.4805145263672,169.9499969482422,174.89999389648438,167.89999389648438,169.14999389648438,558616,2023-05-01
2023-05-08,185.56387329101562,188.3000030517578,192.39999389648438,171.25,172.8000030517578,1939419,2023-05-08
2023-05-15,194.72874450683594,197.60000610351562,199.64999389648438,187.0500030517578,189.0,1077923,2023-05-15
2023-05-22,197.48805236816406,200.39999389648438,215.64999389648438,189.0,190.0,4114034,2023-05-22
2023-05-29,205.17471313476562,208.1999969482422,218.89999389648438,203.10000610351562,203.4499969482422,3057651,2023-05-29
2023-06-05,207.884765625,210.9499969482422,214.6999969482422,202.64999389648438,208.5500030517578,1266325,2023-06-05
2023-06-12,209.5107879638672,212.60000610351562,222.64999389648438,208.75,210.9499969482422,1457780,2023-06-12
2023-06-19,209.3629608154297,212.4499969482422,218.89999389648438,209.4499969482422,215.9499969482422,856106,2023-06-19
2023-06-26,207.19493103027344,210.25,215.8000030517578,208.1999969482422,212.4499969482422,494732,2023-06-26
2023-07-03,213.79757690429688,216.9499969482422,221.3000030517578,209.60000610351562,212.8000030517578,1219655,2023-07-03
2023-07-10,218.72491455078125,221.9499969482422,227.9499969482422,212.60000610351562,216.9499969482422,1053342,2023-07-10
2023-07-17,264.54925537109375,268.45001220703125,270.0,220.10000610351562,223.4499969482422,3540493,2023-07-17
2023-07-24,260.7552185058594,264.6000061035156,287.3500061035156,261.1000061035156,268.79998779296875,2713606,2023-07-24
2023-07-31,249.1266632080078,252.8000030517578,280.0,238.64999389648438,264.95001220703125,2420061,2023-07-31
2023-08-07,245.4804229736328,249.10000610351562,255.0,242.35000610351562,254.4499969482422,871925,2023-08-07
2023-08-14,249.1266632080078,252.8000030517578,259.0,242.89999389648438,248.8000030517578,703890,2023-08-14
2023-08-21,248.41702270507812,249.5500030517578,260.8999938964844,237.3000030517578,253.64999389648438,1352850,2023-08-21
2023-08-28,254.8874969482422,256.04998779296875,259.0,247.75,250.14999389648438,1451397,2023-08-28
2023-09-04,270.71533203125,271.95001220703125,279.3999938964844,250.5,260.0,3880831,2023-09-04
2023-09-11,236.8199005126953,237.89999389648438,261.5,218.0,260.0,6775311,2023-09-11
2023-09-18,233.4353485107422,234.5,244.89999389648438,230.5,237.4499969482422,1249715,2023-09-18
2023-09-25,230.10055541992188,231.14999389648438,238.5,227.0,235.8000030517578,1175729,2023-09-25
2023-10-02,229.8019256591797,230.85000610351562,233.89999389648438,226.10000610351562,231.14999389648438,759439,2023-10-02
2023-10-09,238.06423950195312,239.14999389648438,240.89999389648438,226.5,230.35000610351562,2211877,2023-10-09
2023-10-16,235.9239959716797,237.0,262.0,235.35000610351562,240.4499969482422,5087101,2023-10-16
2023-10-23,221.6889190673828,222.6999969482422,239.5500030517578,209.3000030517578,237.39999389648438,2792112,2023-10-23
2023-10-30,225.86984252929688,226.89999389648438,231.0,215.5,223.14999389648438,2320549,2023-10-30
2023-11-06,227.91053771972656,228.9499969482422,231.10000610351562,223.35000610351562,228.89999389648438,874600,2023-11-06
2023-11-13,237.76560974121094,238.85000610351562,241.6999969482422,225.0,231.3000030517578,1651815,2023-11-13
2023-11-20,239.10946655273438,240.1999969482422,249.89999389648438,234.1999969482422,240.0,1614529,2023-11-20
2023-11-27,237.56649780273438,238.64999389648438,246.0,234.9499969482422,240.1999969482422,1230336,2023-11-27
2023-12-04,233.3855743408203,234.4499969482422,244.5,232.25,240.10000610351562,1144435,2023-12-04
2023-12-11,235.42626953125,236.5,243.64999389648438,233.89999389648438,235.39999389648438,1442552,2023-12-11
2023-12-18,269.2221374511719,270.45001220703125,277.5,236.60000610351562,237.25,9361276,2023-12-18
2023-12-25,301.9229736328125,303.29998779296875,314.8999938964844,270.45001220703125,270.45001220703125,11997466,2023-12-25
2024-01-01,296.7466125488281,298.1000061035156,312.5,291.0,304.5,2458668,2024-01-01
2024-01-08,306.5518798828125,307.95001220703125,314.0,287.79998779296875,299.5,3636038,2024-01-08
2024-01-15,320.6874084472656,322.1499938964844,328.29998779296875,305.0,309.8999938964844,5716980,2024-01-15
2024-01-22,325.91357421875,327.3999938964844,336.95001220703125,310.1000061035156,322.1499938964844,2458495,2024-01-22
2024-01-29,314.0178527832031,315.45001220703125,342.70001220703125,312.3500061035156,331.1000061035156,4109105,2024-01-29
2024-02-05,324.9181213378906,326.3999938964844,336.0,311.79998779296875,316.0,3010975,2024-02-05
2024-02-12,315.8096618652344,317.25,335.0,310.0,328.70001220703125,1884497,2024-02-12
2024-02-19,317.501953125,318.95001220703125,329.0,314.54998779296875,319.5,1582912,2024-02-19
2024-02-26,342.68707275390625,344.25,355.0,317.5,320.75,7791780,2024-02-26
2024-03-04,334.5242919921875,336.04998779296875,349.95001220703125,328.6499938964844,349.95001220703125,1854192,2024-03-04
2024-03-11,326.7099609375,328.20001220703125,351.20001220703125,305.95001220703125,348.8999938964844,2029312,2024-03-11
2024-03-18,336.4156799316406,337.95001220703125,339.45001220703125,316.3999938964844,328.29998779296875,1028567,2024-03-18
2024-03-25,336.3161315917969,337.8500061035156,345.0,332.0,337.95001220703125,918413,2024-03-25
2024-04-01,322.0810546875,323.54998779296875,350.54998779296875,320.0,339.20001220703125,3408591,2024-04-01
2024-04-08,305.4568786621094,306.8500061035156,326.6000061035156,305.3999938964844,325.0,2021236,2024-04-08
2024-04-15,312.9228210449219,314.3500061035156,315.95001220703125,296.3999938964844,306.79998779296875,1893654,2024-04-15
2024-04-22,331.9361267089844,333.45001220703125,339.54998779296875,314.6000061035156,314.75,1792877,2024-04-22
2024-04-29,331.0899658203125,332.6000061035156,336.45001220703125,330.0,334.70001220703125,829890,2024-04-29
2024-05-06,344.42913818359375,346.0,364.45001220703125,325.3999938964844,334.75,5638813,2024-05-06
2024-05-13,362.84515380859375,364.5,369.0,345.0,348.95001220703125,2936453,2024-05-13
2024-05-20,358.21624755859375,359.8500061035156,366.0,351.8999938964844,359.20001220703125,1404338,2024-05-20
2024-05-27,401.07080078125,402.8999938964844,423.20001220703125,357.04998779296875,367.0,17475506,2024-05-27
2024-06-03,658.2478637695312,661.25,661.25,405.0,435.0,46539258,2024-06-03
2024-06-10,574.5794677734375,577.2000122070312,727.3499755859375,575.0,714.0,40535469,2024-06-10
2024-06-17,562.6339721679688,565.2000122070312,606.0499877929688,556.0,577.2000122070312,10895782,2024-06-17
2024-06-24,558.6023559570312,561.1500244140625,595.7000122070312,552.25,564.75,5636914,2024-06-24
2024-07-01,537.3989868164062,539.8499755859375,576.0999755859375,538.0,561.1500244140625,3335339,2024-07-01
2024-07-08,536.9013061523438,539.3499755859375,570.0,518.7000122070312,537.0,4799668,2024-07-08
2024-07-15,528.5892333984375,531.0,565.7000122070312,528.0,543.0,1769496,2024-07-15
2024-07-22,563.3805541992188,565.9500122070312,604.3499755859375,520.7999877929688,528.0,10544582,2024-07-22
2024-07-29,566.366943359375,568.9500122070312,593.4000244140625,562.0,571.9500122070312,3682488,2024-07-29
2024-08-05,546.9554443359375,549.4500122070312,568.5,526.4000244140625,550.0,3025303,2024-08-05
2024-08-12,544.1183471679688,546.5999755859375,555.0,536.0999755859375,536.4500122070312,1372180,2024-08-12
2024-08-19,547.8499755859375,547.8499755859375,563.0,542.0,553.0,1560054,2024-08-19
2024-08-26,563.9500122070312,563.9500122070312,574.7000122070312,538.5999755859375,550.0,2547264,2024-08-26
2024-09-02,559.5499877929688,559.5499877929688,590.0,549.2999877929688,563.9500122070312,1811797,2024-09-02
2024-09-09,566.7000122070312,566.7000122070312,590.0,544.0499877929688,555.0,2076999,2024-09-09
2024-09-16,598.6500244140625,598.6500244140625,598.6500244140625,562.0,566.0999755859375,3473717,2024-09-16
2024-09-23,633.0499877929688,633.0499877929688,638.0,600.0,610.6500244140625,3748231,2024-09-23
2024-09-30,605.75,605.75,654.0,582.5,640.25,2831647,2024-09-30
2024-10-07,616.2000122070312,616.2000122070312,642.0,576.0,607.0,2602791,2024-10-07
2024-10-14,629.5,629.5,650.4500122070312,604.0499877929688,616.0,2031638,2024-10-14
2024-10-21,536.8499755859375,536.8499755859375,659.0,536.8499755859375,630.0499877929688,4908447,2024-10-21
2024-10-28,529.75,529.75,534.5499877929688,501.79998779296875,531.1500244140625,2308045,2024-10-28
2024-11-04,500.70001220703125,500.70001220703125,534.0,497.0,534.0,2215098,2024-11-04
2024-11-11,477.75,477.75,504.95001220703125,474.3500061035156,504.95001220703125,1220567,2024-11-11
2024-11-18,463.04998779296875,463.04998779296875,487.0,452.5,480.0,1395835,2024-11-18
2024-11-25,489.0,489.0,501.25,466.0,473.8999938964844,1500437,2024-11-25
2024-12-02,510.6499938964844,510.6499938964844,516.5499877929688,481.54998779296875,487.8500061035156,3946673,2024-12-02
2024-12-09,490.25,490.25,524.4000244140625,483.1000061035156,515.0,2238306,2024-12-09
2024-12-16,474.6000061035156,474.6000061035156,508.3999938964844,470.04998779296875,490.29998779296875,1426230,2024-12-16
2024-12-23,475.75,475.75,482.0,464.04998779296875,482.0,617207,2024-12-23
2024-12-30,481.6000061035156,481.6000061035156,494.29998779296875,473.04998779296875,488.8500061035156,1163336,2024-12-30
2025-01-06,449.8500061035156,449.8500061035156,484.25,443.04998779296875,480.04998779296875,1424617,2025-01-06
2025-01-13,433.5,433.5,449.3999938964844,418.0,448.6000061035156,1327411,2025-01-13
2025-01-20,431.6000061035156,431.6000061035156,463.5,421.8500061035156,436.0,3382711,2025-01-20
2025-01-27,430.6000061035156,430.6000061035156,448.45001220703125,388.8500061035156,429.79998779296875,2054810,2025-01-27
2025-02-03,421.3999938964844,421.3999938964844,442.95001220703125,419.0,426.0,1098502,2025-02-03
2025-02-10,386.95001220703125,386.95001220703125,421.0,380.04998779296875,419.0,1402258,2025-02-10
2025-02-17,397.95001220703125,397.95001220703125,416.6499938964844,380.0,380.29998779296875,1388881,2025-02-17
2025-02-24,361.5,361.5,397.95001220703125,359.70001220703125,397.95001220703125,889965,2025-02-24
2025-03-03,394.20001220703125,394.20001220703125,398.8999938964844,355.6499938964844,365.6499938964844,1782125,2025-03-03
2025-03-10,373.29998779296875,373.29998779296875,397.0,367.29998779296875,394.0,1385456,2025-03-10
2025-03-17,405.70001220703125,405.70001220703125,411.3999938964844,368.0,376.0,2164634,2025-03-17
2025-03-24,385.04998779296875,385.04998779296875,413.75,382.04998779296875,409.45001220703125,2177084,2025-03-24
2025-03-31,397.0,397.0,416.29998779296875,385.04998779296875,385.04998779296875,1692603,2025-03-31
2025-04-07,403.1499938964844,403.1499938964844,407.0,352.1000061035156,352.1000061035156,1066739,2025-04-07
2025-04-14,422.20001220703125,422.20001220703125,424.04998779296875,395.45001220703125,406.8999938964844,961051,2025-04-14
