Date,Adj Close_LT.NS,Close_LT.NS,High_LT.NS,Low_LT.NS,Open_LT.NS,Volume_LT.NS,Date
2020-07-13,880.5982055664062,925.5499877929688,929.9500122070312,898.4500122070312,918.0499877929688,8404738,2020-07-13
2020-07-20,860.4755249023438,904.4000244140625,942.2999877929688,898.0499877929688,929.0,27904285,2020-07-20
2020-07-27,869.0859375,913.4500122070312,940.8499755859375,896.2999877929688,908.0,20962978,2020-07-27
2020-08-03,871.1791381835938,915.6500244140625,934.5,903.5499877929688,913.0,15100368,2020-08-03
2020-08-10,943.2320556640625,982.7999877929688,1017.0,925.0,925.0,43221593,2020-08-10
2020-08-17,954.1251220703125,994.1500244140625,1024.949951171875,981.0,1002.0,21608787,2020-08-17
2020-08-24,942.3202514648438,981.8499755859375,1004.7000122070312,965.0,996.0,21710878,2020-08-24
2020-08-31,904.5545654296875,942.5,995.4000244140625,940.0,988.0999755859375,22107009,2020-08-31
2020-09-07,880.4651489257812,917.4000244140625,950.75,901.0,947.1500244140625,18446879,2020-09-07
2020-09-14,864.4374389648438,900.7000122070312,924.0,897.0,922.4000244140625,25100179,2020-09-14
2020-09-21,853.4484252929688,889.25,903.7999877929688,843.0,901.0,29967468,2020-09-21
2020-09-28,866.4529418945312,902.7999877929688,917.5,884.0999755859375,898.0,13304930,2020-09-28
2020-10-05,871.8754272460938,908.4500122070312,914.9500122070312,876.0499877929688,907.9500122070312,24945540,2020-10-05
2020-10-12,858.1032104492188,894.0999755859375,925.75,885.4000244140625,916.9500122070312,23325683,2020-10-12
2020-10-19,903.3548583984375,941.25,948.5,884.0,899.0,36633297,2020-10-19
2020-10-26,892.077880859375,929.5,994.6500244140625,924.2000122070312,949.8499755859375,40633021,2020-10-26
2020-11-02,922.06982421875,960.75,967.5,920.6500244140625,930.0,17409061,2020-11-02
2020-11-09,1016.55615234375,1059.199951171875,1075.8499755859375,962.4000244140625,971.0,38124610,2020-11-09
2020-11-16,1086.7132568359375,1132.300048828125,1177.0,1051.5,1051.5,38898156,2020-11-16
2020-11-23,1077.211669921875,1122.4000244140625,1147.8499755859375,1092.0,1138.800048828125,40631152,2020-11-23
2020-11-30,1103.2205810546875,1149.5,1162.0,1104.0999755859375,1122.4000244140625,18617098,2020-11-30
2020-12-07,1146.2169189453125,1194.300048828125,1216.800048828125,1144.0,1154.800048828125,26382448,2020-12-07
2020-12-14,1229.954345703125,1281.550048828125,1301.0,1198.0999755859375,1198.0999755859375,38066368,2020-12-14
2020-12-21,1211.38330078125,1262.199951171875,1338.5,1154.0,1276.25,36486986,2020-12-21
