Date,Adj Close_GUJAPOLLO.NS,Close_GUJAPOLLO.NS,High_GUJAPOLLO.NS,Low_GUJAPOLLO.NS,Open_GUJAPOLLO.NS,Volume_GUJAPOLLO.NS,Date
2020-12-07,192.5272216796875,199.0,219.8000030517578,192.0500030517578,197.5500030517578,64359,2020-12-07
2020-12-14,199.10601806640625,205.8000030517578,215.0,196.25,199.5,42203,2020-12-14
2020-12-21,194.65565490722656,201.1999969482422,209.8000030517578,191.25,209.0,31993,2020-12-21
2020-12-28,194.89752197265625,201.4499969482422,214.8000030517578,197.10000610351562,205.0,56735,2020-12-28
2021-01-04,194.84913635253906,201.39999389648438,205.0,198.39999389648438,202.8000030517578,19476,2021-01-04
2021-01-11,197.4129638671875,204.0500030517578,219.6999969482422,198.0500030517578,200.35000610351562,65277,2021-01-11
2021-01-18,218.50387573242188,225.85000610351562,265.54998779296875,204.0500030517578,205.64999389648438,463594,2021-01-18
2021-01-25,214.48886108398438,221.6999969482422,237.0,212.60000610351562,228.39999389648438,43435,2021-01-25
2021-02-01,216.18191528320312,223.4499969482422,233.0,217.9499969482422,223.1999969482422,41009,2021-02-01
2021-02-08,230.30703735351562,238.0500030517578,247.5,218.60000610351562,220.0,94630,2021-02-08
2021-02-15,207.81329345703125,214.8000030517578,236.0,210.4499969482422,236.0,91720,2021-02-15
2021-02-22,207.03932189941406,214.0,227.3000030517578,202.10000610351562,217.6999969482422,68770,2021-02-22
2021-03-01,206.4588165283203,213.39999389648438,222.0,212.0,218.1999969482422,46830,2021-03-01
2021-03-08,206.84584045410156,213.8000030517578,218.35000610351562,211.75,214.25,9325,2021-03-08
2021-03-15,201.57308959960938,208.35000610351562,216.0500030517578,205.10000610351562,215.9499969482422,13969,2021-03-15
2021-03-22,196.05850219726562,202.64999389648438,212.60000610351562,196.35000610351562,212.60000610351562,18245,2021-03-22
2021-03-29,201.81495666503906,208.60000610351562,215.9499969482422,200.85000610351562,202.64999389648438,22100,2021-03-29
2021-04-05,205.1527557373047,212.0500030517578,220.9499969482422,206.64999389648438,212.8000030517578,23402,2021-04-05
2021-04-12,201.57308959960938,208.35000610351562,212.8000030517578,203.5500030517578,208.6999969482422,10323,2021-04-12
2021-04-19,202.97592163085938,209.8000030517578,213.0,202.10000610351562,203.14999389648438,7991,2021-04-19
2021-04-26,202.63729858398438,209.4499969482422,219.0,205.10000610351562,211.14999389648438,11201,2021-04-26
2021-05-03,206.94256591796875,213.89999389648438,223.9499969482422,209.39999389648438,212.6999969482422,16237,2021-05-03
2021-05-10,197.8483123779297,204.5,216.0,202.14999389648438,216.0,16754,2021-05-10
2021-05-17,219.47134399414062,226.85000610351562,252.0,206.0,207.0500030517578,361278,2021-05-17
2021-05-24,218.2620086669922,225.60000610351562,237.0,215.64999389648438,232.8000030517578,103624,2021-05-24
2021-05-31,215.8916778564453,223.14999389648438,236.10000610351562,218.64999389648438,226.39999389648438,74808,2021-05-31
2021-06-07,225.22781372070312,232.8000030517578,246.4499969482422,226.25,233.0,132362,2021-06-07
2021-06-14,224.0668487548828,231.60000610351562,240.9499969482422,225.0500030517578,239.89999389648438,47245,2021-06-14
2021-06-21,246.60897827148438,254.89999389648438,277.04998779296875,227.4499969482422,236.85000610351562,1083661,2021-06-21
2021-06-28,215.79495239257812,223.0500030517578,257.29998779296875,217.0,249.10000610351562,638587,2021-06-28
