Date,Adj Close_HBLENGINE.NS,Close_HBLENGINE.NS,High_HBLENGINE.NS,Low_HBLENGINE.NS,Open_HBLENGINE.NS,Volume_HBLENGINE.NS,Date
2024-12-09,695.0,695.0,698.0,664.0999755859375,682.0,8961867,2024-12-09
2024-12-16,652.6500244140625,652.6500244140625,739.6500244140625,648.0,725.0,22015337,2024-12-16
2024-12-23,631.7000122070312,631.7000122070312,664.4500122070312,624.5499877929688,656.9500122070312,3901875,2024-12-23
2024-12-30,624.5,624.5,642.9000244140625,611.0,631.7999877929688,3815044,2024-12-30
2025-01-06,568.9000244140625,568.9000244140625,627.5,559.5499877929688,627.0,5522971,2025-01-06
2025-01-13,557.4000244140625,557.4000244140625,565.4500122070312,525.0,552.1500244140625,7060105,2025-01-13
2025-01-20,529.4000244140625,529.4000244140625,580.9500122070312,527.25,562.0,4872580,2025-01-20
2025-01-27,576.2000122070312,576.2000122070312,623.5999755859375,473.1000061035156,512.0,18570315,2025-01-27
2025-02-03,550.4500122070312,550.4500122070312,599.7999877929688,547.0,576.2000122070312,4686694,2025-02-03
2025-02-10,501.04998779296875,501.04998779296875,557.9000244140625,448.1499938964844,555.0,35402129,2025-02-10
2025-02-17,478.29998779296875,478.29998779296875,500.75,449.1000061035156,491.6499938964844,8333648,2025-02-17
2025-02-24,433.1000061035156,433.1000061035156,479.8500061035156,430.0,474.0,4361063,2025-02-24
2025-03-03,456.25,456.25,469.20001220703125,405.54998779296875,438.70001220703125,7621137,2025-03-03
2025-03-10,414.79998779296875,414.79998779296875,462.20001220703125,411.75,454.6499938964844,4583115,2025-03-10
2025-03-17,465.29998779296875,465.29998779296875,496.1499938964844,405.0,413.6499938964844,26156167,2025-03-17
2025-03-24,472.5,472.5,498.79998779296875,454.1000061035156,469.8999938964844,12567864,2025-03-24
2025-03-31,507.95001220703125,507.95001220703125,538.7000122070312,490.54998779296875,490.54998779296875,47763102,2025-03-31
2025-04-07,500.95001220703125,500.95001220703125,506.25,440.1000061035156,440.20001220703125,7235976,2025-04-07
2025-04-14,517.7000122070312,517.7000122070312,523.1500244140625,510.3999938964844,513.0,3360065,2025-04-14
2025-04-21,511.20001220703125,511.20001220703125,543.7999877929688,496.1000061035156,519.0,8429922,2025-04-21
2025-04-28,493.3999938964844,493.3999938964844,516.0,479.0,507.3999938964844,5409564,2025-04-28
2025-05-05,468.3999938964844,468.3999938964844,503.6000061035156,452.0,495.95001220703125,4106867,2025-05-05
2025-05-12,568.75,568.75,585.0,487.70001220703125,490.0,29954367,2025-05-12
2025-05-19,576.0999755859375,576.0999755859375,596.6500244140625,563.2999877929688,570.6500244140625,6991084,2025-05-19
2025-05-26,600.2999877929688,600.2999877929688,604.9000244140625,542.5,544.0499877929688,10959312,2025-05-26
2025-06-02,607.0499877929688,607.0499877929688,627.0,591.5499877929688,603.7000122070312,7064711,2025-06-02
2025-06-09,589.4000244140625,589.4000244140625,626.7999877929688,582.6500244140625,609.5,4887693,2025-06-09
2025-06-16,578.4000244140625,578.4000244140625,619.8499755859375,558.2999877929688,603.0,6750698,2025-06-16
2025-06-23,590.9500122070312,590.9500122070312,608.9000244140625,565.0,573.9500122070312,6018489,2025-06-23
2025-06-30,630.4500122070312,630.4500122070312,645.9000244140625,583.6500244140625,593.2000122070312,31165067,2025-06-30
2025-07-07,611.2000122070312,611.2000122070312,649.75,607.7000122070312,630.4000244140625,5068900,2025-07-07
2025-07-14,605.7999877929688,605.7999877929688,611.0999755859375,596.5999755859375,611.0,1212870,2025-07-14
