Date,Adj Close_GREAVESCOT.NS,Close_GREAVESCOT.NS,High_GREAVESCOT.NS,Low_GREAVESCOT.NS,Open_GREAVESCOT.NS,Volume_GREAVESCOT.NS,Date
2020-07-13,84.12112426757812,85.8499984741211,89.8499984741211,82.1500015258789,84.44999694824219,3158766,2020-07-13
2020-07-20,82.9942855834961,84.69999694824219,88.30000305175781,84.19999694824219,86.1500015258789,1268103,2020-07-20
2020-07-27,79.66276550292969,81.30000305175781,85.69999694824219,81.05000305175781,84.5,910315,2020-07-27
2020-08-03,80.5936279296875,82.25,84.69999694824219,78.4000015258789,81.30000305175781,1608663,2020-08-03
2020-08-10,82.30838775634766,84.0,91.3499984741211,82.80000305175781,82.80000305175781,4611067,2020-08-10
2020-08-17,79.1728286743164,80.80000305175781,85.5,79.94999694824219,84.19999694824219,6226477,2020-08-17
2020-08-24,83.48421478271484,85.19999694824219,90.80000305175781,80.5,81.75,13284418,2020-08-24
2020-08-31,77.06612396240234,78.6500015258789,85.8499984741211,78.0,85.80000305175781,4949832,2020-08-31
2020-09-07,76.2822265625,77.8499984741211,80.0,74.0999984741211,79.0,1936190,2020-09-07
2020-09-14,76.47820281982422,78.05000305175781,81.5,77.1500015258789,80.0,2512791,2020-09-14
2020-09-21,71.03997039794922,72.5,78.4000015258789,70.0999984741211,78.25,2329456,2020-09-21
2020-09-28,72.70573425292969,74.19999694824219,78.25,72.69999694824219,72.9000015258789,1899105,2020-09-28
2020-10-05,71.48091125488281,72.94999694824219,76.69999694824219,72.44999694824219,74.9000015258789,1168474,2020-10-05
2020-10-12,69.76615142822266,71.19999694824219,74.3499984741211,70.30000305175781,73.30000305175781,1156285,2020-10-12
2020-10-19,71.18695831298828,72.6500015258789,74.0,71.4000015258789,71.69999694824219,777792,2020-10-19
2020-10-26,68.3453598022461,69.75,73.44999694824219,69.19999694824219,73.30000305175781,857568,2020-10-26
2020-11-02,66.72858428955078,68.0999984741211,70.5999984741211,66.0,70.0,3270167,2020-11-02
2020-11-09,72.1178207397461,73.5999984741211,74.25,67.19999694824219,69.0,3301787,2020-11-09
2020-11-16,72.41178894042969,73.9000015258789,77.5999984741211,72.69999694824219,72.69999694824219,8064459,2020-11-16
2020-11-23,82.21039581298828,83.9000015258789,86.4000015258789,73.0,74.0,22362645,2020-11-23
2020-11-30,81.9654312133789,83.6500015258789,88.44999694824219,79.80000305175781,83.9000015258789,11538380,2020-11-30
2020-12-07,81.81845092773438,83.5,87.25,81.0,85.5,8841244,2020-12-07
2020-12-14,83.9741439819336,85.69999694824219,90.5,83.3499984741211,84.4000015258789,17655888,2020-12-14
2020-12-21,81.08354949951172,82.75,86.75,75.19999694824219,85.44999694824219,6467539,2020-12-21
2020-12-28,86.91372680664062,88.69999694824219,90.3499984741211,83.4000015258789,83.5999984741211,7776566,2020-12-28
2021-01-04,93.87075805664062,95.80000305175781,102.0,89.5,89.80000305175781,23994336,2021-01-04
2021-01-11,91.0781478881836,92.94999694824219,98.69999694824219,92.05000305175781,96.80000305175781,6550366,2021-01-11
2021-01-18,90.98016357421875,92.8499984741211,96.30000305175781,89.0,93.25,6630427,2021-01-18
