Date,Adj Close_QUICKHEAL.NS,Close_QUICKHEAL.NS,High_QUICKHEAL.NS,Low_QUICKHEAL.NS,Open_QUICKHEAL.NS,Volume_QUICKHEAL.NS,Date
2020-07-13,105.83880615234375,111.80000305175781,116.94999694824219,111.55000305175781,112.5999984741211,1364726,2020-07-13
2020-07-20,110.99820709228516,117.25,127.4000015258789,111.69999694824219,113.5,7799862,2020-07-20
2020-07-27,104.65545654296875,110.55000305175781,118.19999694824219,110.0999984741211,117.25,1055783,2020-07-27
2020-08-03,117.62496185302734,124.25,127.69999694824219,109.94999694824219,110.80000305175781,4069672,2020-08-03
2020-08-10,120.03900146484375,126.80000305175781,146.0,124.0,124.5,9415091,2020-08-10
2020-08-17,127.51776123046875,134.6999969482422,137.89999389648438,127.3499984741211,128.5,2917804,2020-08-17
2020-08-24,125.90841674804688,133.0,140.75,132.5,137.6999969482422,2152579,2020-08-24
2020-08-31,118.24031829833984,124.9000015258789,135.60000610351562,120.3499984741211,134.0500030517578,817527,2020-08-31
2020-09-07,125.0564193725586,132.10000610351562,136.0,124.5,130.0,1765563,2020-09-07
2020-09-14,146.07269287109375,154.3000030517578,162.8000030517578,133.1999969482422,134.4499969482422,10102319,2020-09-14
2020-09-21,140.20327758789062,148.10000610351562,161.5,138.10000610351562,156.6999969482422,3843925,2020-09-21
2020-09-28,151.89479064941406,160.4499969482422,168.0,149.14999389648438,149.14999389648438,5376718,2020-09-28
2020-10-05,158.37954711914062,167.3000030517578,177.8000030517578,164.0,164.0,6321706,2020-10-05
2020-10-12,165.0063018798828,174.3000030517578,183.3000030517578,158.0,168.0500030517578,6854637,2020-10-12
2020-10-19,159.56288146972656,168.5500030517578,175.5,166.35000610351562,175.5,1709137,2020-10-19
2020-10-26,152.74679565429688,161.35000610351562,170.39999389648438,158.60000610351562,167.14999389648438,1611476,2020-10-26
2020-11-02,157.90618896484375,166.8000030517578,171.0,157.39999389648438,162.39999389648438,1291235,2020-11-02
2020-11-09,147.91873168945312,156.25,168.0500030517578,150.14999389648438,168.0500030517578,1944495,2020-11-09
2020-11-16,143.46932983398438,151.5500030517578,156.8000030517578,150.0,153.25,921937,2020-11-16
