Date,Adj Close_TATATECH.NS,Close_TATATECH.NS,High_TATATECH.NS,Low_TATATECH.NS,Open_TATATECH.NS,Volume_TATATECH.NS,Date
2023-11-27,1190.24169921875,1220.5999755859375,1400.0,1200.0,1200.0,65260850,2023-11-27
2023-12-04,1162.889404296875,1192.550048828125,1234.0,1151.1500244140625,1220.5999755859375,26051937,2023-12-04
2023-12-11,1211.304443359375,1242.199951171875,1284.800048828125,1193.0,1199.0,17958479,2023-12-11
2023-12-18,1178.6864013671875,1208.75,1259.800048828125,1165.25,1245.6500244140625,6897862,2023-12-18
2023-12-25,1150.7978515625,1180.1500244140625,1217.949951171875,1169.0,1210.0,4119564,2023-12-25
2024-01-01,1142.216552734375,1171.3499755859375,1197.9000244140625,1168.0,1184.0,3982190,2024-01-01
2024-01-08,1138.41357421875,1167.449951171875,1202.0,1156.0,1174.699951171875,4942905,2024-01-08
2024-01-15,1124.713134765625,1153.4000244140625,1184.9000244140625,1140.0,1180.0,3637217,2024-01-15
2024-01-22,1116.083251953125,1144.550048828125,1163.5,1138.5,1162.199951171875,1598318,2024-01-22
2024-01-29,1070.9835205078125,1098.300048828125,1163.0,1088.050048828125,1161.0,4912489,2024-01-29
2024-02-05,1102.1876220703125,1130.300048828125,1163.550048828125,1071.050048828125,1101.050048828125,7251187,2024-02-05
2024-02-12,1078.345703125,1105.8499755859375,1137.0,1084.5999755859375,1134.0,2398734,2024-02-12
2024-02-19,1131.636474609375,1160.5,1179.0,1107.25,1108.699951171875,5250911,2024-02-19
2024-02-26,1067.229248046875,1094.449951171875,1161.0,1033.0999755859375,1160.5,9135040,2024-02-26
2024-03-04,1099.3597412109375,1127.4000244140625,1146.449951171875,1058.0,1096.699951171875,6665316,2024-03-04
2024-03-11,1023.5435791015625,1049.6500244140625,1130.0,1020.0,1130.0,5709438,2024-03-11
2024-03-18,1006.33251953125,1032.0,1055.0,1026.5999755859375,1051.0,2980318,2024-03-18
