Date,Adj Close_LTFOODS.NS,Close_LTFOODS.NS,High_LTFOODS.NS,Low_LTFOODS.NS,Open_LTFOODS.NS,Volume_LTFOODS.NS,Date
2023-10-30,186.49929809570312,187.9499969482422,194.39999389648438,159.4499969482422,163.5,26520436,2023-10-30
2023-11-06,197.61285400390625,199.14999389648438,205.0,183.25,190.0500030517578,12213467,2023-11-06
2023-11-13,201.03622436523438,202.60000610351562,207.39999389648438,193.3000030517578,199.0,5910936,2023-11-13
2023-11-20,210.4132843017578,212.0500030517578,220.1999969482422,202.60000610351562,202.60000610351562,12020240,2023-11-20
2023-11-27,214.33279418945312,216.0,219.1999969482422,206.75,213.0,5920194,2023-11-27
2023-12-04,212.6459197998047,214.3000030517578,234.60000610351562,211.60000610351562,218.4499969482422,9425630,2023-12-04
2023-12-11,211.70327758789062,213.35000610351562,219.39999389648438,210.10000610351562,216.0,3227516,2023-12-11
2023-12-18,199.10128784179688,200.64999389648438,215.0,193.0,213.8000030517578,9559383,2023-12-18
2023-12-25,201.63160705566406,203.1999969482422,216.0,198.75,210.0,5752477,2023-12-25
2024-01-01,200.49049377441406,202.0500030517578,205.25,200.1999969482422,204.0,3013759,2024-01-01
2024-01-08,206.841064453125,208.4499969482422,211.5,198.5500030517578,202.39999389648438,5512029,2024-01-08
2024-01-15,197.86093139648438,199.39999389648438,211.0,197.8000030517578,210.14999389648438,3363860,2024-01-15
2024-01-22,194.58642578125,196.10000610351562,210.60000610351562,190.0,198.0500030517578,5994798,2024-01-22
2024-01-29,194.0902557373047,195.60000610351562,203.14999389648438,194.85000610351562,200.0,4860283,2024-01-29
2024-02-05,187.88851928710938,189.35000610351562,198.35000610351562,176.89999389648438,198.35000610351562,6941885,2024-02-05
2024-02-12,187.93809509277344,189.39999389648438,190.89999389648438,175.35000610351562,189.35000610351562,4201216,2024-02-12
2024-02-19,183.72091674804688,185.14999389648438,196.89999389648438,183.0,191.0,3249485,2024-02-19
2024-02-26,177.3703155517578,178.75,186.39999389648438,175.1999969482422,185.1999969482422,3580346,2024-02-26
2024-03-04,173.99656677246094,175.35000610351562,181.85000610351562,172.3000030517578,180.0,2053305,2024-03-04
2024-03-11,168.14210510253906,169.4499969482422,178.9499969482422,160.14999389648438,177.3000030517578,5916393,2024-03-11
2024-03-18,192.8995361328125,194.39999389648438,196.6999969482422,160.0,169.89999389648438,29867763,2024-03-18
2024-03-25,186.2016143798828,187.64999389648438,195.89999389648438,182.5500030517578,195.89999389648438,4454465,2024-03-25
2024-04-01,204.55880737304688,206.14999389648438,208.64999389648438,188.25,189.5,8153881,2024-04-01
2024-04-08,205.3526611328125,206.9499969482422,217.5,205.3000030517578,207.0,5316833,2024-04-08
2024-04-15,201.43313598632812,203.0,206.10000610351562,186.10000610351562,203.0500030517578,5197360,2024-04-15
2024-04-22,212.84439086914062,214.5,221.10000610351562,204.6999969482422,204.6999969482422,5611484,2024-04-22
2024-04-29,222.07260131835938,223.8000030517578,226.5,212.35000610351562,214.1999969482422,4166140,2024-04-29
2024-05-06,212.84439086914062,214.5,226.4499969482422,208.60000610351562,225.85000610351562,3890270,2024-05-06
2024-05-13,221.9237518310547,223.64999389648438,233.89999389648438,207.3000030517578,215.1999969482422,7105161,2024-05-13
2024-05-20,203.6161651611328,205.1999969482422,224.9499969482422,203.5500030517578,224.85000610351562,4537470,2024-05-20
2024-05-27,203.86422729492188,205.4499969482422,210.3000030517578,198.89999389648438,208.1999969482422,4219617,2024-05-27
2024-06-03,243.34507751464844,244.64999389648438,247.89999389648438,186.3000030517578,214.6999969482422,12503582,2024-06-03
2024-06-10,262.5321960449219,263.94000244140625,266.989990234375,241.9499969482422,247.10000610351562,9954536,2024-06-10
2024-06-17,267.96307373046875,269.3999938964844,271.45001220703125,252.27000427246094,264.95001220703125,4284538,2024-06-17
2024-06-24,254.8732452392578,256.239990234375,275.0,254.35000610351562,274.79998779296875,3461316,2024-06-24
2024-07-01,258.01641845703125,259.3999938964844,266.8500061035156,244.85000610351562,259.45001220703125,4807634,2024-07-01
2024-07-08,285.1210632324219,286.6499938964844,297.5,257.0,261.20001220703125,20454399,2024-07-08
