Date,Adj Close_IZMO.NS,Close_IZMO.NS,High_IZMO.NS,Low_IZMO.NS,Open_IZMO.NS,Volume_IZMO.NS,Date
2020-07-13,19.950000762939453,19.950000762939453,21.5,19.100000381469727,19.799999237060547,40691,2020-07-13
2020-07-20,22.850000381469727,22.850000381469727,23.399999618530273,19.549999237060547,20.0,76711,2020-07-20
2020-07-27,20.450000762939453,20.450000762939453,23.5,19.600000381469727,23.450000762939453,128880,2020-07-27
2020-08-03,26.149999618530273,26.149999618530273,26.149999618530273,19.850000381469727,20.450000762939453,93798,2020-08-03
2020-08-10,30.200000762939453,30.200000762939453,32.849998474121094,27.899999618530273,28.75,132923,2020-08-10
2020-08-17,33.599998474121094,33.599998474121094,34.900001525878906,30.25,30.950000762939453,219633,2020-08-17
2020-08-24,32.0,32.0,35.0,30.0,33.650001525878906,149739,2020-08-24
2020-08-31,31.799999237060547,31.799999237060547,33.599998474121094,29.100000381469727,33.45000076293945,81847,2020-08-31
2020-09-07,29.700000762939453,29.700000762939453,32.95000076293945,29.0,32.20000076293945,98977,2020-09-07
2020-09-14,35.099998474121094,35.099998474121094,37.25,28.700000762939453,28.700000762939453,107812,2020-09-14
2020-09-21,32.5,32.5,36.849998474121094,31.100000381469727,36.70000076293945,112438,2020-09-21
2020-09-28,35.650001525878906,35.650001525878906,35.95000076293945,31.899999618530273,33.849998474121094,87840,2020-09-28
2020-10-05,43.5,43.5,43.5,34.29999923706055,36.75,87637,2020-10-05
2020-10-12,40.900001525878906,40.900001525878906,47.400001525878906,39.75,45.650001525878906,249740,2020-10-12
2020-10-19,41.599998474121094,41.599998474121094,42.45000076293945,38.04999923706055,40.900001525878906,135342,2020-10-19
2020-10-26,37.849998474121094,37.849998474121094,43.599998474121094,37.150001525878906,43.599998474121094,54411,2020-10-26
2020-11-02,37.0,37.0,39.650001525878906,35.29999923706055,39.650001525878906,59883,2020-11-02
2020-11-09,38.400001525878906,38.400001525878906,38.79999923706055,34.0,38.79999923706055,115957,2020-11-09
2020-11-16,44.54999923706055,44.54999923706055,46.599998474121094,36.599998474121094,36.599998474121094,132496,2020-11-16
2020-11-23,48.25,48.25,48.45000076293945,44.0,46.75,176774,2020-11-23
2020-11-30,53.04999923706055,53.04999923706055,58.400001525878906,48.25,48.25,195396,2020-11-30
2020-12-07,53.45000076293945,53.45000076293945,58.150001525878906,48.150001525878906,50.5,298391,2020-12-07
2020-12-14,48.79999923706055,48.79999923706055,56.099998474121094,47.650001525878906,54.0,287533,2020-12-14
2020-12-21,50.04999923706055,50.04999923706055,51.70000076293945,44.099998474121094,50.650001525878906,186493,2020-12-21
2020-12-28,47.45000076293945,47.45000076293945,51.849998474121094,46.0,50.0,231894,2020-12-28
2021-01-04,47.099998474121094,47.099998474121094,49.099998474121094,46.0,49.099998474121094,153566,2021-01-04
2021-01-11,49.75,49.75,53.5,45.79999923706055,48.0,270881,2021-01-11
2021-01-18,45.95000076293945,45.95000076293945,50.599998474121094,45.54999923706055,49.0,108121,2021-01-18
2021-01-25,46.650001525878906,46.650001525878906,47.400001525878906,43.599998474121094,47.0,38423,2021-01-25
2021-02-01,46.70000076293945,46.70000076293945,49.0,44.650001525878906,48.349998474121094,112486,2021-02-01
2021-02-08,47.900001525878906,47.900001525878906,48.95000076293945,46.04999923706055,48.95000076293945,86932,2021-02-08
2021-02-15,46.400001525878906,46.400001525878906,51.79999923706055,44.5,49.29999923706055,112401,2021-02-15
2021-02-22,57.25,57.25,62.54999923706055,47.95000076293945,48.849998474121094,786870,2021-02-22
2021-03-01,54.29999923706055,54.29999923706055,60.099998474121094,53.79999923706055,58.400001525878906,194520,2021-03-01
2021-03-08,52.849998474121094,52.849998474121094,56.79999923706055,52.099998474121094,54.5,92046,2021-03-08
2021-03-15,56.0,56.0,57.849998474121094,51.5,52.099998474121094,182722,2021-03-15
2021-03-22,51.0,51.0,57.5,47.45000076293945,57.5,154821,2021-03-22
2021-03-29,50.099998474121094,50.099998474121094,53.849998474121094,49.70000076293945,51.0,60875,2021-03-29
2021-04-05,69.05000305175781,69.05000305175781,70.05000305175781,51.900001525878906,52.25,751155,2021-04-05
2021-04-12,71.0999984741211,71.0999984741211,76.4000015258789,62.70000076293945,71.5,902575,2021-04-12
2021-04-19,66.25,66.25,70.9000015258789,62.900001525878906,67.55000305175781,287563,2021-04-19
2021-04-26,68.1500015258789,68.1500015258789,72.69999694824219,64.25,66.19999694824219,386622,2021-04-26
2021-05-03,84.30000305175781,84.30000305175781,86.8499984741211,69.0,69.55000305175781,864553,2021-05-03
2021-05-10,80.0,80.0,92.4000015258789,80.0,85.5999984741211,622602,2021-05-10
