Date,Adj Close_PETRONET.NS,Close_PETRONET.NS,High_PETRONET.NS,Low_PETRONET.NS,Open_PETRONET.NS,Volume_PETRONET.NS,Date
2020-07-13,219.28221130371094,263.20001220703125,264.20001220703125,250.39999389648438,260.95001220703125,10645834,2020-07-13
2020-07-20,206.42713928222656,241.25,269.6000061035156,240.0500030517578,264.95001220703125,23170595,2020-07-20
2020-07-27,212.0744171142578,247.85000610351562,251.0,230.0500030517578,241.25,31671146,2020-07-27
2020-08-03,209.20799255371094,244.5,254.0,242.0500030517578,249.5,13987105,2020-08-03
2020-08-10,222.4279022216797,259.95001220703125,266.95001220703125,243.3000030517578,245.5,18797455,2020-08-10
2020-08-17,213.18679809570312,249.14999389648438,267.79998779296875,246.85000610351562,261.79998779296875,30612725,2020-08-17
2020-08-24,213.27236938476562,249.25,254.0,242.0500030517578,250.5500030517578,21135366,2020-08-24
2020-08-31,201.2075958251953,235.14999389648438,255.3000030517578,234.10000610351562,250.0,21061404,2020-08-31
2020-09-07,202.06329345703125,236.14999389648438,241.60000610351562,227.64999389648438,237.1999969482422,13275009,2020-09-07
2020-09-14,195.2607879638672,228.1999969482422,242.85000610351562,226.5,236.0,18164942,2020-09-14
2020-09-21,187.6026611328125,219.25,228.5,209.60000610351562,225.9499969482422,21802284,2020-09-21
2020-09-28,188.84336853027344,220.6999969482422,225.9499969482422,217.0,222.39999389648438,12499920,2020-09-28
2020-10-05,186.66143798828125,218.14999389648438,227.8000030517578,216.6999969482422,221.6999969482422,16001151,2020-10-05
2020-10-12,190.51190185546875,222.64999389648438,223.5,207.25,218.0500030517578,23119282,2020-10-12
2020-10-19,199.62461853027344,233.3000030517578,237.39999389648438,217.5,222.3000030517578,22858621,2020-10-19
2020-10-26,197.61386108398438,230.9499969482422,238.5,226.10000610351562,233.0,18930445,2020-10-26
2020-11-02,197.18601989746094,230.4499969482422,232.8000030517578,221.60000610351562,231.5,21902398,2020-11-02
2020-11-09,217.55062866210938,254.25,255.3000030517578,229.60000610351562,232.5,30262218,2020-11-09
2020-11-16,221.57223510742188,258.95001220703125,263.29998779296875,252.3000030517578,254.35000610351562,23075944,2020-11-16
2020-11-23,214.98367309570312,251.25,263.0,244.14999389648438,259.70001220703125,36905427,2020-11-23
2020-11-30,231.37277221679688,262.04998779296875,265.45001220703125,250.60000610351562,251.25,23758926,2020-11-30
2020-12-07,230.97547912597656,261.6000061035156,271.8999938964844,250.64999389648438,263.0,25113150,2020-12-07
2020-12-14,227.5320281982422,257.70001220703125,269.70001220703125,255.1999969482422,263.6499938964844,26438564,2020-12-14
2020-12-21,217.29002380371094,246.10000610351562,255.5500030517578,232.10000610351562,255.5,15377042,2020-12-21
2020-12-28,220.60098266601562,249.85000610351562,252.4499969482422,246.0,248.60000610351562,14885955,2020-12-28
2021-01-04,236.97943115234375,268.3999938964844,271.79998779296875,248.75,252.1999969482422,32976835,2021-01-04
2021-01-11,229.29791259765625,259.70001220703125,275.3500061035156,258.6499938964844,270.1000061035156,21106292,2021-01-11
2021-01-18,213.14019775390625,241.39999389648438,259.70001220703125,241.0,259.70001220703125,25741150,2021-01-18
2021-01-25,209.2552947998047,237.0,245.6999969482422,234.14999389648438,244.0,21213423,2021-01-25
2021-02-01,215.21510314941406,243.75,254.0,234.6999969482422,239.1999969482422,19919861,2021-02-01
2021-02-08,213.8465576171875,242.1999969482422,247.5,237.14999389648438,245.10000610351562,23066073,2021-02-08
