Date,Adj Close_AVONMORE.NS,Close_AVONMORE.NS,High_AVONMORE.NS,Low_AVONMORE.NS,Open_AVONMORE.NS,Volume_AVONMORE.NS,Date
2023-01-02,7.255000114440918,7.255000114440918,8.4399995803833,7.085000038146973,8.050000190734863,884810,2023-01-02
2023-01-09,6.800000190734863,6.800000190734863,7.420000076293945,6.699999809265137,7.329999923706055,576900,2023-01-09
2023-01-16,7.375,7.375,7.789999961853027,6.889999866485596,6.940000057220459,1137940,2023-01-16
2023-01-23,7.074999809265137,7.074999809265137,7.485000133514404,6.704999923706055,7.385000228881836,493160,2023-01-23
2023-01-30,6.75,6.75,7.324999809265137,6.635000228881836,7.324999809265137,870200,2023-01-30
2023-02-06,7.110000133514404,7.110000133514404,8.079999923706055,6.699999809265137,7.159999847412109,2016620,2023-02-06
2023-02-13,6.574999809265137,6.574999809265137,7.375,6.550000190734863,7.199999809265137,612030,2023-02-13
2023-02-20,6.25,6.25,6.730000019073486,6.144999980926514,6.510000228881836,1499720,2023-02-20
2023-02-27,6.460000038146973,6.460000038146973,6.650000095367432,6.119999885559082,6.275000095367432,1093500,2023-02-27
2023-03-06,6.429999828338623,6.429999828338623,6.690000057220459,6.284999847412109,6.574999809265137,1726640,2023-03-06
2023-03-13,6.269999980926514,6.269999980926514,6.59499979019165,6.034999847412109,6.59499979019165,1017720,2023-03-13
2023-03-20,6.235000133514404,6.235000133514404,6.775000095367432,6.074999809265137,6.25,1716270,2023-03-20
2023-03-27,6.090000152587891,6.090000152587891,6.28000020980835,5.849999904632568,6.230000019073486,828830,2023-03-27
2023-04-03,6.514999866485596,6.514999866485596,6.659999847412109,6.085000038146973,6.090000152587891,434010,2023-04-03
2023-04-10,6.574999809265137,6.574999809265137,6.84499979019165,6.215000152587891,6.699999809265137,406720,2023-04-10
2023-04-17,6.730000019073486,6.730000019073486,6.974999904632568,6.375,6.764999866485596,900370,2023-04-17
2023-04-24,6.554999828338623,6.554999828338623,6.800000190734863,6.425000190734863,6.730000019073486,296820,2023-04-24
2023-05-01,6.574999809265137,6.574999809265137,6.840000152587891,6.409999847412109,6.554999828338623,389880,2023-05-01
2023-05-08,6.539999961853027,6.539999961853027,6.789999961853027,6.434999942779541,6.590000152587891,304750,2023-05-08
2023-05-15,6.460000038146973,6.460000038146973,6.690000057220459,6.210000038146973,6.409999847412109,474040,2023-05-15
2023-05-22,7.085000038146973,7.085000038146973,7.284999847412109,6.420000076293945,6.565000057220459,1197490,2023-05-22
2023-05-29,6.960000038146973,6.960000038146973,7.21999979019165,6.199999809265137,7.21999979019165,1717760,2023-05-29
2023-06-05,6.590000152587891,6.590000152587891,7.079999923706055,6.550000190734863,6.909999847412109,1372600,2023-06-05
