Date,Adj Close_NYKAA.NS,Close_NYKAA.NS,High_NYKAA.NS,Low_NYKAA.NS,Open_NYKAA.NS,Volume_NYKAA.NS,Date
2021-11-08,393.04998779296875,393.04998779296875,401.6583251953125,333.3333435058594,336.3333435058594,284064666,2021-11-08
2021-11-15,354.2083435058594,354.2083435058594,388.73333740234375,348.3333435058594,376.8333435058594,57909504,2021-11-15
2021-11-22,406.1833190917969,406.1833190917969,428.95001220703125,342.95001220703125,355.875,68375100,2021-11-22
2021-11-29,387.45001220703125,387.45001220703125,426.6666564941406,380.3333435058594,403.5,32428998,2021-11-29
2021-12-06,352.4666748046875,352.4666748046875,392.3333435058594,337.7583312988281,388.3333435058594,105042450,2021-12-06
2021-12-13,349.79998779296875,349.79998779296875,362.5,330.0,354.1666564941406,57458022,2021-12-13
2021-12-20,340.8083190917969,340.8083190917969,355.6666564941406,318.3416748046875,343.3333435058594,38339502,2021-12-20
2021-12-27,350.2583312988281,350.2583312988281,363.3333435058594,331.6666564941406,340.0,21448596,2021-12-27
2022-01-03,334.2250061035156,334.2250061035156,355.8333435058594,332.54998779296875,350.8333435058594,21475308,2022-01-03
2022-01-10,342.9416809082031,342.9416809082031,346.1666564941406,326.7583312988281,337.5,13345392,2022-01-10
2022-01-17,333.04998779296875,333.04998779296875,348.1666564941406,323.1000061035156,342.6666564941406,10934460,2022-01-17
2022-01-24,273.9333190917969,273.9333190917969,331.3666687011719,261.8333435058594,329.1666564941406,58819452,2022-01-24
2022-01-31,313.0583190917969,313.0583190917969,314.8333435058594,265.8333435058594,279.8333435058594,41077884,2022-01-31
2022-02-07,274.1499938964844,274.1499938964844,319.6166687011719,270.01666259765625,314.14166259765625,30146070,2022-02-07
2022-02-14,233.3333282470703,233.3333282470703,267.5,228.60833740234375,266.8999938964844,61319712,2022-02-14
2022-02-21,215.80833435058594,215.80833435058594,234.4166717529297,203.1750030517578,231.50833129882812,45525648,2022-02-21
2022-02-28,251.60833740234375,251.60833740234375,256.6666564941406,212.50833129882812,216.1666717529297,39781482,2022-02-28
2022-03-07,231.28334045410156,231.28334045410156,245.0,221.875,243.6666717529297,25160430,2022-03-07
2022-03-14,258.39166259765625,258.39166259765625,260.5,227.02499389648438,232.3333282470703,14309766,2022-03-14
2022-03-21,266.2749938964844,266.2749938964844,268.6666564941406,248.64166259765625,262.5,14115288,2022-03-21
2022-03-28,282.3833312988281,282.3833312988281,289.1666564941406,265.01666259765625,268.5249938964844,14718012,2022-03-28
2022-04-04,309.6666564941406,309.6666564941406,311.57501220703125,285.32501220703125,285.3333435058594,14623590,2022-04-04
2022-04-11,303.4416809082031,303.4416809082031,315.4416809082031,294.14166259765625,309.3333435058594,8698116,2022-04-11
2022-04-18,303.875,303.875,311.57501220703125,296.0416564941406,301.32501220703125,8165622,2022-04-18
2022-04-25,282.3666687011719,282.3666687011719,303.3333435058594,275.0,303.3333435058594,11383140,2022-04-25
2022-05-02,256.5,256.5,289.6000061035156,244.19166564941406,279.26666259765625,9126066,2022-05-02
2022-05-09,218.21665954589844,218.21665954589844,256.25,201.25,256.25,26349918,2022-05-09
2022-05-16,245.46665954589844,245.46665954589844,256.4750061035156,218.6750030517578,220.8333282470703,18011334,2022-05-16
2022-05-23,225.24166870117188,225.24166870117188,251.39166259765625,218.1999969482422,248.74166870117188,14390886,2022-05-23
2022-05-30,243.35833740234375,243.35833740234375,257.1666564941406,222.0833282470703,225.1666717529297,30174024,2022-05-30
2022-06-06,240.99166870117188,240.99166870117188,247.3333282470703,232.18333435058594,244.46665954589844,13539876,2022-06-06
2022-06-13,229.99166870117188,229.99166870117188,248.0,218.6750030517578,235.0,40954182,2022-06-13
2022-06-20,239.40834045410156,239.40834045410156,244.6666717529297,221.0,229.1666717529297,9512064,2022-06-20
2022-06-27,235.6750030517578,235.6750030517578,247.3249969482422,229.5,244.4166717529297,8879442,2022-06-27
2022-07-04,232.30833435058594,232.30833435058594,245.0,229.00833129882812,233.6666717529297,9183024,2022-07-04
2022-07-11,234.85000610351562,234.85000610351562,241.44166564941406,231.3333282470703,234.6666717529297,5316558,2022-07-11
2022-07-18,242.30833435058594,242.30833435058594,244.03334045410156,231.6666717529297,236.6666717529297,9274320,2022-07-18
2022-07-25,232.85000610351562,232.85000610351562,247.75833129882812,231.5,242.23333740234375,13781424,2022-07-25
2022-08-01,235.2083282470703,235.2083282470703,245.8333282470703,231.8333282470703,234.26666259765625,16539186,2022-08-01
2022-08-08,233.11666870117188,233.11666870117188,245.60833740234375,230.6666717529297,243.3333282470703,17937138,2022-08-08
2022-08-15,233.2083282470703,233.2083282470703,235.8000030517578,227.6999969482422,233.11666870117188,8660592,2022-08-15
2022-08-22,227.7083282470703,227.7083282470703,232.5,225.0,232.5,7447278,2022-08-22
2022-08-29,227.2916717529297,227.2916717529297,233.5,217.64999389648438,224.8333282470703,6647778,2022-08-29
2022-09-05,224.625,224.625,230.625,221.6666717529297,228.6666717529297,5625264,2022-09-05
2022-09-12,225.88333129882812,225.88333129882812,230.5,217.1666717529297,226.15834045410156,10230420,2022-09-12
2022-09-19,217.9166717529297,217.9166717529297,228.13333129882812,217.3333282470703,228.13333129882812,5442792,2022-09-19
2022-09-26,212.01666259765625,212.01666259765625,224.98333740234375,207.56666564941406,216.6666717529297,15271464,2022-09-26
2022-10-03,214.0500030517578,214.0500030517578,235.6666717529297,212.5,212.5,35005410,2022-10-03
2022-10-10,201.1999969482422,201.1999969482422,218.31666564941406,199.6666717529297,211.25,15402150,2022-10-10
