Date,Adj Close_THANGAMAYL.NS,Close_THANGAMAYL.NS,High_THANGAMAYL.NS,Low_THANGAMAYL.NS,Open_THANGAMAYL.NS,Volume_THANGAMAYL.NS,Date
2020-07-13,123.85127258300781,125.55000305175781,130.875,122.0250015258789,130.5,60472,2020-07-13
2020-07-20,144.8630828857422,146.85000610351562,167.4499969482422,125.0,128.35000610351562,3242166,2020-07-20
2020-07-27,157.8844757080078,160.0500030517578,180.0,147.89999389648438,147.89999389648438,3240380,2020-07-27
2020-08-03,166.0968475341797,168.375,177.5,153.3000030517578,160.0500030517578,938852,2020-08-03
2020-08-10,165.97352600097656,168.25,172.25,162.27499389648438,167.5500030517578,537074,2020-08-10
2020-08-17,168.02044677734375,170.3249969482422,174.5,158.4499969482422,167.5,452702,2020-08-17
2020-08-24,199.78477478027344,202.52499389648438,210.0,166.3249969482422,170.3249969482422,1137062,2020-08-24
2020-08-31,185.1110382080078,187.64999389648438,205.85000610351562,175.47500610351562,204.6999969482422,306850,2020-08-31
2020-09-07,184.86441040039062,187.39999389648438,191.0,175.52499389648438,186.0,416772,2020-09-07
2020-09-14,183.87794494628906,186.39999389648438,197.0,184.52499389648438,188.4499969482422,166658,2020-09-14
2020-09-21,207.77517700195312,210.625,214.5,171.1750030517578,187.9250030517578,453720,2020-09-21
2020-09-28,202.0783233642578,204.85000610351562,221.97500610351562,202.52499389648438,208.9250030517578,690892,2020-09-28
2020-10-05,191.4490966796875,194.0749969482422,206.97500610351562,190.64999389648438,206.97500610351562,256284,2020-10-05
2020-10-12,186.6154022216797,189.1750030517578,198.22500610351562,183.5,194.8249969482422,98128,2020-10-12
2020-10-19,195.24700927734375,197.9250030517578,208.5,188.0,191.0749969482422,312876,2020-10-19
2020-10-26,193.17543029785156,195.8249969482422,202.8249969482422,192.5,198.0,139072,2020-10-26
2020-11-02,215.8642120361328,218.8249969482422,226.85000610351562,197.625,197.97500610351562,1191258,2020-11-02
2020-11-09,220.99386596679688,224.02499389648438,238.5,207.64999389648438,225.0,961668,2020-11-09
2020-11-16,219.0209197998047,222.02499389648438,229.39999389648438,215.0,227.52499389648438,361986,2020-11-16
2020-11-23,219.39085388183594,222.39999389648438,227.0,213.3249969482422,222.02499389648438,165818,2020-11-23
2020-11-30,228.68833923339844,231.8249969482422,237.47500610351562,221.8249969482422,222.39999389648438,509256,2020-11-30
2020-12-07,266.71673583984375,270.375,279.45001220703125,227.6750030517578,235.0,902298,2020-12-07
2020-12-14,289.33154296875,293.29998779296875,312.5,263.0,267.5,448790,2020-12-14
2020-12-21,275.7182922363281,279.5,295.6499938964844,250.0749969482422,295.6499938964844,261586,2020-12-21
2020-12-28,294.9051208496094,298.95001220703125,318.20001220703125,282.0,282.3500061035156,368464,2020-12-28
2021-01-04,298.3330993652344,302.42498779296875,331.4750061035156,293.7250061035156,298.95001220703125,639520,2021-01-04
2021-01-11,301.9830322265625,306.125,338.17498779296875,293.8500061035156,305.5,1147626,2021-01-11
2021-01-18,293.00616455078125,297.0249938964844,312.3999938964844,292.5,306.125,172340,2021-01-18
2021-01-25,301.3664855957031,305.5,311.95001220703125,285.17498779296875,303.5,307862,2021-01-25
2021-02-01,300.05938720703125,304.17498779296875,318.9750061035156,297.04998779296875,310.20001220703125,464454,2021-02-01
2021-02-08,305.0904235839844,309.2749938964844,315.8999938964844,302.6499938964844,304.5,217932,2021-02-08
