Date,Adj Close_MANORAMA.NS,Close_MANORAMA.NS,High_MANORAMA.NS,Low_MANORAMA.NS,Open_MANORAMA.NS,Volume_MANORAMA.NS,Date
2022-06-27,204.84996032714844,205.1699981689453,208.00999450683594,200.0,200.00999450683594,4335,2022-06-27
2022-07-04,200.62657165527344,200.94000244140625,239.3800048828125,164.13999938964844,210.0,49695,2022-07-04
2022-07-11,204.14108276367188,204.4600067138672,209.8000030517578,197.0,202.99000549316406,59975,2022-07-11
2022-07-18,236.84996032714844,237.22000122070312,271.79998779296875,204.02999877929688,209.8000030517578,580175,2022-07-18
2022-07-25,223.51080322265625,223.86000061035156,248.8699951171875,219.0,240.64999389648438,130565,2022-07-25
2022-08-01,231.6580810546875,232.02000427246094,234.89999389648438,212.44000244140625,228.32000732421875,114005,2022-08-01
2022-08-08,241.3629150390625,241.74000549316406,250.0,232.80999755859375,236.60000610351562,93630,2022-08-08
2022-08-15,231.08895874023438,231.4499969482422,249.99000549316406,222.36000061035156,241.74000549316406,41055,2022-08-15
2022-08-22,250.99786376953125,251.38999938964844,260.45001220703125,228.39999389648438,239.30999755859375,124085,2022-08-22
2022-08-29,240.92361450195312,241.3000030517578,265.0,239.0,245.63999938964844,283655,2022-08-29
2022-09-05,254.292724609375,254.69000244140625,256.79998779296875,240.67999267578125,247.39999389648438,94770,2022-09-05
2022-09-12,246.1454315185547,246.52999877929688,263.0,241.39999389648438,255.17999267578125,143680,2022-09-12
2022-09-19,242.63092041015625,243.00999450683594,253.80999755859375,239.0,246.0,81700,2022-09-19
2022-09-26,249.3105010986328,249.6999969482422,259.989990234375,234.60000610351562,259.989990234375,106065,2022-09-26
2022-10-03,267.33233642578125,267.75,271.2799987792969,243.11000061035156,253.8000030517578,161190,2022-10-03
2022-10-10,255.5207977294922,255.9199981689453,271.79998779296875,254.1300048828125,271.79998779296875,76905,2022-10-10
2022-10-17,245.86587524414062,246.25,263.3500061035156,242.49000549316406,258.4800109863281,39555,2022-10-17
2022-10-24,247.46339416503906,247.85000610351562,257.0,242.91000366210938,247.0,37450,2022-10-24
2022-10-31,231.7379608154297,232.10000610351562,252.33999633789062,217.7899932861328,252.24000549316406,97610,2022-10-31
2022-11-07,222.69207763671875,223.0399932861328,239.60000610351562,220.1999969482422,239.60000610351562,66360,2022-11-07
2022-11-14,218.3688507080078,218.7100067138672,230.77999877929688,210.42999267578125,228.60000610351562,130015,2022-11-14
2022-11-21,211.43966674804688,211.77000427246094,221.39999389648438,208.92999267578125,220.1699981689453,67830,2022-11-21
2022-11-28,215.0939483642578,215.42999267578125,221.72999572753906,200.0,218.60000610351562,183795,2022-11-28
2022-12-05,209.50270080566406,209.8300018310547,220.0,207.35000610351562,219.8000030517578,39115,2022-12-05
2022-12-12,204.24090576171875,204.55999755859375,214.38999938964844,194.8800048828125,210.47999572753906,60880,2022-12-12
2022-12-19,196.44308471679688,196.75,211.0,192.02000427246094,207.0,65965,2022-12-19
2022-12-26,204.08114624023438,204.39999389648438,205.92999267578125,191.17999267578125,195.02000427246094,159055,2022-12-26
2023-01-02,205.05963134765625,205.3800048828125,217.19000244140625,199.7100067138672,207.8800048828125,91370,2023-01-02
2023-01-09,209.7722625732422,210.10000610351562,214.8000030517578,201.60000610351562,212.8000030517578,56765,2023-01-09
2023-01-16,199.98756408691406,200.3000030517578,215.8000030517578,197.0,212.10000610351562,59895,2023-01-16
2023-01-23,181.1070556640625,181.38999938964844,204.8000030517578,178.97000122070312,204.8000030517578,127030,2023-01-23
2023-01-30,195.80409240722656,196.11000061035156,209.8000030517578,179.08999633789062,184.8000030517578,178125,2023-01-30
2023-02-06,212.70767211914062,213.0399932861328,215.92999267578125,190.30999755859375,199.0500030517578,188490,2023-02-06
2023-02-13,210.99037170410156,211.32000732421875,217.38999938964844,204.27999877929688,214.99000549316406,75130,2023-02-13
2023-02-20,195.05526733398438,195.36000061035156,210.39999389648438,193.0,210.39999389648438,96550,2023-02-20
2023-02-27,210.30145263671875,210.6300048828125,213.8000030517578,182.8000030517578,202.8000030517578,146460,2023-02-27
2023-03-06,227.14512634277344,227.5,238.75999450683594,204.2100067138672,215.8000030517578,203180,2023-03-06
2023-03-13,204.23092651367188,204.5500030517578,229.8000030517578,199.0,229.8000030517578,121030,2023-03-13
2023-03-20,212.44808959960938,212.77999877929688,233.92999267578125,198.19000244140625,200.0399932861328,127635,2023-03-20
2023-03-27,205.11953735351562,205.44000244140625,216.0,198.0,216.0,94815,2023-03-27
2023-04-03,202.57351684570312,202.88999938964844,217.6999969482422,201.77000427246094,209.8000030517578,60910,2023-04-03
2023-04-10,208.63404846191406,208.9600067138672,222.0,200.42999267578125,208.8000030517578,139075,2023-04-10
2023-04-17,214.4749298095703,214.80999755859375,224.52000427246094,206.72999572753906,214.8000030517578,88805,2023-04-17
2023-04-24,220.0462188720703,220.38999938964844,223.97999572753906,213.77000427246094,215.82000732421875,77565,2023-04-24
2023-05-01,219.12765502929688,219.47000122070312,224.8000030517578,208.0,220.38999938964844,78685,2023-05-01
2023-05-08,276.867431640625,277.29998779296875,278.7900085449219,214.02999877929688,219.5399932861328,1063290,2023-05-08
2023-05-15,272.2147216796875,272.6400146484375,287.45001220703125,254.9199981689453,278.0,819300,2023-05-15
2023-05-22,294.91925048828125,295.3800048828125,301.0,260.0,275.79998779296875,221015,2023-05-22
2023-05-29,306.50115966796875,306.9800109863281,309.79998779296875,287.0,298.79998779296875,117620,2023-05-29
2023-06-05,300.6402893066406,301.1099853515625,309.79998779296875,279.3999938964844,309.79998779296875,148960,2023-06-05
2023-06-12,299.87152099609375,300.3399963378906,312.7900085449219,294.0,306.0,98670,2023-06-12
2023-06-19,299.53204345703125,300.0,304.7900085449219,284.0,299.20001220703125,81955,2023-06-19
