Date,Adj Close_HAPPYFORGE.NS,Close_HAPPYFORGE.NS,High_HAPPYFORGE.NS,Low_HAPPYFORGE.NS,Open_HAPPYFORGE.NS,Volume_HAPPYFORGE.NS,Date
2023-12-25,1025.83251953125,1029.25,1087.4000244140625,961.25,1000.0,16891537,2023-12-25
2024-01-01,997.177978515625,1000.5,1039.699951171875,997.0999755859375,1029.25,1587066,2024-01-01
2024-01-08,951.5798950195312,954.75,1008.0,952.0,1000.4500122070312,915854,2024-01-08
2024-01-15,948.141357421875,951.2999877929688,990.0,934.5,954.75,600162,2024-01-15
2024-01-22,966.2809448242188,969.5,973.9500122070312,917.75,951.2999877929688,583925,2024-01-22
2024-01-29,977.7925415039062,981.0499877929688,1018.0,948.0,972.0,821248,2024-01-29
2024-02-05,1003.1580810546875,1006.5,1035.0,930.0,984.0,868690,2024-02-05
2024-02-12,967.6763305664062,970.9000244140625,1052.949951171875,940.0,1019.0,884805,2024-02-12
2024-02-19,954.42041015625,957.5999755859375,983.7000122070312,935.0,982.0,316923,2024-02-19
2024-02-26,972.6098022460938,975.8499755859375,992.0,904.25,962.0,512213,2024-02-26
2024-03-04,924.918701171875,928.0,992.0,898.9500122070312,985.5,294119,2024-03-04
2024-03-11,829.2374877929688,832.0,930.0,815.0,927.9500122070312,845650,2024-03-11
2024-03-18,884.8023681640625,887.75,897.0999755859375,813.2000122070312,838.9000244140625,382711,2024-03-18
2024-03-25,886.8455810546875,889.7999877929688,899.0,861.0,887.75,635826,2024-03-25
2024-04-01,923.4237060546875,926.5,943.0999755859375,902.5499877929688,907.9500122070312,299060,2024-04-01
2024-04-08,926.7127685546875,929.7999877929688,934.9500122070312,884.0,927.9500122070312,501198,2024-04-08
2024-04-15,917.443603515625,920.5,972.0999755859375,890.0,890.2000122070312,878333,2024-04-15
2024-04-22,944.6031494140625,947.75,980.0,925.9500122070312,929.9000244140625,1034249,2024-04-22
2024-04-29,965.93212890625,969.1500244140625,990.0,940.0,959.0,432322,2024-04-29
2024-05-06,947.343994140625,950.5,985.0,916.9000244140625,984.0,399155,2024-05-06
2024-05-13,1043.0252685546875,1046.5,1079.300048828125,939.5499877929688,953.0,934832,2024-05-13
2024-05-20,1071.829345703125,1075.4000244140625,1124.0,1021.5499877929688,1052.800048828125,673425,2024-05-20
2024-05-27,1112.3443603515625,1116.050048828125,1140.0,1081.199951171875,1100.0,1177145,2024-05-27
2024-06-03,1153.0587158203125,1156.9000244140625,1199.0,1027.949951171875,1138.9000244140625,658693,2024-06-03
2024-06-10,1186.5970458984375,1190.550048828125,1218.0,1140.199951171875,1166.0,416358,2024-06-10
2024-06-17,1209.5704345703125,1213.5999755859375,1251.0,1185.050048828125,1190.550048828125,300859,2024-06-17
2024-06-24,1215.4010009765625,1219.449951171875,1244.9000244140625,1190.5,1213.0,201959,2024-06-24
2024-07-01,1258.30810546875,1262.5,1299.949951171875,1219.550048828125,1228.0,293120,2024-07-01
