Date,Adj Close_NORBTEAEXP.NS,Close_NORBTEAEXP.NS,High_NORBTEAEXP.NS,Low_NORBTEAEXP.NS,Open_NORBTEAEXP.NS,Volume_NORBTEAEXP.NS,Date
2020-07-13,3.799999952316284,3.799999952316284,3.799999952316284,3.3499999046325684,3.5,8246,2020-07-13
2020-07-20,4.699999809265137,4.699999809265137,4.699999809265137,3.950000047683716,3.950000047683716,10855,2020-07-20
2020-07-27,5.849999904632568,5.849999904632568,5.849999904632568,4.900000095367432,4.900000095367432,7711,2020-07-27
2020-08-03,7.349999904632568,7.349999904632568,7.349999904632568,6.099999904632568,6.099999904632568,8152,2020-08-03
2020-08-10,9.25,9.25,9.25,7.699999809265137,7.699999809265137,10477,2020-08-10
2020-08-17,11.699999809265137,11.699999809265137,11.699999809265137,9.699999809265137,9.699999809265137,19234,2020-08-17
2020-08-24,14.800000190734863,14.800000190734863,14.800000190734863,12.25,12.25,15105,2020-08-24
2020-08-31,12.699999809265137,12.699999809265137,16.25,12.699999809265137,15.5,47208,2020-08-31
2020-09-07,11.0,11.0,12.100000381469727,10.449999809265137,12.100000381469727,19643,2020-09-07
2020-09-14,13.300000190734863,13.300000190734863,13.300000190734863,11.0,11.550000190734863,57464,2020-09-14
2020-09-21,14.25,14.25,15.699999809265137,12.649999618530273,13.949999809265137,77174,2020-09-21
2020-09-28,12.75,12.75,13.550000190734863,11.699999809265137,13.550000190734863,22302,2020-09-28
2020-10-05,11.399999618530273,11.399999618530273,13.800000190734863,11.25,12.199999809265137,66377,2020-10-05
2020-10-12,9.199999809265137,9.199999809265137,11.949999809265137,8.949999809265137,11.949999809265137,18703,2020-10-12
2020-10-19,8.5,8.5,9.300000190734863,7.75,8.75,40861,2020-10-19
2020-10-26,7.650000095367432,7.650000095367432,9.300000190734863,7.650000095367432,8.899999618530273,36498,2020-10-26
2020-11-02,8.449999809265137,8.449999809265137,8.550000190734863,7.300000190734863,7.550000190734863,14023,2020-11-02
2020-11-09,9.5,9.5,9.699999809265137,8.050000190734863,8.550000190734863,21798,2020-11-09
2020-11-16,9.350000381469727,9.350000381469727,9.949999809265137,9.050000190734863,9.25,22783,2020-11-16
2020-11-23,9.0,9.0,9.550000190734863,8.550000190734863,9.0,8751,2020-11-23
2020-11-30,9.449999809265137,9.449999809265137,9.600000381469727,8.649999618530273,9.0,14610,2020-11-30
2020-12-07,8.800000190734863,8.800000190734863,9.600000381469727,8.5,9.600000381469727,52057,2020-12-07
2020-12-14,8.899999618530273,8.899999618530273,9.600000381469727,8.699999809265137,8.800000190734863,39032,2020-12-14
2020-12-21,9.25,9.25,9.350000381469727,8.25,8.600000381469727,18742,2020-12-21
2020-12-28,9.050000190734863,9.050000190734863,9.75,8.949999809265137,9.649999618530273,38968,2020-12-28
2021-01-04,9.100000381469727,9.100000381469727,9.449999809265137,8.649999618530273,9.199999809265137,27400,2021-01-04
2021-01-11,8.550000190734863,8.550000190734863,8.949999809265137,8.550000190734863,8.649999618530273,15599,2021-01-11
2021-01-18,7.75,7.75,8.899999618530273,7.699999809265137,8.850000381469727,24858,2021-01-18
2021-01-25,7.900000095367432,7.900000095367432,8.199999809265137,7.400000095367432,7.400000095367432,29189,2021-01-25
2021-02-01,7.050000190734863,7.050000190734863,8.0,7.0,8.0,20080,2021-02-01
2021-02-08,7.199999809265137,7.199999809265137,7.400000095367432,6.599999904632568,7.050000190734863,29226,2021-02-08
2021-02-15,7.0,7.0,7.5,6.849999904632568,7.300000190734863,14364,2021-02-15
2021-02-22,7.0,7.0,7.349999904632568,6.650000095367432,7.0,12495,2021-02-22
