Date,Adj Close_DICIND.NS,Close_DICIND.NS,High_DICIND.NS,Low_DICIND.NS,Open_DICIND.NS,Volume_DICIND.NS,Date
2020-07-13,333.8411865234375,345.1000061035156,366.3500061035156,341.04998779296875,362.75,9890,2020-07-13
2020-07-20,331.8096618652344,343.0,367.8999938964844,341.04998779296875,350.0,23964,2020-07-20
2020-07-27,330.890625,342.04998779296875,360.0,328.1000061035156,342.45001220703125,35897,2020-07-27
2020-08-03,335.6308288574219,346.95001220703125,365.0,336.04998779296875,349.54998779296875,37562,2020-08-03
2020-08-10,358.1706237792969,370.25,414.0,346.04998779296875,346.04998779296875,372394,2020-08-10
2020-08-17,384.338134765625,397.29998779296875,407.0,368.04998779296875,386.0,36207,2020-08-17
2020-08-24,395.07598876953125,408.3999938964844,419.0,390.04998779296875,407.0,61001,2020-08-24
2020-08-31,363.2976989746094,375.54998779296875,414.0,371.0,409.5,35095,2020-08-31
2020-09-07,366.8769836425781,379.25,402.54998779296875,370.54998779296875,373.29998779296875,19125,2020-09-07
2020-09-14,366.68353271484375,379.04998779296875,397.3999938964844,375.0,381.95001220703125,48773,2020-09-14
2020-09-21,367.0221252441406,379.3999938964844,385.0,354.54998779296875,379.04998779296875,23566,2020-09-21
2020-09-28,364.36181640625,376.6499938964844,394.25,373.04998779296875,379.3999938964844,9532,2020-09-28
2020-10-05,365.2324523925781,377.54998779296875,388.8999938964844,364.95001220703125,388.8999938964844,5115,2020-10-05
2020-10-12,358.6059265136719,370.70001220703125,383.6499938964844,342.6499938964844,373.04998779296875,9395,2020-10-12
2020-10-19,357.83203125,369.8999938964844,390.04998779296875,363.0,373.6499938964844,14151,2020-10-19
2020-10-26,355.2685241699219,367.25,378.0,360.0,369.8999938964844,22950,2020-10-26
2020-11-02,358.07391357421875,370.1499938964844,376.8999938964844,358.54998779296875,365.6499938964844,30747,2020-11-02
2020-11-09,356.0907897949219,368.1000061035156,374.8500061035156,356.20001220703125,374.0,21463,2020-11-09
2020-11-16,357.5902099609375,369.6499938964844,375.8999938964844,362.1000061035156,368.5,17109,2020-11-16
2020-11-23,359.815185546875,371.95001220703125,384.1000061035156,366.0,369.6000061035156,15882,2020-11-23
2020-11-30,373.2132873535156,385.79998779296875,394.0,367.0,371.95001220703125,39873,2020-11-30
2020-12-07,379.3077697753906,392.1000061035156,400.5,381.0,385.79998779296875,36319,2020-12-07
2020-12-14,376.74420166015625,389.45001220703125,409.0,386.0,389.8999938964844,29880,2020-12-14
2020-12-21,374.9546203613281,387.6000061035156,403.54998779296875,375.79998779296875,389.45001220703125,18500,2020-12-21
2020-12-28,390.093994140625,403.25,424.8999938964844,383.0,383.0,105130,2020-12-28
2021-01-04,391.2548522949219,404.45001220703125,413.0,391.0,409.54998779296875,49367,2021-01-04
2021-01-11,394.1086120605469,407.3999938964844,415.0,391.25,404.5,32096,2021-01-11
2021-01-18,385.982666015625,399.0,415.0,392.75,414.3999938964844,59242,2021-01-18
2021-01-25,380.4685974121094,393.29998779296875,404.0,390.0,403.1000061035156,22628,2021-01-25
2021-02-01,384.4832458496094,397.45001220703125,410.8500061035156,389.6499938964844,402.75,48310,2021-02-01
2021-02-08,383.3223876953125,396.25,405.04998779296875,391.5,402.0,38418,2021-02-08
2021-02-15,386.1761474609375,399.20001220703125,406.0,391.25,397.1000061035156,34223,2021-02-15
2021-02-22,392.2705993652344,405.5,413.8500061035156,398.70001220703125,405.5,46852,2021-02-22
2021-03-01,419.115234375,433.25,455.95001220703125,405.0,413.0,148272,2021-03-01
2021-03-08,402.08941650390625,415.6499938964844,449.8500061035156,412.6000061035156,440.8999938964844,45135,2021-03-08
2021-03-15,388.2644958496094,395.8999938964844,423.95001220703125,388.04998779296875,413.29998779296875,34029,2021-03-15
2021-03-22,383.164794921875,390.70001220703125,409.8999938964844,390.0,399.29998779296875,20223,2021-03-22
2021-03-29,387.2838134765625,394.8999938964844,398.8999938964844,385.04998779296875,390.70001220703125,6751,2021-03-29
2021-04-05,389.4903869628906,397.1499938964844,400.04998779296875,386.54998779296875,399.8999938964844,10825,2021-04-05
2021-04-12,383.65521240234375,391.20001220703125,399.0,386.04998779296875,396.0,11034,2021-04-12
2021-04-19,381.6446838378906,389.1499938964844,397.5,376.25,380.04998779296875,13778,2021-04-19
2021-04-26,383.65521240234375,391.20001220703125,396.95001220703125,382.54998779296875,396.8999938964844,17634,2021-04-26
2021-05-03,385.42047119140625,393.0,397.0,384.04998779296875,391.20001220703125,14973,2021-05-03
2021-05-10,383.8512878417969,391.3999938964844,411.95001220703125,388.70001220703125,392.95001220703125,25408,2021-05-10
2021-05-17,387.4308776855469,395.04998779296875,404.0,388.79998779296875,391.95001220703125,19500,2021-05-17
2021-05-24,400.5234375,408.3999938964844,425.0,393.04998779296875,395.75,41504,2021-05-24
2021-05-31,495.16229248046875,504.8999938964844,529.7999877929688,405.1000061035156,417.5,512817,2021-05-31
2021-06-07,467.0648498535156,476.25,519.5,455.0,512.0,131931,2021-06-07
2021-06-14,447.4015808105469,456.20001220703125,496.5,450.1000061035156,479.8999938964844,90771,2021-06-14
2021-06-21,465.299560546875,474.45001220703125,494.0,440.70001220703125,453.0,45613,2021-06-21
2021-06-28,472.5077819824219,481.79998779296875,495.95001220703125,456.0,473.6000061035156,35411,2021-06-28
2021-07-05,475.20477294921875,484.54998779296875,505.0,478.70001220703125,487.25,52059,2021-07-05
2021-07-12,478.8334045410156,488.25,505.0,480.0,490.0,39324,2021-07-12
2021-07-19,467.7513427734375,476.95001220703125,493.1000061035156,471.04998779296875,489.95001220703125,22446,2021-07-19
2021-07-26,479.96124267578125,489.3999938964844,509.0,474.3500061035156,481.0,62422,2021-07-26
2021-08-02,503.5964660644531,513.5,549.9000244140625,487.5,499.0,272101,2021-08-02
2021-08-09,459.3662414550781,468.3999938964844,515.0,451.1499938964844,513.5,72572,2021-08-09
2021-08-16,435.3878173828125,443.95001220703125,474.04998779296875,432.45001220703125,470.0,27319,2021-08-16
2021-08-23,451.4715270996094,460.3500061035156,476.1499938964844,420.0,443.0,25605,2021-08-23
2021-08-30,437.3002014160156,445.8999938964844,468.8999938964844,444.1000061035156,465.0,16698,2021-08-30
2021-09-06,462.7497253417969,471.8500061035156,488.0,435.0,447.75,38325,2021-09-06
2021-09-13,450.39276123046875,459.25,491.0,454.5,465.0,25533,2021-09-13
2021-09-20,453.8252258300781,462.75,490.0,459.0,468.25,45731,2021-09-20
2021-09-27,449.1178283691406,457.95001220703125,477.79998779296875,455.0,464.5,21805,2021-09-27
2021-10-04,460.2979431152344,469.3500061035156,478.79998779296875,458.0,458.0,31885,2021-10-04
2021-10-11,451.1772766113281,460.04998779296875,479.0,458.0,460.1499938964844,15816,2021-10-11
2021-10-18,441.7134094238281,450.3999938964844,473.54998779296875,446.5,461.8999938964844,24949,2021-10-18
2021-10-25,416.3619384765625,424.54998779296875,474.0,418.6499938964844,443.20001220703125,25035,2021-10-25
2021-11-01,426.0710754394531,434.45001220703125,447.25,415.20001220703125,415.20001220703125,11204,2021-11-01
2021-11-08,424.64898681640625,433.0,450.0,391.8999938964844,435.0,15281,2021-11-08
2021-11-15,393.6584167480469,401.3999938964844,452.1499938964844,396.0,443.0,21744,2021-11-15
2021-11-22,393.70745849609375,401.45001220703125,409.79998779296875,390.54998779296875,409.3999938964844,11268,2021-11-22
2021-11-29,396.01214599609375,403.79998779296875,421.0,382.20001220703125,402.0,11700,2021-11-29
2021-12-06,403.1713562011719,411.1000061035156,424.0,396.0,410.0,9098,2021-12-06
2021-12-13,392.2364196777344,399.95001220703125,432.0,397.0,414.8999938964844,16677,2021-12-13
2021-12-20,380.66400146484375,388.1499938964844,424.0,369.25,392.95001220703125,13615,2021-12-20
2021-12-27,387.18572998046875,394.79998779296875,411.3500061035156,388.0,390.20001220703125,10057,2021-12-27
2022-01-03,394.9333801269531,402.70001220703125,407.0,392.04998779296875,398.04998779296875,10021,2022-01-03
2022-01-10,408.074951171875,416.1000061035156,423.70001220703125,393.95001220703125,402.75,23493,2022-01-10
2022-01-17,395.37469482421875,403.1499938964844,439.04998779296875,401.25,424.3999938964844,19368,2022-01-17
2022-01-24,430.19000244140625,438.6499938964844,443.45001220703125,384.3999938964844,404.79998779296875,26195,2022-01-24
2022-01-31,440.4385070800781,449.1000061035156,460.0,427.0,440.0,31778,2022-01-31
2022-02-07,426.61041259765625,435.0,457.79998779296875,421.5,452.8500061035156,10735,2022-02-07
2022-02-14,391.0595397949219,398.75,434.5,390.0,430.0,17087,2022-02-14
2022-02-21,356.5384521484375,363.54998779296875,401.95001220703125,340.20001220703125,399.0,25424,2022-02-21
2022-02-28,356.6365051269531,363.6499938964844,385.0,357.54998779296875,385.0,32536,2022-02-28
2022-03-07,367.3262939453125,374.54998779296875,379.0,359.1499938964844,363.3999938964844,17238,2022-03-07
2022-03-14,349.477294921875,356.3500061035156,380.0,353.04998779296875,375.0,22603,2022-03-14
2022-03-21,353.68316650390625,357.75,366.0,350.1000061035156,363.0,18704,2022-03-21
2022-03-28,345.2303466796875,349.20001220703125,364.75,339.0,352.04998779296875,28762,2022-03-28
2022-04-04,369.2541198730469,373.5,388.5,357.54998779296875,362.6499938964844,21657,2022-04-04
2022-04-11,367.7711486816406,372.0,387.95001220703125,370.0,379.8999938964844,11382,2022-04-11
