Date,Adj Close_SILLYMONKS.NS,Close_SILLYMONKS.NS,High_SILLYMONKS.NS,Low_SILLYMONKS.NS,Open_SILLYMONKS.NS,Volume_SILLYMONKS.NS,Date
2020-07-13,33.33466339111328,34.04999923706055,37.349998474121094,32.5,34.099998474121094,25356,2020-07-13
2020-07-20,34.264705657958984,35.0,37.5,34.0,35.0,15467,2020-07-20
2020-07-27,31.18088150024414,31.850000381469727,36.400001525878906,31.850000381469727,35.0,7941,2020-07-27
2020-08-03,30.74033546447754,31.399999618530273,34.849998474121094,31.350000381469727,33.349998474121094,6916,2020-08-03
2020-08-10,29.4186954498291,30.049999237060547,32.95000076293945,29.5,32.95000076293945,71684,2020-08-10
2020-08-17,28.243907928466797,28.850000381469727,31.0,27.600000381469727,31.0,8099,2020-08-17
2020-08-24,29.71239471435547,30.350000381469727,30.799999237060547,26.799999237060547,27.600000381469727,15495,2020-08-24
2020-08-31,25.649580001831055,26.200000762939453,31.450000762939453,26.200000762939453,28.899999618530273,12392,2020-08-31
2020-09-07,26.579620361328125,27.149999618530273,28.600000381469727,24.700000762939453,26.350000381469727,7366,2020-09-07
2020-09-14,25.600629806518555,26.149999618530273,28.5,25.799999237060547,25.799999237060547,10157,2020-09-14
2020-09-21,25.25798225402832,25.799999237060547,28.75,24.549999237060547,26.149999618530273,8067,2020-09-21
2020-09-28,23.936344146728516,24.450000762939453,28.350000381469727,24.450000762939453,25.0,991,2020-09-28
2020-10-05,21.978361129760742,22.450000762939453,26.5,21.200000762939453,24.450000762939453,5745,2020-10-05
2020-10-12,25.013233184814453,25.549999237060547,27.649999618530273,22.149999618530273,24.549999237060547,9888,2020-10-12
2020-10-19,23.104202270507812,23.600000381469727,26.950000762939453,20.799999237060547,26.950000762939453,64133,2020-10-19
2020-10-26,23.397897720336914,23.899999618530273,24.899999618530273,22.049999237060547,22.100000381469727,10911,2020-10-26
2020-11-02,21.43991470336914,21.899999618530273,24.0,20.899999618530273,23.0,15370,2020-11-02
2020-11-09,21.586763381958008,22.049999237060547,22.450000762939453,19.950000762939453,22.0,2896,2020-11-09
2020-11-16,21.04831886291504,21.5,23.149999618530273,20.149999618530273,21.350000381469727,9927,2020-11-16
2020-11-23,20.803571701049805,21.25,22.549999237060547,20.200000762939453,22.549999237060547,4672,2020-11-23
2020-11-30,20.46092414855957,20.899999618530273,22.5,20.350000381469727,21.25,8369,2020-11-30
2020-12-07,24.474788665771484,25.0,25.450000762939453,19.899999618530273,19.899999618530273,16954,2020-12-07
2020-12-14,24.866384506225586,25.399999618530273,26.549999237060547,23.100000381469727,25.5,16220,2020-12-14
2020-12-21,23.54474639892578,24.049999237060547,26.649999618530273,21.850000381469727,24.149999618530273,4146,2020-12-21
2020-12-28,24.376890182495117,24.899999618530273,25.25,22.799999237060547,24.049999237060547,9277,2020-12-28
2021-01-04,26.873319625854492,27.450000762939453,27.450000762939453,23.799999237060547,25.0,14045,2021-01-04
2021-01-11,27.901260375976562,28.5,30.049999237060547,26.200000762939453,28.75,20662,2021-01-11
2021-01-18,26.33487319946289,26.899999618530273,28.899999618530273,25.649999618530273,28.899999618530273,4192,2021-01-18
2021-01-25,24.67058753967285,25.200000762939453,26.950000762939453,23.200000762939453,26.899999618530273,3646,2021-01-25
2021-02-01,23.20210075378418,23.700000762939453,27.5,22.799999237060547,25.700000762939453,13430,2021-02-01
2021-02-08,23.299999237060547,23.799999237060547,25.450000762939453,22.399999618530273,23.700000762939453,20682,2021-02-08
2021-02-15,20.265125274658203,20.700000762939453,23.950000762939453,20.700000762939453,23.0,18700,2021-02-15
2021-02-22,22.5,22.5,23.899999618530273,19.700000762939453,21.700000762939453,27453,2021-02-22
