Date,Adj Close_SJS.NS,Close_SJS.NS,High_SJS.NS,Low_SJS.NS,Open_SJS.NS,Volume_SJS.NS,Date
2021-11-15,467.7915344238281,469.6499938964844,551.0,465.0,542.0,8272864,2021-11-15
2021-11-22,465.8990783691406,467.75,539.0,419.04998779296875,469.6499938964844,3152165,2021-11-22
2021-11-29,440.1513671875,441.8999938964844,476.54998779296875,430.20001220703125,473.0,823800,2021-11-29
2021-12-06,421.4755554199219,423.1499938964844,450.0,415.0,450.0,819617,2021-12-06
2021-12-13,383.72552490234375,385.25,430.54998779296875,380.0,423.1499938964844,792662,2021-12-13
2021-12-20,350.5572814941406,351.95001220703125,380.5,348.20001220703125,375.0,749623,2021-12-20
2021-12-27,380.6377868652344,382.1499938964844,404.0,339.5,351.0,1238002,2021-12-27
2022-01-03,369.1335144042969,370.6000061035156,389.79998779296875,355.0,382.20001220703125,729486,2022-01-03
2022-01-10,421.4755554199219,423.1499938964844,425.0,366.3999938964844,374.0,1261240,2022-01-10
2022-01-17,427.0533752441406,428.75,467.0,419.8999938964844,429.79998779296875,1182202,2022-01-17
2022-01-24,394.2835693359375,395.8500061035156,428.75,381.04998779296875,428.75,519271,2022-01-24
2022-01-31,400.21002197265625,401.79998779296875,419.5,386.95001220703125,400.0,332732,2022-01-31
2022-02-07,381.5342102050781,383.04998779296875,408.3500061035156,380.0,401.79998779296875,439615,2022-02-07
2022-02-14,385.3689880371094,386.8999938964844,400.0,361.8500061035156,380.0,396970,2022-02-14
2022-02-21,376.70343017578125,378.20001220703125,388.79998779296875,357.04998779296875,388.79998779296875,317331,2022-02-21
2022-02-28,369.53192138671875,371.0,379.0,362.6499938964844,366.0,154046,2022-02-28
2022-03-07,363.4560546875,364.8999938964844,375.0,351.45001220703125,362.0,255146,2022-03-07
2022-03-14,357.57940673828125,359.0,374.0,347.5,365.0,230299,2022-03-14
2022-03-21,355.9857177734375,357.3999938964844,374.0,349.1000061035156,352.3999938964844,472124,2022-03-21
