Date,Adj Close_ORIENTELEC.NS,Close_ORIENTELEC.NS,High_ORIENTELEC.NS,Low_ORIENTELEC.NS,Open_ORIENTELEC.NS,Volume_ORIENTELEC.NS,Date
2020-07-13,174.3560791015625,179.9499969482422,183.0,171.60000610351562,173.5500030517578,1517920,2020-07-13
2020-07-20,173.14495849609375,178.6999969482422,186.89999389648438,177.5,181.0,1836572,2020-07-20
2020-07-27,173.96852111816406,179.5500030517578,183.89999389648438,172.64999389648438,179.89999389648438,1448505,2020-07-27
2020-08-03,171.98251342773438,177.0,183.0,176.10000610351562,180.0,1204606,2020-08-03
2020-08-10,170.42788696289062,175.39999389648438,181.0,174.0,178.0,1183662,2020-08-10
2020-08-17,184.27391052246094,189.64999389648438,193.85000610351562,173.3000030517578,175.75,2655549,2020-08-17
2020-08-24,202.05516052246094,207.9499969482422,214.0,190.25,190.3000030517578,3916900,2020-08-24
2020-08-31,193.16456604003906,198.8000030517578,207.39999389648438,190.1999969482422,207.39999389648438,1797410,2020-08-31
2020-09-07,188.7921142578125,194.3000030517578,201.60000610351562,188.25,199.89999389648438,1539864,2020-09-07
2020-09-14,198.9458770751953,204.75,233.5500030517578,195.5500030517578,198.0,4715420,2020-09-14
2020-09-21,172.7112579345703,177.75,210.0,174.39999389648438,205.0,3530039,2020-09-21
2020-09-28,171.10801696777344,176.10000610351562,185.9499969482422,174.0,178.64999389648438,2098041,2020-09-28
2020-10-05,178.83265686035156,184.0500030517578,189.0,176.8000030517578,178.5,2369131,2020-10-05
2020-10-12,191.2698211669922,196.85000610351562,198.0,184.25,184.25,1394940,2020-10-12
2020-10-19,195.5450897216797,201.25,205.0,188.14999389648438,198.0,2227391,2020-10-19
2020-10-26,201.90940856933594,207.8000030517578,220.8000030517578,194.0,203.25,3409013,2020-10-26
2020-11-02,207.39926147460938,213.4499969482422,219.0,202.89999389648438,207.89999389648438,894208,2020-11-02
2020-11-09,209.19680786132812,215.3000030517578,217.3000030517578,208.0500030517578,213.10000610351562,1404305,2020-11-09
2020-11-16,223.57725524902344,230.10000610351562,234.5500030517578,212.5,215.8000030517578,1764458,2020-11-16
2020-11-23,230.96185302734375,237.6999969482422,241.0500030517578,225.5,231.1999969482422,2662600,2020-11-23
2020-11-30,219.54489135742188,225.9499969482422,244.4499969482422,224.10000610351562,237.6999969482422,2480629,2020-11-30
2020-12-07,214.58949279785156,220.85000610351562,230.9499969482422,215.0,225.64999389648438,1348998,2020-12-07
2020-12-14,223.96592712402344,230.5,233.64999389648438,219.0500030517578,222.0,1061630,2020-12-14
