Date,Adj Close_OLAELEC.NS,Close_OLAELEC.NS,High_OLAELEC.NS,Low_OLAELEC.NS,Open_OLAELEC.NS,Volume_OLAELEC.NS,Date
2024-08-05,91.19999694824219,91.19999694824219,91.19999694824219,76.0,76.0,525179173,2024-08-05
2024-08-12,133.0800018310547,133.0800018310547,133.0800018310547,95.0,97.0,1074642553,2024-08-12
2024-08-19,126.26000213623047,126.26000213623047,157.39999389648438,125.55000305175781,139.38999938964844,780667123,2024-08-19
2024-08-26,117.93000030517578,117.93000030517578,132.6999969482422,117.11000061035156,123.43000030517578,333048991,2024-08-26
2024-09-02,109.56999969482422,109.56999969482422,119.94999694824219,109.0,118.5,243530312,2024-09-02
2024-09-09,111.58000183105469,111.58000183105469,119.0,103.5,110.0,241509770,2024-09-09
2024-09-16,110.98999786376953,110.98999786376953,123.9000015258789,106.9000015258789,112.0,397356474,2024-09-16
2024-09-23,102.18000030517578,102.18000030517578,112.4000015258789,101.0,112.0,205527805,2024-09-23
2024-09-30,99.05000305175781,99.05000305175781,103.48999786376953,95.38999938964844,101.70999908447266,184748015,2024-09-30
2024-10-07,90.19999694824219,90.19999694824219,100.0,86.0,99.9000015258789,344080337,2024-10-07
2024-10-14,86.94999694824219,86.94999694824219,91.87000274658203,85.0199966430664,90.0,155289285,2024-10-14
2024-10-21,77.29000091552734,77.29000091552734,87.4800033569336,76.7300033569336,87.19000244140625,150085511,2024-10-21
2024-10-28,82.83999633789062,82.83999633789062,83.6500015258789,74.83999633789062,77.98999786376953,150520022,2024-10-28
2024-11-04,72.72000122070312,72.72000122070312,84.80000305175781,72.5999984741211,84.44999694824219,258032549,2024-11-04
2024-11-11,70.12000274658203,70.12000274658203,77.5999984741211,69.54000091552734,72.72000122070312,199903010,2024-11-11
2024-11-18,69.13999938964844,69.13999938964844,71.18000030517578,66.66000366210938,70.0,118855787,2024-11-18
2024-11-25,87.41000366210938,87.41000366210938,94.5,69.30000305175781,70.55000305175781,586259583,2024-11-25
2024-12-02,95.91000366210938,95.91000366210938,102.5,81.19999694824219,84.11000061035156,664224135,2024-12-02
2024-12-09,93.80999755859375,93.80999755859375,98.12999725341797,91.5,96.4000015258789,212458216,2024-12-09
2024-12-16,93.66999816894531,93.66999816894531,100.4000015258789,92.12999725341797,93.80999755859375,217140811,2024-12-16
2024-12-23,89.93000030517578,89.93000030517578,99.94999694824219,88.51000213623047,93.97000122070312,160153289,2024-12-23
2024-12-30,82.70999908447266,82.70999908447266,88.58999633789062,82.26000213623047,87.0999984741211,152007763,2024-12-30
2025-01-06,73.38999938964844,73.38999938964844,83.0999984741211,72.69999694824219,82.80000305175781,189348828,2025-01-06
2025-01-13,74.41000366210938,74.41000366210938,75.5999984741211,70.0,71.0,125556380,2025-01-13
2025-01-20,71.33999633789062,71.33999633789062,78.77999877929688,71.0,75.0,83977659,2025-01-20
2025-01-27,74.33000183105469,74.33000183105469,80.80000305175781,64.5999984741211,70.0999984741211,303054997,2025-01-27
2025-02-03,69.97000122070312,69.97000122070312,77.0,68.30000305175781,74.51000213623047,151036163,2025-02-03
2025-02-10,60.869998931884766,60.869998931884766,68.97000122070312,60.150001525878906,68.91000366210938,153446880,2025-02-10
2025-02-17,60.900001525878906,60.900001525878906,63.099998474121094,58.58000183105469,60.95000076293945,134643347,2025-02-17
2025-02-24,56.83000183105469,56.83000183105469,60.599998474121094,55.68000030517578,60.0,106337895,2025-02-24
2025-03-03,56.529998779296875,56.529998779296875,58.95000076293945,53.619998931884766,58.0,131557452,2025-03-03
2025-03-10,50.5099983215332,50.5099983215332,56.72999954223633,50.29999923706055,56.36000061035156,112752280,2025-03-10
2025-03-17,56.06999969482422,56.06999969482422,56.869998931884766,46.400001525878906,49.97999954223633,436189552,2025-03-17
2025-03-24,53.04999923706055,53.04999923706055,58.43000030517578,51.349998474121094,57.560001373291016,293254222,2025-03-24
2025-03-31,52.47999954223633,52.47999954223633,54.47999954223633,51.560001373291016,53.04999923706055,112415029,2025-03-31
2025-04-07,50.20000076293945,50.20000076293945,52.869998931884766,45.349998474121094,45.349998474121094,117605883,2025-04-07
2025-04-14,50.220001220703125,50.220001220703125,52.779998779296875,50.0,50.20000076293945,112612751,2025-04-14
2025-04-21,49.86000061035156,49.86000061035156,54.439998626708984,49.560001373291016,50.56999969482422,249422363,2025-04-21
2025-04-28,48.279998779296875,48.279998779296875,50.790000915527344,48.0099983215332,49.70000076293945,90926708,2025-04-28
