Date,Adj Close_IPL.NS,Close_IPL.NS,High_IPL.NS,Low_IPL.NS,Open_IPL.NS,Volume_IPL.NS,Date
2023-02-06,220.2023468017578,221.75,224.5,216.0,222.0,437157,2023-02-06
2023-02-13,217.421875,218.9499969482422,227.9499969482422,216.89999389648438,223.0,273917,2023-02-13
2023-02-20,208.5343475341797,210.0,220.64999389648438,207.1999969482422,218.9499969482422,392840,2023-02-20
2023-02-27,214.9393310546875,216.4499969482422,220.89999389648438,206.10000610351562,212.0500030517578,309255,2023-02-27
2023-03-06,213.1022491455078,214.60000610351562,225.14999389648438,212.0,217.0,355241,2023-03-06
2023-03-13,202.72515869140625,204.14999389648438,215.75,197.4499969482422,215.6999969482422,1500306,2023-03-13
2023-03-20,206.20074462890625,207.64999389648438,218.5,201.85000610351562,204.5,2795452,2023-03-20
2023-03-27,206.39935302734375,207.85000610351562,213.39999389648438,197.75,207.0,798861,2023-03-27
2023-04-03,214.98898315429688,216.5,219.9499969482422,208.89999389648438,208.89999389648438,244647,2023-04-03
2023-04-10,215.93235778808594,217.4499969482422,223.35000610351562,212.5,217.60000610351562,495297,2023-04-10
2023-04-17,217.22328186035156,218.75,225.39999389648438,214.5,217.64999389648438,432158,2023-04-17
2023-04-24,220.2519989013672,221.8000030517578,223.89999389648438,215.89999389648438,217.0500030517578,305577,2023-04-24
2023-05-01,226.0611572265625,227.64999389648438,232.89999389648438,221.8000030517578,221.8000030517578,355202,2023-05-01
2023-05-08,215.93235778808594,217.4499969482422,229.39999389648438,217.1999969482422,227.64999389648438,327114,2023-05-08
2023-05-15,217.47154235839844,219.0,221.89999389648438,216.10000610351562,218.5500030517578,246053,2023-05-15
2023-05-22,221.49327087402344,223.0500030517578,225.10000610351562,216.75,219.4499969482422,238648,2023-05-22
2023-05-29,220.0037384033203,221.5500030517578,225.0,216.5,223.60000610351562,351901,2023-05-29
2023-06-05,225.3660430908203,226.9499969482422,239.5,219.39999389648438,219.39999389648438,735334,2023-06-05
2023-06-12,231.1255645751953,232.75,235.4499969482422,225.60000610351562,228.14999389648438,465615,2023-06-12
2023-06-19,222.33734130859375,223.89999389648438,234.3000030517578,222.14999389648438,232.75,442404,2023-06-19
2023-06-26,216.67710876464844,218.1999969482422,226.9499969482422,217.0,226.9499969482422,273855,2023-06-26
2023-07-03,220.2519989013672,221.8000030517578,229.0500030517578,218.25,218.35000610351562,405583,2023-07-03
2023-07-10,218.21629333496094,219.75,224.8000030517578,218.0,221.8000030517578,357480,2023-07-10
2023-07-17,220.79815673828125,222.35000610351562,230.0,218.9499969482422,220.5,399779,2023-07-17
2023-07-24,217.37222290039062,218.89999389648438,226.10000610351562,218.4499969482422,222.0500030517578,444337,2023-07-24
2023-07-31,210.37144470214844,211.85000610351562,224.0,210.0500030517578,219.9499969482422,860416,2023-07-31
2023-08-07,215.7834014892578,217.3000030517578,222.0,209.14999389648438,211.8000030517578,815138,2023-08-07
2023-08-14,210.2721405029297,211.75,222.5,210.0500030517578,217.3000030517578,395335,2023-08-14
2023-08-21,211.44393920898438,212.1999969482422,220.0,211.3000030517578,212.9499969482422,398846,2023-08-21
2023-08-28,295.493408203125,296.54998779296875,306.8999938964844,212.1999969482422,212.1999969482422,24951997,2023-08-28
2023-09-04,292.3546447753906,293.3999938964844,307.3999938964844,278.0,299.45001220703125,7846131,2023-09-04
2023-09-11,285.4792175292969,286.5,311.95001220703125,281.1000061035156,295.6000061035156,8984182,2023-09-11
2023-09-18,295.29412841796875,296.3500061035156,314.1499938964844,282.8999938964844,288.54998779296875,12213667,2023-09-18
2023-09-25,294.098388671875,295.1499938964844,301.5,278.5,296.0,7132426,2023-09-25
2023-10-02,298.1838073730469,299.25,303.0,279.3500061035156,295.1499938964844,3819065,2023-10-02
2023-10-09,293.6500244140625,294.70001220703125,308.79998779296875,283.29998779296875,297.0,8945130,2023-10-09
2023-10-16,295.5432434082031,296.6000061035156,319.75,284.45001220703125,294.0,18911321,2023-10-16
2023-10-23,277.8564758300781,278.8500061035156,295.95001220703125,257.04998779296875,295.95001220703125,6204017,2023-10-23
2023-10-30,296.938232421875,298.0,300.6499938964844,275.0,278.0,4245663,2023-10-30
2023-11-06,281.89202880859375,282.8999938964844,304.70001220703125,282.0,299.0,6101783,2023-11-06
2023-11-13,281.1945495605469,282.20001220703125,287.8999938964844,275.0,285.95001220703125,1330913,2023-11-13
2023-11-20,285.5290222167969,286.54998779296875,298.70001220703125,281.1000061035156,282.0,10861957,2023-11-20
2023-11-27,312.58233642578125,313.70001220703125,324.70001220703125,286.54998779296875,286.54998779296875,15117225,2023-11-27
2023-12-04,347.1088562011719,348.3500061035156,367.95001220703125,311.1499938964844,318.0,25417337,2023-12-04
2023-12-11,358.5180358886719,359.79998779296875,363.8999938964844,342.5,348.29998779296875,17323105,2023-12-11
2023-12-18,353.2867431640625,354.54998779296875,359.8500061035156,335.6000061035156,357.1499938964844,15568092,2023-12-18
2023-12-25,362.802734375,364.1000061035156,377.45001220703125,353.45001220703125,354.54998779296875,11619891,2023-12-25
2024-01-01,374.9094543457031,376.25,377.8999938964844,352.3500061035156,361.0,11105212,2024-01-01
2024-01-08,391.5997619628906,393.0,404.1000061035156,374.6499938964844,380.0,10532868,2024-01-08
2024-01-15,380.1407470703125,381.5,395.8999938964844,369.3500061035156,393.0,6261045,2024-01-15
2024-01-22,376.254638671875,377.6000061035156,394.79998779296875,368.70001220703125,381.5,10638347,2024-01-22
2024-01-29,403.4075622558594,404.8500061035156,412.0,368.54998779296875,380.0,20758527,2024-01-29
2024-02-05,396.98052978515625,398.3999938964844,431.75,385.0,398.79998779296875,17425255,2024-02-05
2024-02-12,395.93426513671875,397.3500061035156,421.54998779296875,366.6000061035156,390.29998779296875,17456057,2024-02-12
2024-02-19,393.3435363769531,394.75,412.0,385.1000061035156,397.8999938964844,12045529,2024-02-19
2024-02-26,368.4326171875,369.75,394.45001220703125,363.3500061035156,393.0,5364394,2024-02-26
2024-03-04,368.2333068847656,369.54998779296875,385.95001220703125,358.0,371.45001220703125,9235535,2024-03-04
2024-03-11,223.94923400878906,224.75,369.8999938964844,209.25,369.04998779296875,35087637,2024-03-11
2024-03-18,216.72506713867188,217.5,231.4499969482422,204.25,225.4499969482422,6463337,2024-03-18
2024-03-25,202.47601318359375,203.1999969482422,217.75,199.85000610351562,217.5,3618819,2024-03-25
2024-04-01,242.5825958251953,243.4499969482422,243.4499969482422,204.75,205.0,4469279,2024-04-01
2024-04-08,238.14846801757812,239.0,254.5,233.0,244.85000610351562,3786601,2024-04-08
2024-04-15,225.4438934326172,226.25,241.0,222.9499969482422,234.8000030517578,2623218,2024-04-15
2024-04-22,236.5043487548828,237.35000610351562,246.75,227.0,228.89999389648438,3978591,2024-04-22
2024-04-29,228.23391723632812,229.0500030517578,245.0,226.8000030517578,239.8000030517578,1750753,2024-04-29
2024-05-06,213.8354034423828,214.60000610351562,230.4499969482422,203.6999969482422,230.0,2342215,2024-05-06
2024-05-13,247.26585388183594,248.14999389648438,250.9499969482422,211.6999969482422,214.85000610351562,6321152,2024-05-13
2024-05-20,240.24098205566406,241.10000610351562,252.6999969482422,236.14999389648438,247.85000610351562,2769693,2024-05-20
2024-05-27,214.0845184326172,214.85000610351562,243.5,209.10000610351562,238.0,5353399,2024-05-27
2024-06-03,254.29074096679688,255.1999969482422,263.8999938964844,191.5,219.89999389648438,5328757,2024-06-03
2024-06-10,232.90721130371094,233.74000549316406,257.30999755859375,232.5,255.0,4674857,2024-06-10
2024-06-17,233.52499389648438,234.36000061035156,247.49000549316406,226.75,233.74000549316406,4335324,2024-06-17
2024-06-24,231.8310546875,232.66000366210938,236.6999969482422,228.89999389648438,232.50999450683594,1553507,2024-06-24
2024-07-01,221.04959106445312,221.83999633789062,235.1999969482422,220.10000610351562,233.44000244140625,2066272,2024-07-01
2024-07-08,211.7428741455078,212.5,225.72000122070312,208.67999267578125,220.5800018310547,3653854,2024-07-08
2024-07-15,208.58416748046875,209.3300018310547,220.47000122070312,208.0,214.0,1424497,2024-07-15
2024-07-22,214.6624298095703,215.42999267578125,216.32000732421875,204.0,210.0,1802733,2024-07-22
2024-07-29,220.59124755859375,221.3800048828125,231.89999389648438,215.00999450683594,218.0,2706355,2024-07-29
2024-08-05,209.75,210.5,221.0,205.60000610351562,221.0,2295479,2024-08-05
2024-08-12,208.01620483398438,208.75999450683594,218.5,207.5,212.0,1102594,2024-08-12
2024-08-19,213.5500030517578,213.5500030517578,220.49000549316406,208.0,209.9499969482422,2226491,2024-08-19
2024-08-26,223.47999572753906,223.47999572753906,229.6999969482422,210.8000030517578,214.9499969482422,4420535,2024-08-26
2024-09-02,217.75999450683594,217.75999450683594,232.0,216.89999389648438,225.0,2989988,2024-09-02
2024-09-09,216.72000122070312,216.72000122070312,221.39999389648438,215.16000366210938,217.99000549316406,964213,2024-09-09
2024-09-16,210.80999755859375,210.80999755859375,218.97999572753906,207.5,217.0500030517578,1172507,2024-09-16
2024-09-23,207.5800018310547,207.5800018310547,213.38999938964844,206.61000061035156,212.8300018310547,858023,2024-09-23
2024-09-30,203.39999389648438,203.39999389648438,210.50999450683594,201.5,207.5800018310547,710317,2024-09-30
2024-10-07,203.13999938964844,203.13999938964844,209.0,195.91000366210938,204.02000427246094,1140278,2024-10-07
2024-10-14,201.7899932861328,201.7899932861328,204.9499969482422,197.0,202.74000549316406,674307,2024-10-14
2024-10-21,178.27000427246094,178.27000427246094,203.0,173.5,202.8000030517578,1125173,2024-10-21
2024-10-28,190.72000122070312,190.72000122070312,191.89999389648438,178.0,180.89999389648438,517900,2024-10-28
2024-11-04,199.5800018310547,199.5800018310547,214.14999389648438,184.97999572753906,190.72000122070312,2814541,2024-11-04
2024-11-11,183.2899932861328,183.2899932861328,198.97999572753906,182.0,197.6999969482422,498406,2024-11-11
2024-11-18,180.58999633789062,180.58999633789062,186.0,180.0,183.30999755859375,382409,2024-11-18
2024-11-25,186.75,186.75,188.89999389648438,181.0,183.0,1738344,2024-11-25
2024-12-02,193.38999938964844,193.38999938964844,194.6999969482422,186.5,186.75,724419,2024-12-02
2024-12-09,190.66000366210938,190.66000366210938,205.89999389648438,186.00999450683594,192.8000030517578,3375508,2024-12-09
2024-12-16,182.94000244140625,182.94000244140625,193.4199981689453,180.0,192.0,1277947,2024-12-16
2024-12-23,180.13999938964844,180.13999938964844,188.75999450683594,178.39999389648438,186.0,511904,2024-12-23
2024-12-30,181.50999450683594,181.50999450683594,183.97999572753906,175.75,179.6199951171875,567114,2024-12-30
2025-01-06,167.63999938964844,167.63999938964844,182.5800018310547,167.0,181.41000366210938,712165,2025-01-06
2025-01-13,165.77999877929688,165.77999877929688,167.39999389648438,157.0,166.64999389648438,715657,2025-01-13
2025-01-20,161.6300048828125,161.6300048828125,171.89999389648438,156.4199981689453,165.77999877929688,635339,2025-01-20
2025-01-27,158.6999969482422,158.6999969482422,173.0,143.1199951171875,161.0,1745530,2025-01-27
2025-02-03,157.8000030517578,157.8000030517578,164.42999267578125,155.22999572753906,158.7100067138672,513336,2025-02-03
2025-02-10,135.19000244140625,135.19000244140625,163.0,132.0,163.0,1113871,2025-02-10
2025-02-17,136.5399932861328,136.5399932861328,141.41000366210938,128.0,134.8000030517578,770887,2025-02-17
2025-02-24,126.95999908447266,126.95999908447266,135.97999572753906,125.6500015258789,135.14999389648438,415385,2025-02-24
2025-03-03,142.92999267578125,142.92999267578125,147.5,119.79000091552734,128.0,1564696,2025-03-03
2025-03-10,126.36000061035156,126.36000061035156,147.5,125.11000061035156,144.35000610351562,1488344,2025-03-10
2025-03-17,138.52000427246094,138.52000427246094,139.58999633789062,124.45999908447266,126.5,2072373,2025-03-17
2025-03-24,133.85000610351562,133.85000610351562,158.4499969482422,132.5,138.75,3686518,2025-03-24
2025-03-31,134.25,134.25,144.0,132.0,133.85000610351562,1298739,2025-03-31
2025-04-07,131.10000610351562,131.10000610351562,133.74000549316406,123.11000061035156,126.9000015258789,627863,2025-04-07
2025-04-14,143.89999389648438,143.89999389648438,145.25,133.0500030517578,133.0500030517578,542802,2025-04-14
2025-04-21,148.14999389648438,148.14999389648438,162.57000732421875,142.4499969482422,143.89999389648438,1680503,2025-04-21
2025-04-28,141.10000610351562,141.10000610351562,150.88999938964844,141.08999633789062,148.14999389648438,592155,2025-04-28
2025-05-05,139.8300018310547,139.8300018310547,147.0,135.0,141.5,799414,2025-05-05
2025-05-12,166.5,166.5,172.13999938964844,143.2100067138672,145.10000610351562,2913353,2025-05-12
2025-05-19,172.47000122070312,172.47000122070312,175.75,167.05999755859375,167.25,992928,2025-05-19
2025-05-26,208.25999450683594,208.25999450683594,220.49000549316406,170.52000427246094,174.0,17902792,2025-05-26
2025-06-02,204.60000610351562,204.60000610351562,221.60000610351562,199.41000366210938,207.9499969482422,3327588,2025-06-02
2025-06-09,209.00999450683594,209.00999450683594,220.0,201.6199951171875,205.6199951171875,2571741,2025-06-09
2025-06-16,207.61000061035156,207.61000061035156,213.89999389648438,189.6199951171875,207.30999755859375,2339276,2025-06-16
2025-06-23,221.36000061035156,221.36000061035156,229.0,204.3000030517578,208.0,3767436,2025-06-23
2025-06-30,211.60000610351562,211.60000610351562,233.1999969482422,207.05999755859375,223.0,4221380,2025-06-30
2025-07-07,204.61000061035156,204.61000061035156,214.89999389648438,203.17999267578125,210.5,1070400,2025-07-07
2025-07-14,214.1199951171875,214.1199951171875,217.63999938964844,202.27999877929688,204.61000061035156,1053485,2025-07-14
